name,domain,isRelated
Archer-Daniels-Midland Company,adm.com,True
"PepsiCo, Inc.",pepsico.com,True
"Tyson Foods, Inc.",tyson.com,True
Novartis Corporation,novartis.com,False
The Coca-Cola Company,coca-colacompany.com,True
"Mars, Incorporated",mars.com,True
CHS Inc.,resources-my.chsinc.com,False
"Mondelez International, Inc.",mondelezinternational.com,True
The Kraft Heinz Company,kraftheinzcompany.com,True
"Dairy Farmers of America, Inc.",dfamilk.com,True
"General Mills, Inc.",generalmills.com,True
"JBS USA Holdings, LLC",jbsfoodsgroup.com,True
Wakefern Food Corp.,wakefern.com,True
Pilgrim's Pride Corporation,pilgrims.com,True
Keurig Dr Pepper Inc.,keurigdrpepper.com,True
"Hy-vee, Inc.",hy-vee.com,True
Kellanova,kellanova.com,True
"Nestle Holdings, Inc.",nestlejobs.com,True
"Conagra Brands, Inc.",conagrabrands.com,True
Hormel Foods Corporation,hormelfoods.com,True
International Flavors & Fragrances Inc.,iff.com,True
The Hershey Company,thehersheycompany.com,True
The Campbell's Company,campbellsoupcompany.com,True
Seaboard Corporation,seaboardcorp.com,True
The J. M. Smucker Company,jmsmucker.com,True
Ingredion Incorporated,ingredion.com,True
"Post Holdings, Inc.",postholdings.com,True
The Clorox Company,thecloroxcompany.com,False
Darling Ingredients Inc.,darlingii.com,True
"McCormick & Company, Incorporated",mccormickcorporation.com,True
"Lamb Weston Holdings, Inc.",lambweston.com,True
"Church & Dwight Co., Inc.",churchdwight.com,False
"Flowers Foods, Inc.",flowersfoods.com,True
Rich Products Corporation,richs.com,True
"Sanderson Farms, LLC",sandersonfarms.com,True
Mondelez Global LLC,mondelezinternational.com,True
The Cheesecake Factory Incorporated,thecheesecakefactory.com,True
"TreeHouse Foods, Inc.",treehousefoods.com,True
"Smithfield Foods, Inc.",smithfieldfoods.com,True
Green Plains Inc.,gpreinc.com,True
"Bunge North America, Inc.",bunge.com,True
"Coca-Cola Refreshments USA, LLC",coca-colacompany.com,True
"TYSON FRESH MEATS, INC.",tysonfreshmeats.com,True
"Pepsi-Cola Metropolitan Bottling Company, Inc.",pepsico.com,True
Stepan Company,stepan.com,True
"Nestle Healthcare Nutrition, Inc.",nestlehealthscience.us,True
HP HOOD LLC,hood.com,True
"Snyder's-Lance, Inc.",campbellsoupcompany.com,True
Fanjul Corp.,pepefanjul.org,True
"Papa John's International, Inc.",papajohns.com,True
The Hillshire Brands Company,tysonfoods.com,True
"National Beef Packing Company, LLC",nationalbeef.com,True
Nestle Purina Petcare Company,purina.com,True
Mountaire Corporation,mountaire.com,True
"B&G Foods, Inc.",bgfoods.com,True
"Ventura Foods, LLC",venturafoods.com,True
"George's, Inc.",georgesinc.com,True
Schwan's Company,schwanscompany.com,True
JBS USA Food Company,jbsfoodsgroup.com,True
"BellRing Brands, Inc.",bellring.com,True
"Rosen's Diversified, Inc.",rosensdiversifiedinc.com,True
Keebler Company,keebler.com,False
Lancaster Colony Corporation,lancastercolony.com,True
Trident Seafoods Corporation,tridentseafoods.com,True
"Hearthside Food Solutions, LLC",hearthsidefoods.com,True
"Nash Johnson & Sons` Farms, Inc.",houseofraeford.com,True
"Frito-Lay North America, Inc.",fritolay.com,True
McKee Foods Corporation,mckeefoods.com,True
"The Hain Celestial Group, Inc.",hain.com,True
"Dawn Foods, Inc.",dawnfoods.com,True
"Savage Enterprises Holdings, LLC",savageco.com,False
"Southern States Cooperative, Incorporated",southernstates.com,False
"Affiliated Foods, Inc.",afiama.com,False
"Schreiber Foods, Inc.",schreiberfoods.com,True
"Glanbia, Inc",glanbianutritionals.com,True
"Prairie Farms Dairy, Inc.",prairiefarms.com,False
Aspire Bakeries Midco LLC,aspirebakeries.com,True
Aspire Bakeries Holdings LLC,aspirebakeries.com,True
Aspire Bakeries LLC,aspirebakeries.com,True
"Mars Petcare US, Inc.",marspetcare.com,True
"Ajinomoto North America Holdings, Inc.",ajinomotofoods.com,True
J&J Snack Foods Corp.,jjsnack.com,True
"Jennie-O Turkey Store, Inc.",willmarareachamber.com,False
American Crystal Sugar Company,crystalsugar.com,True
The Stouffer Corporation,goodnes.com,True
Nestle Prepared Foods Company,nestle.com,True
"Peet's Coffee & Tea, LLC",peets.com,True
"BBU, INC.",bimbobakeriesusa.com,True
"Alltech, Inc.",alltech.com,True
Circle Peak Capital Management LLC,circlepeakcapital.com,False
Seneca Foods Corporation,senecafoods.com,True
Sensient Technologies Corporation,sensient.com,True
"Lamb Weston, Inc.",lambweston.com,True
"UTZ Brands, Inc.",snacktownstreetfair.com,True
Griffith Foods Group Inc.,griffithfoods.com,True
"BellRing Intermediate Holdings, Inc.",bellring.com,True
"Hostess Brands, Inc.",hostessbrands.com,True
"Newly Weds Foods, LLC",newlywedsfoods.com,True
The Simply Good Foods Company,thesimplygoodfoodscompany.com,True
"Mizkan America Holdings, Inc.",mizkan.com,True
Barry Callebaut U.S.A. LLC,barry-callebaut.com,True
"Krispy Kreme Doughnuts, Inc.",krispykreme.com,True
"Fresh Mark, Inc.",freshmark.com,True
The Procter & Gamble Manufacturing Company,us.pg.com,False
"SFC Global Supply Chain, Inc.",schwanscompany.com,True
"Foster Poultry Farms, LLC",fosterfarms.com,True
"Upstate Niagara Cooperative, Inc.",upstateniagara.com,True
Perdue Farms Incorporated,perdue.com,True
"Bimbo Bakeries USA, Inc.",arnoldbread.com,True
"Ocean Spray Cranberries, Inc.",oceanspray.com,True
Gruma Corporation,missionfoods.com,True
"Harlan Bakeries, LLC",harlanfoods.com,True
"Post Consumer Brands, LLC",postconsumerbrands.com,True
"Rise Baking Company, LLC",risebakingcompany.com,True
Mead Johnson Nutrition Company,meadjohnson.com,True
"Compass Minerals International, Inc.",compassminerals.com,True
Leprino Foods Company,leprinofoods.com,True
"Tropicana Products, Inc.",tropicana.com,True
Kerry Holding Co.,kerry.com,True
"Hill's Pet Nutrition, Inc.",hillspet.com,True
"Cumberland Farms, Inc.",cumberlandfarms.com,True
"The Seminole Tribe of Florida, Inc.",semtribe.com,False
"Medifast, Inc.",medifastinc.com,True
"Michael Foods, Inc.",michaelfoods.com,True
"John B. Sanfilippo & Son, Inc.",jbssinc.com,True
Pacific Coast Producers,pacificcoastproducers.com,True
Triple B Corporation,charliesproduce.com,True
Saputo Cheese USA Inc.,saputousafoodservice.com,True
J. R. Simplot Company,simplot.com,True
"Hiland Dairy Foods Company, LLC",hilanddairy.com,True
"McCain USA, Inc.",mccainusafoodservice.com,True
"Dole Food Company, Inc.",dole.com,True
"Keurig Green Mountain, Inc.",keurigdrpepper.com,True
"Blue Buffalo Pet Products, Inc.",bluebuffalo.com,True
"Mccain Foods USA, Inc.",mccainusafoodservice.com,True
Kerry Inc.,kerry.com,True
"Ready Pac Foods, Inc.",readypac.com,True
"Golden West Food Group, Inc.",gwfg.com,True
"O. K. Foods, Inc.",okfoods.com,True
QUIKTRIP CORPORATION,quiktrip.com,True
Sargento Foods Inc.,sargento.com,True
"AdvancePierre Foods Holdings, Inc.",investors.advancepierre.com,True
Northwest Dairy Association,darigold.com,True
Primary Products Ingredients Americas LLC,primient.com,True
"Lyons Magnus, LLC",lyonsmagnus.com,True
T.Marzetti Company,tmarzetticompany.com,True
Wizards Nuts Holdings LLC,atlasholdingsllc.com,False
Flagstone Foods LLC,flagstonefoods.com,True
Wonderful Pistachios & Almonds LLC,wonderful.com,True
AG Processing Inc A Cooperative,agp.com,False
"Bellissimo Distribution, LLC",grecoandsons.com,True
"Ferrero U.S.A., Inc.",ferreronorthamerica.com,True
Westrock Coffee Company,westrockcoffee.com,True
C.H. Guenther & Son LLC,chg.com,True
Mountaire Farms Inc.,mountaire.com,True
"MGP Ingredients, Inc.",mgpingredients.com,True
"Pepperidge Farm, Incorporated",pepperidgefarm.com,True
Lindt & Sprungli (USA) Inc.,lindtusa.com,True
"AdvancePierre Foods, Inc.",advancepierre.com,True
"Monogram Food Solutions, LLC",monogramfoods.com,True
"Godiva Chocolatier, Inc.",godiva.com,True
"Del Monte Foods, Inc.",delmontefoods.com,True
"Wells Enterprises, Inc.",wellsenterprisesinc.com,True
"Blue Buffalo Company, Ltd.",bluebuffalo.com,True
"Bartlett and Company, LP",bartlettco.com,True
