name,domain,isRelated
1-Pack,1-pack.us,True
2 Dudes Moving,2dudesmovingky.com,False
21st Century Labels & Packaging,21stcenturylabels.com,True
2nd Chance Pallets (2CP),2cpllc.com,False
3C! Packaging,3cpackaging.com,False
3D Barrier Bags Inc,3dbarrierbags.com,True
3G Packaging Inc.,3gpkg.com,True
"A American Container Leasing, Inc.",a-american.com,False
A Net Order,anetorder.us,True
A New Earth Project,anewearthproject.com,False
A To Z Packaging Inc,atozpack.com,True
A&A Global Imports,aaglobalimports.com,True
A&H WORLDWIDE,aandhworldwide.com,True
"A&M PALLET, P.L.L.",aandmpallet.wixsite.com,False
A&M Tape & Packaging,mrboxonline.com,True
A-1 Creative Packaging,a1creativepackaging.com,True
"A-PLAN Packaging, LLC",a-planpackaging.com,True
A-ROO Company,a-roo.com,True
A-Z Packaging,a-zpackaging.com,True
A1 Fiberglass,a1fiberglass.com,False
AA POLY BAG COMPANY,southwestpolybag.com,True
AAA Box Company,aaa-box.com,False
ABA Packaging Corporation,abapackaging.com,False
ABC Crating & Rigging Co,abccrating.com,False
ABC Insert Co.,abcinsert.com,False
ABC Packaging Direct,standuppouches.net,True
"ABCOR Packaging, LLC",abcorpackaging.com,False
ABOX Packaging Company,aboxdigital.com,False
ABS Packaging,abspackaging.com,False
ABX,abxpackaging.com,True
ACCREDO PACKAGING,accredopackaging.com,True
ACW - Advanced Converting Works,advancedconvertingworks.com,True
"ADE, Inc.",ade-usa.com,False
ADM Corporation,admcorporation.com,False
ADR Packaging,adrpackaging.com,False
AE Global,aegpkg.com,True
AEP Industries,aepinc.com,False
AFAB Packaging,afabpackaging.com,True
AFFORDABLE SELF STORAGE INC,affordableselfstorageinc.com,False
AFM (American Film & Machinery),afmsleeves.com,True
AHA Packaging,ahapackaging.com,True
"AICC, The Independent Packaging Association",aiccbox.org,True
ALCAN PACKAGING,lcan.com,False
"ALLIED BOX AND EXCELSIOR, CO., INC",alliedbox.com,True
"ALLIEDFLEX TECHNOLOGIES, INC.",alliedflex.com,True
"ALMA Laboratories, Inc.",almalaboratories.com,False
ALNI Ltd.,alniltd.com,True
"ALPINE Packaging, Inc.",alpinepackaging.com,True
ALTA Beverage / ALTAVision,altabev.com,True
ALeco Container LLC,evolutionbottles.com,False
AM Foam Products,amfoam.com,False
AMAC Technologies,amactechnologies.com,True
AMC North America,amcna.com,True
AMERIPEN,ameripen.org,True
AMERISCEND,hptpharma.com,False
AMMCO,ilovegreengorilla.com,True
AMPD Accessory Group,myampd.com,False
"AOA Products, LLC.",aoaproductsllc.com,True
AP Packaging Corp,appackaging.com,True
APAC 1 Inc,apacone.com,False
APAC PAPER,apacpaper.com,True
"APAK Packaging Group, Inc.",apakpackaging.com,True
APC Packaging,apcpackaging.com,False
APEX 360 ° Packaging Studio,apex360.com,True
APEX Barcoding Systems,apexbarcoding.com,False
"APR Packaging, Inc.",aprpackaging.com,False
APackaging Group,apackaginggroup.com,False
AQL Decorating Co,aqldecorating.com,True
AQUA EZ INC,aquaezpackaging.com,True
"ARI Packaging, A Menasha Packaging Company",ari-packaging.com,True
ARNQUIST PACKAGING CORPORATION,arnquistpackaging.com,True
ARVCO CONTAINER CORPORATION,technicorr.com,True
ARtech Lubricant Packaging,artechpackaging.com,True
ASA Industries,hazmatstorage.com,False
ASV Wines Inc,asvwines.com,True
ATCO Packaging Supplies,atcopacinc.com,False
ATLANTIS PAPER AND PACKAGING,atlantispackaging.com,True
"ATS Cases, Inc",atscases.com,False
ATS World Packaging,atsworldpackaging.com,True
AURORA CASKET CO,auroracasket.com,True
AVC Corporation,avccorp.com,True
AXIS Corrugated Container,accbox.com,True
Aaron Packaging Inc,aaronpackaging.com,True
"Aaron Thomas Company, Inc.",packaging.com,True
Abaca Packaging,abacapackaging.com,False
Abbey Packaging,abbeypackaging.com,True
Abbott-Action Packaging,abbottaction.com,True
Access Creative Group,accesscreativegroup.com,True
Accord Carton,accordcarton.com,True
Accraply,accraply.com,True
"Accredo Packaging, Inc.",accredopackaging.com,True
"Accu-Chart Plus Healthcare Systems, Inc.",accuchart.com,False
Accu-tec Inc,accu-tec.com,True
AccuFlex Packaging,accuflexpackaging.com,False
Accurate Box Company,accuratebox.com,True
Accuspec Packaging Corporation,accuspecpackaging.com,True
Accutech Packaging,accutechpkg.com,True
Ace Packaging Solutions,acepackagingsolutions.com,True
"Acme Corrugated Box Co., Inc.",acmebox.com,True
Acme Packaging,signodeacme.com,True
Acorn,acorn-paper.com,True
Acorn-East,acorn-east.com,True
Action Bag Company,actionbag.com,True
"Action Box Company, Inc.",actionboxinc.com,False
Action Corrugated / Specialty Converting,actioncorrugated.com,True
Action Health,actionhealth.com,False
Action Packaging,actionpackaging.com,True
Action Wood 360,actionwood360.com,False
ActionPak Inc,actionpakinc.com,True
"Acucote, part Fedrigoni Self-Adhesives",acucote.com,True
"Acuity Packaging & Logistics Solutions, LLC",acuitypls.com,True
"Acupac Packaging, Inc.",acupac.com,True
"Ad Industries, LLC",adind.com,False
Ad Packaging,colorad.ca,True
"Adapt-a-pak, Inc.",adaptapak.com,True
Adart Poly Bag,adartpolybag.com,True
Adeneli Packaging,adenelipackaging.com,True
Adept Group (Adept Packaging),adeptpackaging.com,True
Adhecintas,adhecintas.com,True
Adhesive & Packaging Systems Inc,apswest.com,True
Adhesive Label Company,adhesivelabelinc.com,True
"Adhesive Packaging Specialties, Inc.",adhesivepackaging.com,True
"Admiral Packaging, Inc..",admiralpkg.com,True
Advance Packaging Corporation,advancepkg.com,False
Advance Packaging Technologies,advancepac.com,True
Advance Paper Box Co / Packaging Spectrum,advancepaperbox.com,True
Advance Paper Systems,apspackaging.com,False
Advanced Innovative Bottling,aibottling.com,False
Advanced Manufacturing Technology,amtcolorado.com,True
Advanced Packaging Solutions,aps-machinery.com,True
"Advanced Packaging Solutions & Products, Inc.",advancedpckg.com,True
"Advanced Packaging Solutions, LLC",apsol.us,False
Advanced Packaging Systems,advancedpackagingsystems.com,True
Advanced Packaging Technology Laboratories,advanced-labs.com,True
"Advanced Packaging, Inc.",advpack.com,False
"Advantage Label & Packaging, Inc.",advantagelabel.com,True
Advantage Packaging,advantagepkg.com,False
"Advantage Packaging, Inc",advantagepackaging.com,True
Aero Box LLC,https:,True
Aerofil Technology Inc.,aerofil.com,True
Ag-Pak,agpak.com,True
Aggressive Packaging Inc,aggressivepkg.com,True
Agri Mondo Inc,agri-mondo.com,True
"Aim Solutions, Inc.",aimsolutionsinc.net,True
Air Conveying Corp.,airconveyingcorp.com,False
AirWave Packaging Inc,airwave-packaging.com,True
Airguard,airguardpackaging.com,True
