name,domain,isRelated
nationalpackagingsupply.com,nationalpackagingsupply.com,False
starrfoam.com,starrfoam.com,False
sumterpackaging.com,sumterpackaging.com,False
hendersonpackaging.com,hendersonpackaging.com,False
foamconcepts.com,foamconcepts.com,False
rightfoods.com,rightfoods.com,True
dunmore.com,dunmore.com,False
p-esolutions.com,p-esolutions.com,False
kidshealthyfoods.com,kidshealthyfoods.com,True
gncstratagraph.com,gncstratagraph.com,False
giacona.com,giacona.com,True
decolabels.com,decolabels.com,False
starcobrands.com,starcobrands.com,True
harpak-ulma.com,harpak-ulma.com,False
cellofoam.com,cellofoam.com,False
actionpackagingfilms.com,actionpackagingfilms.com,False
libertycarton.com,libertycarton.com,False
twinmonkeys.net,twinmonkeys.net,True
curationfoods.com,curationfoods.com,False
rexopak.com,rexopak.com,False
modernchemical.co,modernchemical.co,False
shieldsbag.com,shieldsbag.com,False
portagesystems.com,portagesystems.com,True
tiptopcocktails.com,tiptopcocktails.com,True
koniecups.com,koniecups.com,False
cuppacpackaging.com,cuppacpackaging.com,False
cg-convertandpack.com,cg-convertandpack.com,False
armorpackcorp.com,armorpackcorp.com,False
titancorrugated.com,titancorrugated.com,False
renw.earth,renw.earth,True
mrhpackaging.com,mrhpackaging.com,True
colortech.com,colortech.com,False
pkgpackaging.com,pkgpackaging.com,True
tencoassemblies.com,tencoassemblies.com,False
barrierplastics.com,barrierplastics.com,False
atlasbranding.com,atlasbranding.com,True
tekweld.com,tekweld.com,False
rcdpackaging.com,rcdpackaging.com,True
cam-pack.com,cam-pack.com,False
woodstockplastics.com,woodstockplastics.com,False
mclanemanufacturing.com,mclanemanufacturing.com,False
bwcooney.ca,bwcooney.ca,False
snacktops.com,snacktops.com,False
kaufmansales.com,kaufmansales.com,False
cpm.solutions,cpm.solutions,False
spsforpkg.com,spsforpkg.com,True
maerflexibles.eu,maerflexibles.eu,False
apexpro.us,apexpro.us,False
producebiopak.com,producebiopak.com,True
keepitsimplo.com,keepitsimplo.com,False
medicalpackaging.com,medicalpackaging.com,False
hooverferguson.com,hooverferguson.com,True
jgfinneran.com,jgfinneran.com,False
paperpakindustries.com,paperpakindustries.com,True
aquabased.com,aquabased.com,False
apcfoam.com,apcfoam.com,False
productionresources.us,productionresources.us,False
shibuyahoppmann.com,shibuyahoppmann.com,True
sunstatepackagers.com,sunstatepackagers.com,False
fpintl.com,fpintl.com,False
bonussearchconsultants.com,bonussearchconsultants.com,False
triangleconvertingcorp.com,triangleconvertingcorp.com,False
davikusa.com,davikusa.com,True
earthwisepackaging.com,earthwisepackaging.com,True
wilkensonandgray.com,wilkensonandgray.com,True
jumbosack.com,jumbosack.com,True
hudsonenvelope.com,hudsonenvelope.com,False
gtiindustries.com,gtiindustries.com,False
szmhemp.com,szmhemp.com,False
klingecorp.com,klingecorp.com,True
blackbournsolutions.com,blackbournsolutions.com,False
gkmanufacturinginc.com,gkmanufacturinginc.com,True
custompackagingandproducts.com,custompackagingandproducts.com,True
sglabelaz.com,sglabelaz.com,False
pressuresensitivefilms.com,pressuresensitivefilms.com,False
aeropackaging.com,aeropackaging.com,False
sio2ms.com,sio2ms.com,False
nebomanufacturing.com,nebomanufacturing.com,False
idcinnovation.com,idcinnovation.com,False
mmcp.co,mmcp.co,False
smartpackagingtechnology.com,smartpackagingtechnology.com,True
philchem.us,philchem.us,False
ckboxco.com,ckboxco.com,False
gokpc.com,gokpc.com,False
cornerimagepkg.com,cornerimagepkg.com,False
rom-industrial.com,rom-industrial.com,False
multecpkging.com,multecpkging.com,False
litchfieldpackaging.com,litchfieldpackaging.com,False
valleypackage.com,valleypackage.com,False
jsagpackaging.com,jsagpackaging.com,True
boghosianraisin.com,boghosianraisin.com,True
linxsales.net,linxsales.net,False
pouchtec.com,pouchtec.com,False
tomco-harwel.com,tomco-harwel.com,False
polyworksinc.com,polyworksinc.com,False
generalpk.com,generalpk.com,False
purepacktechnologies.com,purepacktechnologies.com,False
gecpkg.com,gecpkg.com,False
imperialpkg.com,imperialpkg.com,False
componentsupplycompany.com,componentsupplycompany.com,False
pacmac.com,pacmac.com,True
selectsealpm.com,selectsealpm.com,True
airfilltechnologies.com,airfilltechnologies.com,False
detroitforming.net,detroitforming.net,False
greenislandresource.com,greenislandresource.com,True
sunrisepakusa.com,sunrisepakusa.com,False
ezplasticbags.com,ezplasticbags.com,False
rez-tech-jars.com,rez-tech-jars.com,False
innovativepackaging.com,innovativepackaging.com,False
uscoxl.com,uscoxl.com,False
pactechpackaging.com,pactechpackaging.com,False
takemotopkg.com,takemotopkg.com,True
paketcorp.com,paketcorp.com,False
commandplastic.com,commandplastic.com,False
kwikee.com,kwikee.com,False
pouchfill.com,pouchfill.com,False
gppackaging.com,gppackaging.com,True
paperandpackaging.org,paperandpackaging.org,False
kelvincooperage.com,kelvincooperage.com,True
nutritionengineers.com,nutritionengineers.com,False
fenix-ind.com,fenix-ind.com,True
combinedindustries.com,combinedindustries.com,False
freightfarms.com,freightfarms.com,True
hwrpackaging.com,hwrpackaging.com,False
globo-pak.com,globo-pak.com,False
bunzlpd.com,bunzlpd.com,False
betterpak.com,betterpak.com,False
psix.com,psix.com,False
sij.com,sij.com,False
smartpackagingco.com,smartpackagingco.com,False
aptcollc.com,aptcollc.com,False
acpo.com,acpo.com,False
oxbox.com,oxbox.com,False
rlscottinc.com,rlscottinc.com,False
trideltaplastics.com,trideltaplastics.com,True
epsindustry.org,epsindustry.org,False
marshallplastic.com,marshallplastic.com,False
centorrx.com,centorrx.com,False
jhpaperco.com,jhpaperco.com,False
legacypkg.com,legacypkg.com,False
pricecontainers.com,pricecontainers.com,True
goepack.com,goepack.com,False
inmotionsolutionsgroup.com,inmotionsolutionsgroup.com,False
professionalimagepackaging.com,professionalimagepackaging.com,False
greenweimo.com,greenweimo.com,False
polyfoamcorp.com,polyfoamcorp.com,False
genesisindustriesinc.com,genesisindustriesinc.com,False
eabuschmann.com,eabuschmann.com,False
atlantisplasticscompany.com,atlantisplasticscompany.com,False
packserv.com,packserv.com,False
peka-chemie.de,peka-chemie.de,False
thecateringbox.com,thecateringbox.com,False
bucktapeusa.com,bucktapeusa.com,False
protectpakgroup.com,protectpakgroup.com,False
discountnurserysupplies.com,discountnurserysupplies.com,False
ww7.kokilab.com,ww7.kokilab.com,False
dupre-solutions.com,dupre-solutions.com,True
contractpackagingresources.com,contractpackagingresources.com,False
hpneun.com,hpneun.com,False
pack-magic.com,pack-magic.com,False
ecochainsolutions.com,ecochainsolutions.com,False
rocksolidmanufacturing.com,rocksolidmanufacturing.com,False
murdockcompany.com,murdockcompany.com,False
greenershapes.com,greenershapes.com,False
huatai-group.com,huatai-group.com,True
uslabelcorp.com,uslabelcorp.com,False
rcdprintpack.com,rcdprintpack.com,False
medilineusa.com,medilineusa.com,False
essentrapackaging.es,essentrapackaging.es,False
scalemarket.com,scalemarket.com,False
industryplastic.com,industryplastic.com,True
windhampkg.com,windhampkg.com,True
bakersupply.net,bakersupply.net,False
pmmrworld.net,pmmrworld.net,True
totalpackagingsolutions.net,totalpackagingsolutions.net,False
cosmbrands.com,cosmbrands.com,False
buckeyediamond.com,buckeyediamond.com,False
kartonara.de,kartonara.de,False
adfpi.org,adfpi.org,False
gutenbergsdankpressing.com,gutenbergsdankpressing.com,True
paulmichaelgroup.com,paulmichaelgroup.com,False
cinpak.com,cinpak.com,False
terraboxflorida.com,terraboxflorida.com,False
mcpack.co.uk,mcpack.co.uk,True
rakraftpaper.com,rakraftpaper.com,False
