name,domain,industry,url
George Weston Limited,weston.ca,"Industry: Grocery and Related Product Merchant Wholesalers ,  Grocery and Convenience Retailers ,  Pulp, Paper, and Paperboard Mills ,  Other Food Manufacturing ,  Seafood Product Preparation and Packaging
See All Industries ",https://www.dnb.com/business-directory/company-profiles.george_weston_limited.cb1996db567e68e7480b5728fe083684.html
Cargill Limited,cargill.ca,"Industry: Farm Product Raw Material Merchant Wholesalers ,  Warehousing and Storage ,  Animal Food Manufacturing ,  Miscellaneous Nondurable Goods Merchant Wholesalers ,  Animal Slaughtering and Processing
See All Industries ",https://www.dnb.com/business-directory/company-profiles.cargill_limited.c539b92c08980ff5787e898125c20cb6.html
Saputo Inc,saputo.com,"Industry: Dairy Product Manufacturing ,  Grocery and Related Product Merchant Wholesalers ,  Specialty Food Retailers ,  Natural cheese ,  Dairy products, except dried or canned
See All Industries ",https://www.dnb.com/business-directory/company-profiles.saputo_inc.ff6f41d6f314a3707c522f0ed41aa49d.html
Sollio Groupe Coopératif,sollio.coop,"Industry: Miscellaneous Nondurable Goods Merchant Wholesalers ,  Building Material and Supplies Dealers ,  Grocery and Related Product Merchant Wholesalers ,  Machinery, Equipment, and Supplies Merchant Wholesalers ,  Animal Slaughtering and Processing
See All Industries ",https://www.dnb.com/business-directory/company-profiles.sollio_groupe_coop%C3%A9ratif.54f987912e776d85cde497ca1b129a4e.html
McCain Foods Limited,mccain.com,"Industry: Fruit and Vegetable Preserving and Specialty Food Manufacturing ,  General Freight Trucking ,  Warehousing and Storage ,  Vegetables, quick frozen & cold pack, excl. potato products ,  Trucking, except local
See All Industries ",https://www.dnb.com/business-directory/company-profiles.mccain_foods_limited.73673145d3a0ec40cf9c0cb6709fbf67.html
Olymel S.E.C.,olymel.ca,"Industry: Animal Slaughtering and Processing ,  Grocery and Related Product Merchant Wholesalers ,  Food Manufacturing ,  Manufacturing ,  Meat packing plants
See All Industries ",https://www.dnb.com/business-directory/company-profiles.olymel_sec.def26c9b4da3e5cbee1810b94eff3e6e.html
Premium Brands Holdings Corporation,premiumbrandsholdings.com,"Industry: Other Food Manufacturing ,  Bakeries and Tortilla Manufacturing ,  Animal Slaughtering and Processing ,  Grocery and Related Product Merchant Wholesalers ,  Sandwiches, assembled and packaged: for wholesale market
See All Industries ",https://www.dnb.com/business-directory/company-profiles.premium_brands_holdings_corporation.2654e363b32707b2c52100ad3f7f7a64.html
Jolina Capital Inc.,arbec.ca,"Industry: Management of Companies and Enterprises ,  Plastics Product Manufacturing ,  Remediation and Other Waste Management Services ,  Miscellaneous Durable Goods Merchant Wholesalers ,  Dairy Product Manufacturing
See All Industries ",https://www.dnb.com/business-directory/company-profiles.jolina_capital_inc.6936d5fc9184b2ffdf0b7bca2a57463c.html
Maple Leaf Foods Inc,mapleleaffoods.com,"Industry: Animal Slaughtering and Processing ,  Animal Food Manufacturing ,  Food Manufacturing ,  Manufacturing ,  Meat packing plants, nec
See All Industries ",https://www.dnb.com/business-directory/company-profiles.maple_leaf_foods_inc.0c94d989463a91d94047b66db5b25c46.html
Richardson International Limited,richardson.ca,"Industry: Farm Product Raw Material Merchant Wholesalers ,  Warehousing and Storage ,  Grain and Oilseed Milling ,  Grains ,  Grain elevator, storage only
See All Industries ",https://www.dnb.com/business-directory/company-profiles.richardson_international_limited.36e59b8613d63cc0faad0de3d857bfc8.html
