"id","masked_id","manufacturer_id","product_type","product_type_id","product_identifier","product_identifier_type","name","description","marketing_description","images","minimum_order_volume","minimum_order_volume_type","unit_count","unit_count_type","item_weight","item_weight_unit","ingredients","flavors","packaging_options","additional_info","metadata","external_links","status","created_at","updated_at"
1446,PTU5JWAF6K,2690,CATEGORY,1674,TH16,,Table Honey,Wildflower Honey,Kof-K Certified,{https://images.keychain.com/wlp/PTU5JWAF6K/59393780-50ac-4625-b30c-1e3fc6b0fbbd.jpeg},,,1,Unit,16.000,OZ,Honey,,"{""Plastic Bottle""}",,"",,active,2025-03-27 11:35:05.367,2025-03-27 11:35:05.367
1445,YLK3RK0P1H,2690,CATEGORY,1674,BAH18,,Barrel Aged Honey,Aged in the finest bourbon casks ,Kof-K Certified,{https://images.keychain.com/wlp/YLK3RK0P1H/97154588-fd1d-47b7-8844-c52bee64bd24.jpeg},,,1,Unit,18.000,OZ,Honey,,"{""Glass Bottle""}",,"",,active,2025-03-27 11:35:01.882,2025-03-27 11:35:01.882
1444,OMPKIV6I5S,2690,CATEGORY,1674,BLA12,,Blazin Honey,"Infused with Garlic and Chilis, Blazin’ Honey is a blend of sweet, savory, and spicy",Kof-K Certified,{https://images.keychain.com/wlp/OMPKIV6I5S/b14a7658-3718-4d88-8341-4c51b09c66a7.jpeg},,,1,Unit,12.000,OZ,"Pure Honey, Chili Pepper, Garlic, Vinegar And Salt",,"{""Plastic Bottle""}",,"",,active,2025-03-27 11:34:54.123,2025-03-27 11:34:54.123
1443,PWXZ3KALBM,2690,CATEGORY,1674,CLA11,,Honey Rub Classic Poultry,Creamed Honey base carefully blended with Herbs and Spices,Kof-K Certified,{https://images.keychain.com/wlp/PWXZ3KALBM/1fc24e85-57c6-4721-9287-215d64563b76.jpeg},,,1,Unit,11.500,OZ,"Honey, Salt, Garlic, Thyme, Oregano, Coriander, Marjoram, White Pepper, Sage, Lemon Powder And Cumin",,"{""Glass Jar""}",,"",,active,2025-03-27 11:34:46.110,2025-03-27 11:34:46.110
1442,"3845QRNA5N",2690,CATEGORY,1674,AME11,,Honey Rub Americana,Creamed Honey base carefully blended with Herbs and Spices,Kof-K Certified,{https://images.keychain.com/wlp/3845QRNA5N/e11088c0-9e5f-4c3f-9f40-7ebe286f25cd.jpeg},,,1,Unit,11.500,OZ,"Honey, Sea Salt, Oregano, Basil, Marjoram, Rosemary, Thyme, Garlic, Red Pepper, Contains 2% Or Less Of Oleoresin Paprika, Natural Flavors And Canola Oil",,"{""Glass Jar""}",,"",,active,2025-03-27 11:34:37.826,2025-03-27 11:34:37.826
1441,WLTVT5JDRH,2690,CATEGORY,1674,HOM11,,Honey Rub Homestyle,Creamed Honey base carefully blended with Herbs and Spices,Kof-K Certified,{https://images.keychain.com/wlp/WLTVT5JDRH/c434b7f7-7fda-481d-9bb3-8ddae306d389.jpeg},,,1,Unit,11.500,OZ,"Honey, Ground Peppercorns, Oregano, Basil, Marjoram, Rosemary, Thyme, Aleppo Pepper And Garlic Salt",,"{""Glass Jar""}",,"",,active,2025-03-27 11:34:34.434,2025-03-27 11:34:34.434
1440,"1WF0S1P7WG",2690,CATEGORY,1674,MED11,,Honey Rub Mediterranean,Creamed Honey base carefully blended with Herbs and Spices,Kof-K Certified,{https://images.keychain.com/wlp/1WF0S1P7WG/58dd47e3-924b-484e-a13a-826c5fcf5865.jpeg},,,1,Unit,11.500,OZ,"Honey, Thyme, Blue Lavender Flowers, Rosemary, Marjoram, Fennel Seed, Savory And Basil",,"{""Glass Jar""}",,"",,active,2025-03-27 11:34:26.572,2025-03-27 11:34:26.572
1439,Q3ITWSUESJ,2690,CATEGORY,1674,"10GAL",,Honey Gallon,Wildflower Honey,Kof-K Certified,{https://images.keychain.com/wlp/Q3ITWSUESJ/e10ac98e-eac1-4cfd-8185-ff4490806bc0.jpeg},,,1,Unit,192.000,OZ,Honey,,"{""Plastic Bottle""}",,"",,active,2025-03-27 11:34:23.153,2025-03-27 11:34:23.153
1438,DSGFV485G1,2690,CATEGORY,1674,"10Hon",,"5 Gallon Bucket",Wildflower Honey,Kof-K Certified,{https://images.keychain.com/wlp/DSGFV485G1/83c8e5e1-58e4-466f-8ead-9f4c3b924a6f.jpeg},,,1,Unit,960.000,OZ,Honey,,"{""Plastic Bucket""}",,"",,active,2025-03-27 11:34:19.216,2025-03-27 11:34:19.216
1437,"5OP9OFCZKD",2690,CATEGORY,1674,STPLEXHH,,Stiles Private Label Extra Hot Honey,Made with clean ingredients of Honey and Fresh Chili Peppers Hotter Version,Kof-K Certified,{https://images.keychain.com/wlp/5OP9OFCZKD/0527dedf-f7a6-4cc3-a615-dcf96458b078.jpeg},,,1,Unit,12.000,OZ,"Honey, Chili",,"{""Plastic Bottle""}",,"",,active,2025-03-27 11:34:15.172,2025-03-27 11:34:15.172
1436,V1SWY1FTGA,2690,CATEGORY,1674,STPLHH,,Stiles Private Label Hot Honey,Made with clean ingredients of Honey and Fresh Chili Peppers Medium Heat Level,Kof-K Certified,{https://images.keychain.com/wlp/V1SWY1FTGA/cd95fc37-cce3-46b4-8d4b-b723364722c2.jpeg},,,1,Unit,12.000,OZ,"Honey, Chili",,"{""Plastic Bottle""}",,"",,active,2025-03-27 11:34:11.085,2025-03-27 11:34:11.085
1435,YI9DL2DW1F,2690,CATEGORY,1674,"100ch",,Honey Comb,Wildflower Raw Honeycomb,Kof-K Certified,{https://images.keychain.com/wlp/YI9DL2DW1F/884c5068-9d92-4da7-aeb4-43c8630b316f.jpeg},,,1,Unit,10.000,OZ,Honey Comb,,"{""Plastic Case""}",,"",,active,2025-03-27 11:34:07.650,2025-03-27 11:34:07.650
1434,RBI2Z6YF6F,2690,CATEGORY,1674,"10ckh",,Comb Honey,Honey with a Chunk of Comb,Kof-K Certified,{https://images.keychain.com/wlp/RBI2Z6YF6F/28715d02-a002-4da0-80e5-b158231202a1.jpeg},,,1,Unit,12.000,OZ,Honey And Comb,,"{""Glass Jar""}",,"",,active,2025-03-27 11:34:04.293,2025-03-27 11:34:04.293
1433,O822AR54OA,2690,CATEGORY,1674,"10crh",,Creamed Honey,"Creamed honey is essentially a frosting made from honey, which spreads like peanut butter. The spread form makes honey much more versatile, as it can be put on things like bagels and muffins, that ordinary liquid honey would just run off of.",Kof-K Certified,{https://images.keychain.com/wlp/O822AR54OA/f74e7a8a-458d-4357-b128-1b270f286fc1.jpeg},,,1,Unit,12.000,OZ,Honey,,"{""Glass Jar""}",,"",,active,2025-03-27 11:34:00.259,2025-03-27 11:34:00.259
1432,AEVXKTYPIR,2690,CATEGORY,1674,"10p08",,Bee Pollen,"Bee pollen contains vitamins, minerals, carbohydrates, lipids, and protein.  Bee Pollen is a  great addition to your yogurt, smnoothies  or or granola mix.",Kof-K Certified,{https://images.keychain.com/wlp/AEVXKTYPIR/a91a2ef8-f9d0-42c8-88dc-9ca00f92aef4.jpeg},,,1,Unit,16.000,OZ,Bee Pollen,,"{""Glass Jar""}",,"",,active,2025-03-27 11:33:56.834,2025-03-27 11:33:56.834
1431,A02HQ0BWPS,2690,CATEGORY,1674,"10080",,Honey 5lb,Wildflower Honey,Kof-K Certified,{https://images.keychain.com/wlp/A02HQ0BWPS/cb923bfc-69ab-403e-8bd0-559f9028589e.jpeg},,,1,Unit,80.000,OZ,Honey,,"{""Plastic Bottle""}",,"",,active,2025-03-27 11:33:53.319,2025-03-27 11:33:53.319
1430,NNW496YQYP,2690,CATEGORY,1674,"10032",,Honey 2lb,Wildflower Honey,Kof-K Certified,{https://images.keychain.com/wlp/NNW496YQYP/09af29e8-106f-45f4-ac55-44570e24c31b.jpeg},,,1,Unit,32.000,OZ,Honey,,"{""Plastic Bottle""}",,"",,active,2025-03-27 11:33:49.909,2025-03-27 11:33:49.909
1429,ZS9OETRF1M,2690,CATEGORY,1674,"10016",,Honey 1lb,Wildflower Honey,Kof-K Certified,{https://images.keychain.com/wlp/ZS9OETRF1M/03f46e85-9171-4b9c-abb1-09d477b23732.jpeg},,,1,Unit,16.000,OZ,Honey,,"{""Plastic Bottle""}",,"",,active,2025-03-27 11:33:44.861,2025-03-27 11:33:44.861
1428,X18FNG8X0U,2690,CATEGORY,1674,"10b12",,Honey Bear,Wildflower Honey,Kof-K Certified,{https://images.keychain.com/wlp/X18FNG8X0U/cdecb9f1-be10-4bd1-8030-035dee54924e.jpeg},,,1,Unit,12.000,OZ,Honey,,"{""Plastic Bottle""}",,"",,active,2025-03-27 11:33:18.189,2025-03-27 11:33:18.189
1395,ELHP4IQXMH,561365,INGREDIENT,1422,,,METBROMA™ Bromelain,"Bromelain is a proteolytic enzyme isolated from the pineapple stem that breaks down other proteins, such as collagen and muscle fiber. The proteolytic enzymes are sulfhydryl proteases, a free sulfhydryl group of a cysteine amino acid side chain is required for function. Bromelain helps to inhibit pro-inflammatory compounds, similar to non-steroidal anti-inflammatory drugs reducing swelling & pain. It helps in assisting burn debridement (the removal of dead, burned tissue), preventing blood clots, enhancing fat removal from the body, aiding digestion and reducing sinus symptoms, such as congestion. It is also used for treating arthritis, gout urinary tract infections, ulcerative colitis, and chronic obstructive pulmonary disease.                                                    

Odourless and available in Powder, Granules and Pellets form. Validated by GDU, USP NF              ",,{https://images.keychain.com/wlp/561365/wlp_477e357e-7ed5-4d5b-b99e-b7d1cd7f5fbe.png},25.000,Kg,,,,,,,,,"",,inactive,2025-03-26 16:36:27.239,2025-03-26 16:36:27.239
1394,G4WUQBXAQ9,561365,INGREDIENT,1422,,,METBROMA™ Bromelain,"Bromelain is a proteolytic enzyme isolated from the pineapple stem that breaks down other proteins, such as collagen and muscle fiber. The proteolytic enzymes are sulfhydryl proteases, a free sulfhydryl group of a cysteine amino acid side chain is required for function. Bromelain helps to inhibit pro-inflammatory compounds, similar to non-steroidal anti-inflammatory drugs reducing swelling & pain. It helps in assisting burn debridement (the removal of dead, burned tissue), preventing blood clots, enhancing fat removal from the body, aiding digestion and reducing sinus symptoms, such as congestion. It is also used for treating arthritis, gout urinary tract infections, ulcerative colitis, and chronic obstructive pulmonary disease.                                                    

Odourless and available in Powder, Granules and Pellets form. Validated by GDU, USP NF              ",,{https://images.keychain.com/wlp/561365/wlp_477e357e-7ed5-4d5b-b99e-b7d1cd7f5fbe.png},25.000,Kg,,,,,,,,,"",,inactive,2025-03-26 16:36:26.395,2025-03-26 16:36:26.395
