name,domain
100km Foods Inc.,100kmfoods.com
1642,1642.ca
1847 Stone Milling,1847.ca
3P Raw Pet Food Ltd,3pnaturals.com
50th Parallel Estate,50thparallel.com
A Bread Affair,abreadaffair.com
A-FRAME Brewing Co,aframebrewing.com
A-One Cakes & Pastries Inc.,aonecakes.com
A.C. Covert,accovert.com
ACC Label Inc. / Étiquetage ACC inc.,acclabel.com
ACE Bakery,acebakery.com
ACI Foods Inc.,acifoods.com
ACTIVE FUEL,activefuel.ca
AG World Equipment,agworld.cc
AGF Freezers Ltd.,agffreezers.com
AGT Food and Ingredients Inc.,agtfoods.com
AITCHL Ltd.,aitchl.com
ALSAFA FOODS CANADA & USA,alsafahalal.com
AMCO Group,amcoselect.com
APEX ALIMENTS DEXCELLENCE,apextrades.ca
AQF Système inc.,aqf-systeme.com
AQIA,aqia-qc.org
ARISE N GO,ariseonthego.ca
ATRAHAN Transformation inc.,atrahan.com
AXYON,groupe-axyon.com
Abeego | Keep Food Alive,abeego.com
Abokichi Inc.,abokichi.com
Acadian Maple Products,acadianmaple.com
Accord Courtier,accordcourtier.com
Actium Marketing Inc.,actium-marketing.com
ActivPOP Organic Popcorn,activpop.com
Aenos Food Services,aenosfoods.com
Agence Améri-Flora,ameri-flora.com
Agri-Marché Inc.,agri-marche.com
Agri-Neo,agri-neo.com
Agrifoods International Cooperative Ltd,agrifoods.ca
Agrivera Food Group,agrivera.ca
Agro Meats Inc.,agromeat.ca
Agro-Process,agro-process.com
Aidas Pine Valley Bakery Inc.,aidaspinevalleybakery.com
Aimex Foods Inc.,aimexfoods.com
Alasko,alasko.com
Alberta Turkey Producers,albertaturkey.com
Alchimiste Microbrasserie,alchimiste.ca
Alderlea Vineyards,alderleavineyards.com
Aliments Asta inc,alimentsasta.com
Aliments BCI Foods Inc,bcifoods.com
Aliments Breton Foods Canada Inc.,bretontradition.com
Aliments Green Vallee Inc.,alimentsgreenvallee.com
Aliments JM Inc.,lamorin.ca
Aliments Krispy Kernels,krispykernels.com
Aliments La Bourgeoise,labourgeoise.com
Aliments Morehouse Canada,morehousefoods.ca
Aliments Pasta Romana,pastaromana.com
Aliments Prémont Inc.,premont.ca
Aliments Sibon Foods,sibonfoods.ca
Aliments Sunchef Inc,sunchef.com
Aliments bveggie,bveggie.ca
Alipro-Mistral Ingrédients Inc.,alipro-mistral.com
All Gold Imports Inc,allgold.ca
Alliance Freeze Dry Ltd.,canature.ca
Alpine Bakery,alpinebakery.ca
Amadeus Patisserie,amadeuspatisserie.com
AmazStev,amazstev.com
Ambrosia Corner Bakery,ambrosiacornerbakery.com
Amir Quality Meats Inc.,amirqualitymeats.com
Ammar’s,ammarhalalmeats.com
Ani & Fabi,aniandfabi.com
Anitas Organic Grain and Flour,anitasorganic.com
Annelida Organics Inc. - OMRI Certified,annelida.ca
Antrim Truck Stop,antrimtruckstop.com
Apex Food Source,apexfoodsource.com
Apna Taste,samosasweetfactory.com
Apple Valley Foods Incorporated,applevalleyfoods.com
Aramark Food Services,aramarkenligne.ca
Arbutus Ridge Farms Ltd,arbutusridgefarms.ca
"Archibald Microbrasserie, Inc.",archibaldmicrobrasserie.ca
Arctica Food Group Canada Inc.,arcticafood.com
ArdoVLM,ardovlm.com
Armstrong Milling,armstrongbirdfood.com
Art-Is-In Bakery,artisinbakery.com
Arva Flour Mills,arvaflourmill.com
Atlantic Beef Products Inc,abpi.ca
Augusts Harvest,augustsharvest.com
Aulcorp Foods Inc.,aulcorpfoods.com
Australian Lamb Co Ltd,austlambco.com.au
"Avena Best Ingredients from Avena Foods Limited, formerly Best Cooking Pulses, Inc. since 1936.",bestcookingpulses.com
Avena Foods Limited,avenafoods.com
Ayoubs Dried Fruits & Nuts,ayoubs.ca
"Azuma Foods (Canada) Co., Ltd.",azumafoods.ca
BC Hop Company Ltd.,bchop.ca
BC Tree Fruits Cooperative,bctreefruits.com
BETA5 Chocolates,beta5chocolates.com
BIO RAW,bioraw.ca
BLE Bakery Ltd - La Baguette & lEchalote,labaguette.ca
BRANT TRACTOR,branttractor-kubota.ca
Bad Monkey Popcorn Inc.,badmonkeypopcorn.com
Bake Code Bakery & Café,bakecode.com
Bakers Supply House,bakerssupply.ca
Baking Association of Canada (BAC),baking.ca
Baraka Shea Butter,barakasheabutter.com
Baruvida,baruvida.com
Bassé Nuts,bassenuts.com
Bavarian Link Meat Products Limited,bavarianlink.com
Baxter Kitchens,baxterkitchens.com
Be One to Give,b12give.ca
Becky-Jos VoVo Fried Dough,vovosfrieddough.com
Beechwood Doughnuts,beechwooddoughnuts.com
Beignes DAntan,beignesdantan.com
Bellafornia Bakery Cafe & Bar,bellaforniabakery.com
Bento Nouveau Ltd.,bentosushi.com
Berbician,berbician.net
Bernard Breton inc.,bernardbreton.com
Berryhill Foods Inc.,berryhillfoods.com
"Berthelet, division de/of Solina",berthelet.com
Better than Yia Yias Foods,betterthanyiayias.com
Big Chief Meat Snacks Inc.,bigchiefmeatsnacks.com
Big Country Raw,bigcountryraw.ca
Big Mountain Foods,bigmountainfoods.com
Bimbo Canada,bimbocanada.com
Biofoods Pvt. Ltd.,biofoodslk.com
Bisou Bake House,bisoubakehouse.com
Bisou Dates,bisoudates.com
BjornBar Bakery Ltd.,bjornbarbakery.com
Black Angus Fine Meats and Game,blackangusmeat.com
Blacksmith Bakery,blacksmithbakery.ca
Blaks Bakery,blaksbakery.com
Blendtek Ingredients Inc.,blendtek.com
Bliss Dough Corp,blissdough.com
Blue Danube Sausage House Ltd,bdsh.ca
Blue Dog Ventures Inc.,bluedog.ca
Bobbette & Belle,bobbetteandbelle.com
Bon Appé by Upper Crust,uppercrust.com
Bon Ton Bakery Edmonton,bonton.ca
Bon vivant,bonvivant.bio
Bonchaz Bakery,bonchaz.ca
Bone Jour Broth Co.,thebonejour.com
Bonte Foods Limited,bonte.ca
Bonus Bakery,bonusbakery.com
Boomerang Food,boomerang-coop.com
Booster Juice,boosterjuice.com
Borealis Foods,borealisfoods.ca
Bosa Foods,bosafoods.com
Bosco and Roxys,boscoandroxys.com
Boss Gibson Oyster Company,bossgibson.com
Boulangerie Au Pain Doré,atelier.aupaindore.com
Boulangerie Auger (1991) Inc.,boulangerieauger.com
Boulangerie Chez Fred,chezfred.ca
Boulangerie LAmour du Pain,lamourdupain.com
Boulangerie Lanthier Ltée,lanthierbakery.com
Boulangerie Le Marquis,boulangerielemarquis.com
Boulangerie St-Méthode,boulangeriestmethode.com
Boulangerie-Pâtisserie Dumas Inc.,boulangeriedumas.com
Boulart,boulart.com
Bouvry Canada,bouvrycanada.ca
Brandt Meats,brandtmeats.com
Brasserie distillerie Champ libre Inc.,champlibre.co
Brasseurs du Monde,brasseursdumonde.com
Bread And Salt,breadandsalt.ca
Breadko National Baking Ltd.,breadko.com
Breadsource Corporation,breadsource.com
Breka Bakery & Cafe,breka.ca
Brick Street Bakery,brickstreetbakery.ca
Bridgepeak Nutrition,bridgepeaknutrition.com
Brio Bakery,briobakery.com
Brockmann’s Chocolates,brockmannchocolate.com
Brogue Gastropub,broguepubside.ca
Brome Lake Ducks Limited*Canards du Lac Brome Ltd.,canardsdulacbrome.com
Brooks Pepperfire Foods Inc. -- Peppermaster,peppermaster.com
Brownie Babes,browniebabes.com
Broya,broyaliving.com
Bruized,bruized.com
Brunette,shopbrunette.com
Brystons-On-the-Park,brystons.com
Buffalo Creek Mills,buffalocreekmills.ca
"Buffet Maison, traiteur distingué, pâtisserie & épicerie fine",buffetmaison.com
Bugaboos Bakery Cafe,bugabooscafe.com
Bulik Bakery Inc,bulikbakery.com
Bush Order Provisions Ltd.,bushorder.ca
Butchers To Go,butcherstogo.com
Butter Baked Goods Ltd,butter-baked-goods.myshopify.com
Butter Baker,butter-baker.com
Byblos Bakery Ltd.,byblosbakery.com
Bäckerhaus Veit,backerhausveit.com
C&C Packing LP,ccpacking.com
C-Merak,c-merak.ca
C. Isabelle & fils inc.,isabelleinc.com
CAEQ - Accreditation,caeq.ca
CBCo Alliance inc.,cbcoalliance.com
CBL Bakeries Ltd,cinnaroll.com
