name,domain,isRelated
Catalina Marketing,catalina.com,True
"Barcel USA, LLC",barcel-usa.com,True
Better Being Co. Wellness Brands,betterbeing.com,True
"Biocell Technology, LLC",biocelltechnology.com,True
Chobani,chobani.com,True
Gimme Health Foods,gimmeseaweed.com,True
"Guru Nanda, LLC",gurunanda.com,True
KeHE,kehe.com,True
Life Extension,lifeextension.com,True
"Lifeway Foods, Inc.",lifewaykefir.com,True
Liquid Death Mountain Water,liquiddeath.com,True
LOVE,inlovewithfashion.com,False
Mrs. Meyer's Clean Day & method,mrsmeyers.ca,False
"Natural Vitality, Neocell, Rainbow Light, Renew Life/Piping Rock Health Products",rainbowlight.com,True
Nature’s Truth/Piping Rock Health Products,pipingrock.com,True
Pure Culture Organics,purecultureorganics.com,True
"Robinson Pharma, Inc.",robinsonpharma.com,True
Second Nature Brands,secondnaturebrandsus.com,True
"Simple Mills, Inc.",simplemills.com,True
Tetra Pak,tetrapak.com,True
"Trace Herbals LLC, dba: Herbs, Etc.",herbsetc.com,True
Trace Minerals,traceminerals.com,True
Zipline Logistics,ziplinelogistics.com,True
Bauducco,bauducco.com,True
BlueTriton Brands,bluetriton.com,True
Bob's Red Mill Natural Foods,bobsredmill.com,True
BRAINJUICE,brainjuice.me,True
Catalina Crunch,us.catalinacrunch.com,True
FABBRI USA 1905 LLC,us.fabbri1905.com,True
Flavor Full Foods Inc.,forewaysesame.com,True
Flow Mineral Spring Water,flowhydration.ca,True
Generous Brands,generousbrand.com,False
GoodPop,goodpop.com,True
Hain Celestial,hain.com,True
JonnyPops,jonnypops.com,True
"Life Cider, LLC",lifecider.com,True
"Loacker, USA",loackerusa.com,True
Magtein,magtein.com,False
OATLY,oatly.com,True
Our Home,ourhome.ph,False
RAMBLER,holidayrambler.com,False
RJW Logistics Group,rjwgroup.com,True
Roots Farm Fresh,rootsfarmfresh.com,True
Sirio Pharma/Best Formulations,en.siriopharma.com,True
Stonyfield/siggis,siggis.com,True
SunButter,sunbutter.com,True
THE LEMON PERFECT COMPANY,lemonperfect.com,True
Violife,violife.com,True
Advantage Solutions,youradv.com,True
Archer,archerreview.com,False
Barilla,barilla.com,True
"Chef Bobo – Friendly Grains, Ava Organics, Wowza",chefbobo.com,True
Chomps,chomps.com,True
"Daabon Organic U.S.A., Inc.",daabonusa.com,True
Dairy Farmers of America,dfamilk.com,True
Dairy Management Inc.,usdairy.com,True
Gaia Herbs,gaiaherbs.com,True
Gluten Free Certification Organization,celiac.ca,True
Godshall's Quality Meats,godshalls.com,True
"Hint, Inc.",drinkhint.com,True
Ibotta Performance Network,ipn.ibotta.com,True
"ITO EN (North America), Inc.",itoen.com,True
Kellanova,kellanova.com,True
Korea Ginseng Corp.,kgc.co.kr,True
KSM-66 Ashwagandha,ksm66ashwagandhaa.com,True
Liquid I.V.,liquid-iv.com,True
Lorissa’s Kitchen,lorissaskitchen.com,True
MaryRuth’s,maryruthorganics.com,True
New Chapter,newchapter.com,True
PATH,toronto.ca,False
Saint James Brands,us.saint-james.com,False
"Spindrift Beverage Co., Inc.",drinkspindrift.com,True
SUJA LIFE,sujalife.com,True
The Clearly Food and Beverage Company LLC,clearlycanadian.com,True
Tru Fru,trufru.com,True
Uglies Kettle Chips,ugliessnacks.com,True
Wasa,wasa.com,True
Wise Bar,wise-bar.com,True
(re)zip,rezip.com,True
100 Coconuts,100coconuts.com,True
100% Organic New Zealand,organicsnz.co.nz,True
100% PURE,100percentpure.com,False
10000 Inc (Magic Mind),magicmind.com,True
