name,domain,isRelated
ACG North America,acg-world.com,True
Advanced Powder Dynamics,apdynamics.com,False
"AdvoCare Intl, LLC",advocare.com,True
Agilent Technologies,agilent.com,True
Alkemist Labs,alkemist.com,True
American Association of Naturopathic Physicians,naturopathic.org,True
American Botanical Council,herbalgram.org,False
American Herbal Pharmacopoeia,herbal-ahp.org,True
Amin Wasserman Gurnani,awglaw.com,True
"Applied Food Sciences, Inc",appliedfoods.com,True
Arizona Nutritional Supplements,aznutritional.com,True
Ataqua Regulatory Services,ataquars.com,True
Banned Substances Control Group,bscg.org,True
Bastyr University,bastyr.edu,True
Bayne & Associates,bayne-associates.com,True
"Bend, LLC",linkedin.com,False
"BioNap USA, Inc",bionap.com,True
BioResponse,bioresponse.com,True
Botanical Liaisons,botanicalliaisons.com,False
British Columbia Institute of Technology,bcit.ca,True
Calroy Health Sciences,calroy.com,True
CAMAG Scientific,camag.com,True
Canomiks,canomiks.com,True
China Nutrition and Health Food Association,cnhfa.org.cn,True
CoQ10 Association,coq10association.org,True
Cultivate Biologics,cultivatebiologics.com,True
Doctor’s Best,drbvitamins.com,True
Ethical Naturals,ethicalnaturals.com,True
Eurofins Scientific,eurofins.com,True
"Facilities Consulting NW, LLC",facilitiesconsultingnw.com,True
FDA Compliance Group,fdacg.com,True
FDA Compliance Simplified,fdasimplified.com,True
Flora Research Laboratories,floraresearch.com,True
FoodChain ID,foodchainid.com,True
Future Nutra Foundation,futurenutra.org,True
Global Nutrition Group,global-nutrition.co.jp,True
Global Organization for EPA & DHA Omega-3s,goedomega3.com,True
"Greenberg Traurig, LLP",gtlaw.com,False
Holistic Primary Care,holisticprimarycare.net,True
HPTLC Association,hptlc-association.org,True
Indena USA,indena.com,True
Industry Transparency Center,itcstrategy.com,True
Informa Health & Nutrition,informa.com,False
INSUR-WEST,insur-west.com,True
International Alliance of Dietary /Food Supplement Associations,iadsa.org,True
International Marketing Co.,imc22.com,False
International Probiotics Association,internationalprobiotics.org,True
"INW | Capstone Nutrition, LLC",inw-group.com,True
ISURA,isura.ca,True
Jigsaw Health,jigsawhealth.com,False
Joy’s Quality Management Systems,joysqms.com,True
"Just One Label, LLC",just1label.com,True
LifeScienceRisk,lsrisk.com,False
LifeVantage Corporation,lifevantage.com,False
Lonza Consumer Health & Ingredients,lonza.com,True
Marian Boardley Consulting,marianboardley.com,True
Mary Kay Inc.,marykay.com,False
MegaFood,megafood.com,True
Merieux NutriSciences Company,merieuxnutrisciences.com,True
"Metagenics, LLC",metagenics.com,True
Nammex,nammex.com,True
National Animal Supplement Council,nasc.cc,True
National Center for Natural Products Research,pharmacy.olemiss.edu,False
Natural Factors,naturalfactors.com,True
Nature’s Sunshine Products,naturessunshine.com,True
Non-GMO Project,nongmoproject.org,True
NOSCO,nosco.com,True
NOW Health Group,nowfoods.com,True
NSF International,nsf.org,True
Nu Skin International,nuskin.com,False
Nutrabolt,nutrabolt.com,True
Nutraceuticals World,nutraceuticalsworld.com,True
Nutraland USA,nutralandusa.com,True
Ooyen Research,ooyenresearch.com,True
Ortho Molecular,orthomolecularproducts.com,True
Pattern,pattern.com,False
Personalized Lifestyle Medicine Institute,plminstitute.org,False
"Pharmavite, LLC",pharmavite.com,True
Pharmore Ingredients,pharmore.com,True
PlantaPhile,plantaphile.com,False
PLT Health Solutions,plthealth.com,True
Premier Research Labs,prlabs.com,True
Pure Branding,purebranding.com,True
Quicksilver Scientific,quicksilverscientific.com,True
Radicle Science,radiclescience.com,True
RT Specialty,rtspecialty.com,False
Rubicon Bridge,rubicon-bridge.com,True
Sabater USA,sabaterglobal.com,True
SafetyCall International,safetycall.com,True
Sensapure Flavors,sensapure.com,True
SGS Nutrasource,nutrasource.ca,True
Shaklee Corporation,us.shaklee.com,True
SIRIO Pharma,siriopharma.com,True
Sonoran University of Health Sciences,sonoran.edu,False
SPINS,spins.com,True
Standard Process,standardprocess.com,True
Stratum Nutrition,stratumnutrition.com,True
Supplement Advisory Group,supplementadvisorygroup.com,True
System Biosciences,systembio.com,False
TCI-Biotech,tci-bio.com,True
Tesseract,tessmed.com,True
The Shelton Group,sheltongrp.com,False
Thorne Research,thorne.com,True
Tishcon Corporation,tishcon.com,True
Trust Transparency Center,trusttransparency.com,True
"TSI USA, LLC",tsigroupltd.com,True
United States Pharmacopeia,usp.org,True
USANA Health Sciences,usana.com,False
Vorys eControl,vorysecontrol.com,False
Waters Corporation,waters.com,True
WBX Commerce,wbxcommerce.com,False
Whole Foods Market,wholefoodsmarket.com,True
WholeFoods Magazine,wholefoodsmagazine.com,True
William Reed,william-reed.com,True
Windrose Partners,windrosepartners.com,True
