Name,Domain
2226621 Alberta Ltd/ Fairwinds Farm,fairwindsfarm.ca
Acclivity Food Safety Consulting,acclivityfoodsafety.ca
ADM Agri-Industries Company,adm.com
Agri-Food Innovation Expo,agrifoodexpo.ca
Alberta Craft Distillers Association,albertacraftdistillers.com
Alberta Pork,"putporkonyourfork.com,%20albertapork.com"
Aliya’s Foods Limited,aliyasfoods.com
Alvim’s Fine Foods,alvims.com
Americold Logistics,brookfieldcoldstorage.com
Arthur J. Gallagher,ajgcanada.com
ATB Financial,atb.com
Baba’s Black Garlic Inc.,babasblackgarlic.com
Bae Food Group,baefoodgroup.com
Bar None Ranches Ltd.,barnoneranches.com
BBQ Beautiful,bbqbeautiful.ca
Bee Maid Honey Limited,beemaid.com
Bevmax,bevmax.ca
BHJ Canada,bhj.ca
Big Chief Meat Snacks Inc.,bigchiefmeatsnacks.com
Big Marble Farms Inc.,bigmarble.ca
Big Mountain Coffee Roasters Ltd.,bigmountaincoffeeroasters.ca
Big Sky Milling INc.,bigskymilling.com
Blends Inc.,blends.ca
Blue Sky Analytical Labs Ltd.,blueskyanalytics.ca
Bone to Broth,bonetobroth.ca
Booby Food – 2005937 AB Inc.,boobyfood.com
Boom Baby Food Corp.,boombabyfood.com
Britestone Farming Co. Ltd.,britestone.ca
British Banger Company Inc.,britishbangercompany.ca
British Canadian Importers Ltd.,bcimporters.com
Broken Tine Orchard,vitalaberry.ca
BrokerLink,brokerlink.ca
Bullseye Packaging Services,bullseyepackaging.ca
Bunge Canada,bunge.com
Burnbrae Farms Limited,burnbraefarms.com
Business Development Bank (BDC),bdc.ca
Business in Calgary Magazine,businessincalgary.com
Caldera Distilling Inc. | Highwood Distillers Ltd.,caldera.ca
Calgary Chamber of Commerce,calgarychamber.com
Calgary Co-op,calgarycoop.com
Calgary Italian Bakery Ltd.,cibl.com
Camfil Canada Inc.,camfil.com
Canada Grand Enterprises Inc.,grand-enterprises.com
Canadian Copacking Group Inc.,canadiancpg.com
Canadian Oats Milling Ltd.,canadian-oats.com
Canadian Rangeland Bison & Elk Inc,rangelandbison.ca
Canova Pasticceria,canova.ca
Canwell Oil Corp.,canwelloil.ca
Capital Fine Meats,capitalfinemeats.ca
CarbonOne – 14058992 Canada Inc.,carbon-one.ca
Care Bakery,carebakery.com
Cargill,cargill.com
Casa Bonita Foods,casabonitafoods.com
Chamco Industries Ltd.,chamco.com
Champion Petfoods LP,championpetfoods.com
Chinook Cheese,chinookcheese.com
Cinnaroll by CBL Bakeries Ltd.,bakerboys.net
CNC Contract Cleaning Services Ltd.,cncsanitation.ca
Cocoa Community Confections Inc.,cococochocolatiers.com
Columbia Ice Express Inc.,columbiaice.ca
Columbia Seed Co. Ltd.,columbiaseed.ca
Con Cure Restoration,concure.ca
Confetti Sweets,confettisweets.ca
Crave Cupcakes,cravecupcakes.ca
Crust Craft Inc.,crustcraft.com
Crystal Springs Cheese,crystalspringscheese.site88.net
CULTURE ADVISORY GROUP INC.,cultureadvisorygroup.com
Dark Side of the Grill Inc.,instagram.com
Deepwater Farms and Agriculture Ltd.,deepwaterfarms.com
Delicioso Foods Inc.,deliciosofood.com
DGH Engineering Ltd.,dghengineering.com
Distribution Qualtech,distributionqualtech.com
Dongo Corporation,dongocorp-candelice.ca
Dutch Pastry Boutique (Calgary) Ltd. o/a dpb Baking Company,dpbbakingcompany.com
Eau Claire Distillery Ltd.,eauclairedistillery.ca
Echo Promotions,echopromotions.ca
Edmonton Potato Growers Co-Operative Inc.,epg.ab.ca
Effective Facility Services Inc.,effectivefacilityservices.ca
EggSolutions EPIC Inc.,epiceggs.ca
El Chorizo Latino,elchorizolatino.com
El Mercado Inc.,tortillaselmercado.com
El Molino Foods of Canada,elmolinofoods.com
Element,element.com
Engineering Possibilities,engineeringpossibilities.ca
Enviro-Stewards Inc.,enviro-stewards.com
Epsilon Chemicals Ltd.,epsilonchemicals.com
Export Development Corporation (EDC),edc.ca
Eyesafe,eyesafe.ca
FABA CANADA LTD,peabutter.ca
Farm Credit Canada,fcc-fac.ca
Five Corners Meats,donaldsfinefoods.com
Flair Flexible Packaging Corp.,flairpackaging.com
Food Biz Mentoring,foodbizmentoring.com
Food Processing Development Center,agriculture.alberta.ca
Food Processing Skills Canada (FPSC),fpsc-ctac.com
Food Safety Solutions Inc.,foodsafetysolutions.ca
Foothills Creamery Ltd.,foothillscreamery.com
Fresh Forward Inc.,freshforward.ca
Fresh Taste Produce,freshtasteproduce.com
Friesen Plastics Inc.,friesenplastics.com
"GFR Ingredients, Inc.",gfringredients.com
GFS Prairies Inc. (Gordon Food Service),gfscanada.com
Ginger Beef Choice Ltd.,gingerbeefchoice.com
Glenmore Custom Print + Packaging,glenmorecustomprint.com
Globel Canada Inc.,globelcanada.com
Golden Acres Honey Products Ltd,goldenacreshoney.com
Good Morning Honey,goodmorninghoney.ca
Goodness Bombs Energy Bites & Mixes,goodnessbombs.com
Gradient Beverages Corp,drinkgradient.com
Great Little Box Company,glbc.com
Greenway Food Services Ltd.,kobeclassicbeef.com
Groundup Eco-Ventures,groundupev.com
Gubersky Gluten-Free Organics Inc,gubersky%20gluten-%20free%20organics%20inc.
Gummy Nutrition Lab,gummynutritionlab.com
Handtmann Canada Limited,handtmann.ca
Hello Amino,helloamino.com
Here U Go Goods Inc.,threebearsprovisions.com
Heritage Frozen Foods Ltd.,cheemo.com
Highline Mushrooms West Limited,highlinemushrooms.com
Highwood Crossing Foods Ltd.,highwoodcrossing.com
Honest Dumplings,honestdumplings.ca
Immigration Care,immigrationcare.ca
Infinity Reef,infinityreef.studio
Inovata Foods,inovatafoods.com
Intercity Packers Meat & Seafood (Intercity Packers Ltd.),intercitypackers.ca
Irvings Farm Fresh Ltd.,irvingsfarmfresh.com
ITF – Intune Foods,intunefoods.ca
Jake’s Seasonings Inc.,jakesseasonings.com
JB’s Sausage Maker Supplies,jbsausagesupplies.com
JBS Food Canada ULC,jbssa.com
Jenny’s Delectables Inc,jennysdelectables.com
Kasa Consulting – Cameron Mitchell,kasaconsulting.ca
Keho Lake Farms Ltd,klfarms.ca
Kinnikinnick Foods Inc.,kinnikinnick.com
Kuhlmann’s Market Gardens & Greenhouses Ltd.,kuhlmanns.com
La Molienda Foods Inc,lamolienda.ca
Labatt Brewery Company of Canada,labatt.com
Lamb Weston Canada ULC,lamb-weston.com
Laporte Engineering Inc.,laporteconsultants.com
Lead Foods,leadfoods.com
Legal Alfalfa Products Ltd.,alfatec.ca
Lethbridge Biogas,lethbridgebiogas.ca
Little Gems Farm Ltd,littlegemsfarm.com
Lloyd Sadd Insurance Brokers Ltd.,lloydsadd.com
Local Loaf,local-loaf.ca
Lost Things Distillery,lostthingsdistillery.ca
Luco Associates Ltd.,lucofarms.com
MacDonald Search Group,macdonaldsearchgroup.com
Mackay’s Cochrane Ice Cream,mackaysicecream.com
Maple Leaf Foods Inc.,mapleleaf.ca
Marchyshyn’s Home Meat Market Ltd.,marchyshyns.com
Maskwa Backcountry Foods,maskwagourment.ca
Matrix Group Publishing,matrixgroupinc.net
Medicine Hat Meat Traders Ltd.,mhmt.ca
Mini Kitchen – El Gringo,minikitchen.ca
Mini Melts,minimelts.ca
MLT Aikins LLP,mltaikins.com
MNP,mnp.ca
Modern Whisk GF,modernwhisk.com
Monster Sauce,monstersauce.ca
Mother May I Ltd.,mothermayidip.com
Mountain Top Foods,mountaintopfoods.com
Mountain View Poultry,vyefieldenterprises.ca
Mountainview Farming,mountainviewfarming.com
NAIT Industry Solutions – Centre for Culinary Innovation,nait.ca
Nandi Food Company,nandifoods.com
Neogen,neogen.com
NewCold Canada,newcold.com
Normex,normex.ca
Nossack Fine Meats Ltd.,nossack.com
Nossack Gourmet Foods Ltd.,nossack.com
Novem Pharmaceuticals,novempharma.com
NudeMarkt,nudemarkt.com
Nutrilytical,nutrilytical.ca
Nutrition Partners,nutritionpartners.ca
OLAF Packaging Group Inc.,olafpackaging.com
Olivier’s Candies / The Candy Tree,oliviers.ca
