name,domain,isRelated
2226621 Alberta Ltd/ Fairwinds Farm,fairwindsfarm.ca,False
Acclivity Food Safety Consulting,acclivityfoodsafety.ca,True
ADM Agri-Industries Company,adm.com,True
Agri-Food Innovation Expo,agrifoodexpo.ca,True
Alberta Craft Distillers Association,albertacraftdistillers.com,True
Alberta Pork,"putporkonyourfork.com,%20albertapork.com",True
Aliyas Foods Limited,aliyasfoods.com,True
Alvims Fine Foods,alvims.com,True
Americold Logistics,brookfieldcoldstorage.com,True
Arthur J. Gallagher,ajgcanada.com,False
ATB Financial,atb.com,False
Babas Black Garlic Inc.,babasblackgarlic.com,True
Bae Food Group,baefoodgroup.com,True
Bar None Ranches Ltd.,barnoneranches.com,False
BBQ Beautiful,bbqbeautiful.ca,True
Bee Maid Honey Limited,beemaid.com,True
Bevmax,bevmax.ca,True
BHJ Canada,bhj.ca,False
Big Chief Meat Snacks Inc.,bigchiefmeatsnacks.com,True
Big Marble Farms Inc.,bigmarble.ca,True
Big Mountain Coffee Roasters Ltd.,bigmountaincoffeeroasters.ca,True
Big Sky Milling INc.,bigskymilling.com,True
Blends Inc.,blends.ca,True
Blue Sky Analytical Labs Ltd.,blueskyanalytics.ca,False
Bone to Broth,bonetobroth.ca,True
Booby Food  2005937 AB Inc.,boobyfood.com,True
Boom Baby Food Corp.,boombabyfood.com,True
Britestone Farming Co. Ltd.,britestone.ca,True
British Banger Company Inc.,britishbangercompany.ca,True
British Canadian Importers Ltd.,bcimporters.com,True
Broken Tine Orchard,vitalaberry.ca,True
BrokerLink,brokerlink.ca,False
Bullseye Packaging Services,bullseyepackaging.ca,True
Bunge Canada,bunge.com,True
Burnbrae Farms Limited,burnbraefarms.com,True
Business Development Bank (BDC),bdc.ca,False
Business in Calgary Magazine,businessincalgary.com,False
Caldera Distilling Inc. | Highwood Distillers Ltd.,caldera.ca,True
Calgary Chamber of Commerce,calgarychamber.com,False
Calgary Co-op,calgarycoop.com,True
Calgary Italian Bakery Ltd.,cibl.com,True
Camfil Canada Inc.,camfil.com,True
Canada Grand Enterprises Inc.,grand-enterprises.com,True
Canadian Copacking Group Inc.,canadiancpg.com,True
Canadian Oats Milling Ltd.,canadian-oats.com,True
Canadian Rangeland Bison & Elk Inc,rangelandbison.ca,True
Canova Pasticceria,canova.ca,True
Canwell Oil Corp.,canwelloil.ca,True
Capital Fine Meats,capitalfinemeats.ca,True
CarbonOne  14058992 Canada Inc.,carbon-one.ca,True
Care Bakery,carebakery.com,True
Cargill,cargill.com,True
Casa Bonita Foods,casabonitafoods.com,True
Chamco Industries Ltd.,chamco.com,False
Champion Petfoods LP,championpetfoods.com,True
Chinook Cheese,chinookcheese.com,True
Cinnaroll by CBL Bakeries Ltd.,bakerboys.net,True
CNC Contract Cleaning Services Ltd.,cncsanitation.ca,True
Cocoa Community Confections Inc.,cococochocolatiers.com,True
Columbia Ice Express Inc.,columbiaice.ca,True
Columbia Seed Co. Ltd.,columbiaseed.ca,True
Con Cure Restoration,concure.ca,False
Confetti Sweets,confettisweets.ca,True
Crave Cupcakes,cravecupcakes.ca,True
Crust Craft Inc.,crustcraft.com,True
Crystal Springs Cheese,crystalspringscheese.site88.net,True
CULTURE ADVISORY GROUP INC.,cultureadvisorygroup.com,True
Dark Side of the Grill Inc.,instagram.com,False
Deepwater Farms and Agriculture Ltd.,deepwaterfarms.com,True
Delicioso Foods Inc.,deliciosofood.com,True
DGH Engineering Ltd.,dghengineering.com,True
Distribution Qualtech,distributionqualtech.com,True
Dongo Corporation,dongocorp-candelice.ca,False
Dutch Pastry Boutique (Calgary) Ltd. o/a dpb Baking Company,dpbbakingcompany.com,True
Eau Claire Distillery Ltd.,eauclairedistillery.ca,True
Echo Promotions,echopromotions.ca,False
Edmonton Potato Growers Co-Operative Inc.,epg.ab.ca,True
Effective Facility Services Inc.,effectivefacilityservices.ca,True
EggSolutions EPIC Inc.,epiceggs.ca,True
El Chorizo Latino,elchorizolatino.com,True
El Mercado Inc.,tortillaselmercado.com,True
El Molino Foods of Canada,elmolinofoods.com,True
Element,element.com,False
Engineering Possibilities,engineeringpossibilities.ca,False
Enviro-Stewards Inc.,enviro-stewards.com,True
Epsilon Chemicals Ltd.,epsilonchemicals.com,True
Export Development Corporation (EDC),edc.ca,False
Eyesafe,eyesafe.ca,False
FABA CANADA LTD,peabutter.ca,False
Farm Credit Canada,fcc-fac.ca,True
Five Corners Meats,donaldsfinefoods.com,True
Flair Flexible Packaging Corp.,flairpackaging.com,True
Food Biz Mentoring,foodbizmentoring.com,True
Food Processing Development Center,agriculture.alberta.ca,True
Food Processing Skills Canada (FPSC),fpsc-ctac.com,True
Food Safety Solutions Inc.,foodsafetysolutions.ca,True
Foothills Creamery Ltd.,foothillscreamery.com,False
Fresh Forward Inc.,freshforward.ca,True
Fresh Taste Produce,freshtasteproduce.com,True
Friesen Plastics Inc.,friesenplastics.com,True
"GFR Ingredients, Inc.",gfringredients.com,True
GFS Prairies Inc. (Gordon Food Service),gfscanada.com,False
Ginger Beef Choice Ltd.,gingerbeefchoice.com,True
Glenmore Custom Print + Packaging,glenmorecustomprint.com,True
Globel Canada Inc.,globelcanada.com,False
