Membership Type,Company,Website,Address,Phone,Job Title
Retail Bakery (1yr Intro),Marcelle's Kitchen,marcelleskitchen.ca,"Ontario, CA",905 982 0794,owner
Retail Bakery (1yr Intro),Nanna’s Bakery,--,"New Brunswick, CA",5068559645,Owner
Retail Bakery (1yr Intro),Molly's Bistro Bakery,mollysbistrobbakery.ca,"Ontario, CA",705-286-6988,Partner
Retail Bakery (1yr Intro),Pizza on Earth,pizzainearth.ca,"Ontario, CA",7053801689,Owner
Retail Bakery (1yr Intro),AMRA Bakery DBA European Breads Bakery,--,"British Columbia, CA",6048795177,Manager
Retail Bakery (1yr Intro),Honey Grove Bakery,www.honeygrovebakery.ca,"British Columbia, CA",250.898.3304,Co-owner
Retail Bakery (1yr Intro),Lexy’s Bake Shop,--,"Ontario, CA",8072765036,Owner and Baker
Retail Bakery (1yr Intro),Boon Bakery Inc.,boonbakery.ca,"Ontario, CA",5193726906,Owner
Retail Bakery (1yr Intro),Newfoundland Chocolate Company,www.newfoundlandchocolatecompany.com,"Newfoundland and Labrador, CA",7096909899,owner /chocolatier
Retail Bakery (1yr Intro),Piggy and Paisley Tea Room,piggyandpaisley.ca,"British Columbia, CA",250-386-4700,Owner
Retail Bakery (1yr Intro),Comeau’s Farm Market,--,"Nova Scotia, CA",9027698687,Manager
Industrial Bakery,Upper Crust,,"Ontario, CA",4166617744,None provided
Industrial Bakery,Dufflet Pastries,,"Ontario, CA",4165361330,None provided
Industrial Bakery,Del's Pastry Limited,www.delspastry.com,"Ontario, CA",4166064779,COO
Industrial Bakery,Backerhaus Veit Ltd,--,"Ontario, CA",9058509229,Quality Assurance Manager
Industrial Bakery,Backerhaus Veit Ltd,--,"Ontario, CA",9058509229,Chief Marketing Officer
Industrial Bakery,Give and Go Prepared Foods Inc,,"Ontario, CA",4166750114,None provided
Industrial Bakery,Backerhaus Veit Ltd,--,"Ontario, CA",9058509229,Regulatory Affairs Supervisor
Industrial Bakery,Backerhaus Veit Ltd,--,"Ontario, CA",9058509229,Finance Manger
Industrial Bakery,Portofino Wholesale Bakery,,"British Columbia, CA",2504756099,None provided
Industrial Bakery,Choices Markets Ltd,--,"British Columbia, CA",6049522266,Manager
Industrial Bakery,Mrs Dunsters 1996 Inc,,"New Brunswick, CA",5064344335,None provided
Industrial Bakery,Tradition Fine Foods Ltd,,"Ontario, CA",4164444777,None provided
Industrial Bakery,Gala Bakery,,"Ontario, CA",9055786485,None provided
Industrial Bakery,Calgary Italian Bakery,,"Alberta, CA",4032553515,None provided
Industrial Bakery,Ozery Bakery,,"Ontario, CA",4166304224,None provided
Industrial Bakery,Bridor Inc,,"Quebec, CA",4506411265,None provided
Industrial Bakery,CBL Bakeries Ltd,www.cinnaroll.com,"Alberta, CA",5873924735,CEO
Industrial Bakery,Milano Bakeries Ltd,,"Ontario, CA",9058509010,None provided
Industrial Bakery,Funn Food Factory Inc oaWinsor Bakery,,"Newfoundland and Labrador, CA",7096859864,None provided
Industrial Bakery,Island City Baking Co,,"British Columbia, CA",6043604370,None provided
Industrial Bakery,Island City Baking Co,,"British Columbia, CA",6043604370,None provided
Industrial Bakery,Conseil de la Boulangerie du Quebec,--,"Quebec, CA",4503491521,"Vice-président, Innovation et affaires économiques"
Industrial Bakery,Ozery Bakery,www.ozerybakery.com,"Ontario, CA",905-265-1143 x394,VP of R&D and QA
Industrial Bakery,Ozery Bakery,--,"Ontario, CA",905-265-1143 x408,Quality Assurance Manager
Industrial Bakery,Choices Markets Ltd,--,"British Columbia, CA",778-379-5757,Director of Commissary Operations
Industrial Bakery,Olivier's La Boulangerie,--,"British Columbia, CA",(604) 338-7554,Sales & Marketing Manager
Industrial Bakery,Milano Bakeries,--,"Ontario, CA",905-761-2013 x221,Production Planner/Scheduler
Industrial Bakery,La Baguette & l’Échalote/BLÉ BAKERY,https://labaguette.ca/,"British Columbia, CA",604-736-5323,Owner
Industrial Bakery,La Baguette & l’Échalote/ BLÉ BAKERY,https://labaguette.ca/,"British Columbia, CA",604-736-5323,Owner
Industrial Bakery,Give Go Prepared Foods Inc,--,"Ontario, CA",4166750114,Director of Procruement
Industrial Bakery,Demetres Manufactory Ltd.,--,"Ontario, CA",4165443411,President
Industrial Bakery,Niche Bakers Corp,nichebakers.com,"Ontario, CA",416-213-8696,Director of Purchasing & Executive Chef
Industrial Bakery,La Baguette & l’Échalote/BLÉ BAKERY,--,"British Columbia, CA",604-736-5323,Associate
Industrial Bakery,La Baguette & l’Échalote/BLÉ BAKERY,--,"British Columbia, CA",604-644-7273,Production Manager/Master Baker
Industrial Bakery,La Baguette & l’Échalote/ BLÉ BAKERY,--,"British Columbia, CA",6044040950,Master Baker
Industrial Bakery,La Baguette & l’Échalote/ BLÉ BAKERY,--,"British Columbia, CA",6046717702,Production Manager/Master Baker
Association / School,Northern Alberta Institute of Technology,,"Alberta, CA",7804718693,None provided
Association / School,Niagara College,,"Ontario, CA",9056412252,None provided
Association / School,SAIT School of Hospitality and Tourism,--,"Alberta, CA",4032848110,Culinary
Association / School,Vancouver Community College,,"British Columbia, CA",6044438359,None provided
Association / School,SAIT School of Hospitality and Tourism,,"Alberta, CA",4037745063,None provided
Association / School,Conestoga College,,"Ontario, CA",5198850300,None provided
Association / School,Vancouver Island University,,"British Columbia, CA",2507406114,None provided
Association / School,George Brown College,www.georgebrown.ca/chefschool,"Ontario, CA",4164155000,"Academic Operations Coordinator, The Chef School"
Association / School,Algonquin College,,"Ontario, CA",6137274723,None provided
Association / School,Grain Farmers of Ontario,--,"Ontario, CA",5197676537,"Manager, Market Development and Sustainability"
Association / School,Canadian Sugar Institute,,"Ontario, CA",2897801788,None provided
Association / School,Red River College Polytech,rrc.ca,"Manitoba, CA",204.632.2454,Baking & Pastry Instructor
Association / School,George Brown College,https://missjuliebakes.com,"Ontario, CA",4169107357,Pastry Chef/Professor
Association / School,LaSalle College Vancouver,--,"British Columbia, CA",604 683-2006,Academic Liaison
Association / School,Fred Victor Centre,https://www.fredvictor.org/,"Ontario, CA",416-364-9172 (extension 7525),"Case Worker, Facilitator Women's Bakery Program"
Association / School,College of the North Atlantic,--,"Newfoundland and Labrador, CA",(709) 758-7000,Buyer
Chain Store / Franchisor,Tim Hortons (Restaurant Brands International),--,"Ontario, CA",305-378-3394,"Director, Nutrition & Quality Assurance Sustainability"
Chain Store / Franchisor,Costco Wholesale CA Ltd,,"Ontario, CA",2894591649,None provided
Allied (National),Reiser CA Co,,"Ontario, CA",9056316611,None provided
Allied (National),Embassy Ingredients Ltd,,"Ontario, CA",9057893208,None provided
Allied (National),MIWE CA,,"Ontario, CA",9056140505,None provided
Allied (National),Chocolate Smet CA Inc,,"Ontario, CA",9055645900,None provided
Allied (National),Redpath Sugar Ltd,,"Ontario, CA",4163663561,None provided
Allied (National),AliproMistral Ingredients Inc,,"Quebec, CA",4506380005,None provided
Allied (National),IMCD CA Limited,,"Ontario, CA",2895449220,None provided
Allied (National),Pan Glo Coatings CA,,"Ontario, CA",5197562800,None provided
Allied (National),Tielman North America,,"Ontario, CA",9059335334,None provided
Allied (National),SEW Eurodrive,,"Ontario, CA",9057911553,None provided
Allied (National),Farinart Inc,,"Quebec, CA",8193962669,None provided
Allied (National),Quadra Ingredients,--,"Ontario, CA",(416) 574-8199,Business Segment Manager – Bakery & Snack
Allied (National),Multivac CA,ca.multivac.com,"Ontario, CA",3654403816,Marketing Coordinator
Allied (National),Lallemand Inc,,"Quebec, CA",5145222133,None provided
Allied (National),Caldic CA Inc,,"Ontario, CA",9058127300,None provided
Allied (National),NutraSun Foods Ltd,--,"Saskatchewan, CA",3067512040,General Manager
Allied (National),Ingredion CA,,"Ontario, CA",9052817950,None provided
Allied (National),Puratos CA Inc,,"Ontario, CA",9053623681,None provided
Allied (National),Kwik Lok Corporation,--,"Ontario, CA",9059951453,Regional Sales Manager
Allied (National),Global Egg Corporation,,"Ontario, CA",4163544186,None provided
Allied (National),BakeMark CA,--,"British Columbia, CA",604-303-1732,"General Manager, BC"
Allied (National),Chicago Metallic Bakeware CA,,"Ontario, CA",5197562800,None provided
Allied (National),Richardson Food Ingredients,--,"Manitoba, CA",(204) 934-5281,Marketing Specialist
Allied (National),Harvest Corporation,,"British Columbia, CA",6042946650,None provided
Allied (National),ABI Ltd,--,"Ontario, CA",905-738-6070,Marketing & Communications coordinator – North America
Allied (National),Farm Credit Canada (FCC),--,"Ontario, CA",5196525224,"Manager, Marketing Programs"
Allied (National),Unifiller Systems Inc,,"British Columbia, CA",6049402233,None provided
Allied (National),Ardent Mills,,"Ontario, CA",9054942643,None provided
Allied (National),AB Mauri,,"Quebec, CA",5145858226,None provided
Allied (National),Burnbrae Farms Limited,,"Ontario, CA",4163466426,None provided
Allied (National),ADM Milling Company,,"Ontario, CA",4372384244,None provided
Allied (National),Handtmann CA Limited,--,"Ontario, CA",5197462065,Sales Administrative Support
Allied (National),Buhler CA Inc,,"Ontario, CA",9057548669,None provided
Allied (National),PH Milling Group,,"Ontario, CA",5196506400,None provided
Allied (National),Nutriart sec,,"Quebec, CA",4186875320,None provided
Allied (National),KLR Systems Inc.,,"QUE, CA",None provided,None provided
Allied (National),LANTIC INC.,--,"Ontario, CA",4162529435,Director of Sales
Allied (National),Vale Packaging Limited,www.valepackaging.ca,"Nova Scotia, CA",9028571392,DIRECTOR OF ADMINISTRATION
Allied (National),Vale Packaging Limited,,"Nova Scotia, CA",9028571392,None provided
Allied (National),Ireks North America Ltd,,"Ontario, CA",9057899999,None provided
Allied (National),AMF Bakery Systems,,"Ontario, CA",5197664631,None provided
Allied (National),Food Preventive Control Services CA Inc.,,"Ontario, CA",905 220 4016,None provided
Allied (National),Bakers Journal,,"Ontario, CA",8885992228,None provided
Allied (National),Caldic CA,,"British Columbia, CA",604-369-3664,None provided
Allied (National),Omori North America Inc,www.omori-na.com,"Ontario, CA",905-857-7880 x241,Sales and Marketing Coordinator
Allied (National),Ingredion Canada,ingredion.com,"Ontario, CA",905 281 7956,"Senior Account Manager, Systems and Ingredients Solutions"
Allied (National),Handtmann Canada Limited,--,"Ontario, CA",(416) 557-8789,National Business Development and Sales Manager
Allied (National),Olera Ingredients & Distribution,http://www.olera.ca/,"British Columbia, CA",(604)472-2656 x105,Director of Sales – Canada
Allied (National),RF Bakery Equipment,www.rfbakery.com,"British Columbia, CA",(604) 298-6673,Unknown
Allied (National),PH Milling Group,--,"Ontario, CA",1 (519) 650-6421,Sales Administration Manager
Allied (National),Lesaffre Corporation,--,"Quebec, CA",414-239-3278,Area sales manager – East Canada
Allied (National),Cana Packing Inc.,canapacking.ca,"Nova Scotia, CA",902 471-3510,Senior Vice President and Chief Operating Officer
Allied (National),FlexiBake ERP Software,https://www.flexibake.com/,"British Columbia, CA",6046376528,GM
Allied (National),Master Martini Canada,--,"Ontario, CA",4169307699,General Manager
Allied (National),Master Martini Canada,--,"Ontario, CA",4162773957,Operations Manager
Allied (National),Master Martini Canada,--,"Ontario, CA",5148381407,Sales Account Manager
Allied (National),Bunge Canada,--,"Ontario, CA",905-825-7900,Regional Account Manager - Bakery Sales
Allied (National),Lucid Corp,www.lucidcorp.com,"Ontario, CA",4373290288,Marketing Manager
Allied (National),McCormick Canada,--,"Ontario, CA",14373390684,Business Development
Allied (National),Lucid Corp,--,"Ontario, CA",905 867 4044,National Sales Manager
Allied (National),Quadra Ingredients,--,"Ontario, CA",519-240-7977,Brand & Insight Marketing Specialist
Allied (National),IREKS North America Ltd,www.ireksnorthamerica.com,"Ontario, CA",905 789 9999 ext. 113,R&D Specialist
Allied (National),Pemberton & Associates,www.pemcom.com,"Ontario, CA",+1 4164023702,National Sales Manager
Allied (National),SEW Eurodrive,--,"Ontario, CA",514-367-1124,National Marketing Supervisor
Allied (National),Vanilla Charm (DEW IMPORTS),www.vanillacharm.com,"Ontario, CA",6479068822,Director
Allied (National),HOBART CANADA,--,"Ontario, CA",4379992189,Business development Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(905) 338 3172 x 231,Sales Operations Business Analyst
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(905) 334 3570,VP Sales
Allied (National),Rettenmaier Canada,https://rettenmaier.ca/jrs-ca,"Ontario, CA",6473916529,Business Development Manager
Allied (National),Cargill Limited,--,"Manitoba, CA",647-463-5826,Sales Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(416) 804 6711,VP Principal Management
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(905) 464-8430,VP Principal Management
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",905.984.4271  x426,Account Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(905) 338 3172,Account Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",905) 338 3172 ext. 404,Account Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(905) 208 9892,Account Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(905) 580 2984,Account Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(905) 338 3172 x 403,Account Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(514)291-3260,Account Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(819) 698 7256,Account Manager
Allied (National),Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA",(514) 827 9394,Senior Account Manager
Allied (National),Gay Lea Foods,--,"British Columbia, CA",2506616580,Key Account Manager Industrial
Allied (National),Vanillablossom Flavors Inc,www.vanillablossom.com,"British Columbia, CA",250-893-9962,President & CEO
Allied (National),Fortress Technology,--,"Ontario, CA",416-754-2898,Sales & Marketing Administrative Assistant
Allied (National),Rettenmaier Canada Inc,--,"Ontario, CA",+1 905 889 9438 Ext. 503,Customer Service and Sales Support Coordinator – Food Ingredients
Allied (National),THiNK Ingredients,--,"Ontario, CA",905.699.1500,Vice President
Allied (National),Enjay Converters Ltd.,https://www.enjay.com/,"Ontario, CA",(905) 372 7373,Customer Service/Sales Support
Allied (National),Enjay Converters Ltd.,https://www.enjay.com/,"Ontario, CA",(905) 372 7373,Unkown
Allied (National),Dawn Foods,,"Ontario, CA",4165719031,Market Sales Representative
Allied (National),AMF Bakery Systems,--,"Quebec, CA",(819) 570-4202,Regional Account Manager
Allied (National),Zucchero Canada,WWW.ZUCCHEROCANADA.CA,"Alberta, CA",4037142751,VP Operations
Allied (National),Canada Cacao Company Inc,www.canadacacaocompany.com,"Alberta, CA",4037142751,VP Operations
Allied (National),Rexfab,www.rexfab.com,"Quebec, CA",8196402804,Customer Development Director
Allied (National),Kubota Brabender Technologie,https://www.kubota-bt.com/en/,"Ontario, CA",1-888-284-4574,Regional Sales
Allied (National),Kubota Brabender Technologie,https://www.kubota-bt.com/en/,"Ontario, CA",1-888-284-4574,Sales Director
Allied (National),3PL Links Inc.,www.3pllinks.com,"Ontario, CA",905-850-9002 ext. 211,Account Manager
Allied (National),3PL,--,"Ontario, CA",416-220-0231,Director of Sales & Marketing
Allied (National),3PL,--,"Ontario, CA",647-552-3325,Account Manager
Allied (National),Lucid Corp,--,"Ontario, CA",4166621119,Managing Director
Allied (National),Lucid Corp,--,"Ontario, CA",6474076800,President
Allied (National),Lucid Corp,--,"Ontario, CA",4373290288,Executive Assistant
Allied (National),Tyers Foods International & FoodTec Canada Inc.,https://foodtec.ca/,"Ontario, CA",905-466-8603,Managing Director
Allied (National),PROREC,prorec.ca,"Quebec, CA",450-796-5219,CEO
Allied (National),Grasslands Food & Ingredients,https://grasslandsltd.com/,"Saskatchewan, CA",306-914-6612,Sr. Director of Sales & Business Development
Allied (National),Albany Packaging Inc.,--,"Ontario, CA",9022099833,Vice President Sales
Allied (National),Albany Packaging Inc.,--,"Ontario, CA",4168077440,National Sales Director
Allied (National),MIWE,--,"Ontario, CA",555-555-5555,Accountant
Allied (National),RF Bakery Equipment Ltd.,www.rfbakery.com,"British Columbia, CA",604-298-6673,Controller
Tradesperson / Individual,Brigitte Balogh,--,"British Columbia, CA",2508863448,On Call Instructor at VIU
Tradesperson / Individual,JDB Enterprise Inc.,Www.JDBenterprise.ca,"Ontario, CA",9056891028,President
Tradesperson / Individual,Babette's Bread,--,"British Columbia, CA",672 999 8821,Owner
Tradesperson / Individual,ADM/Matsutani LLC,www.fibersol.com,"Ontario, CA",4169889083,"National Sales Director, Canada"
Tradesperson / Individual,Sobeys,--,"Alberta, CA",403-461-6928,Manger of Operations Bakery/Coffee Prairies
Tradesperson / Individual,Cakes by Annamaria,https://cakesbyannamaria.wixsite.com/cakesbyannamaria,"Ontario, CA",6474545100,Owner and pastry chef/ cake decorater
Tradesperson / Individual,Carbonaut,--,"British Columbia, CA",604-226-4248,VP R&D
Tradesperson / Individual,Cereals Canada,http://www.cerealscanada.ca,"Manitoba, CA",1 (204) 984-1063,"Manager, End-products"
Tradesperson / Individual,Dava Cakes,Www.davacakes.com,"Ontario, CA",6478819102,Cake baker/ owner
Tradesperson / Individual,Nestle Canada,--,"Ontario, CA",905 389 3487,Pastry Chef
Tradesperson / Individual,MR. Charles Fine Foods,--,"Ontario, CA",6476097644,pastry chef
Tradesperson / Individual,JAQS,--,"Ontario, CA",4168985687,Owner
Tradesperson / Individual,Sweet Flour Bake Shop,--,"Ontario, CA",416-735-2243,Pastry Chef/Operation Manager
Tradesperson / Individual,Dexterra Horizon North,--,"Alberta, CA",4036181703,Corporate Pastry Chef
Tradesperson / Individual,Monte Cristo Bakery,--,"British Columbia, CA",6044040839,Pastry Chef
Tradesperson / Individual,Maysam Pastry Shop,--,"Ontario, CA",+989112477974,owner and manager of the shop
Tradesperson / Individual,Quadra Group,www.quadragroup.com,"Ontario, CA",9055923591,Senior Account Manager
Tradesperson / Individual,TBD,--,"Alberta, CA",4037081449,TBD
Tradesperson / Individual,Quican Inc.,www.quican.com,"Ontario, CA",5198562364,President
Tradesperson / Individual,Richardson Food & Ingredients,https://www.richardson.ca/richardson-food-ingredients/,"Manitoba, CA",7787720966,Regional Sales Manager
Honorary,Paragon Glaze Consulting,,"Ontario, CA",4163015210,None provided
Honorary,CanBake,,"Ontario, CA",9058771671,None provided
Honorary,None provided,,"British Columbia, CA",6045834866,None provided
Honorary,None provided,,"Ontario, CA",9058273231,None provided
Honorary,None provided,,"British Columbia, CA",805 704 1767,None provided
Honorary,None provided,,"Ontario, CA",None provided,None provided
Honorary,None provided,,"Ontario, CA",4166214418,None provided
Honorary,None provided,,"British Columbia, CA",6042702611,None provided
Honorary,None provided,,"British Columbia, CA",6042996314,None provided
Honorary,None provided,,"British Columbia, CA",None provided,None provided
Honorary,Revealing Silent Brightness,,"Ontario, CA",5196233508,None provided
Honorary,Toronto Metropolitan University - School of Nutrition,,"Ontario, CA",416-979-5000 x556827,None provided
Honorary,None provided,,"British Columbia, CA",604-291-0674,None provided
Consultant / Trainer,Integral HR Solutions Inc.,www.integralhrsolutions.ca,"Ontario, CA",9058463390,Managing Director
Consultant / Trainer,The Bakers Workshop Consulting,thebakersworkshop.ca,"Ontario, CA",4163159587,Owner - President
Consultant / Trainer,Busi-Bake,--,"Nova Scotia, CA",(902) 919-5612,Consultant
Consultant / Trainer,Rise Baking Lab,https://www.risebakinglab.com/,"British Columbia, CA",(604) 768-6579,Owner
Consultant / Trainer,VanAm Venture,--,"British Columbia, CA",16047207629,Founder
Consultant / Trainer,Con-Eng Design Build,--,"Ontario, CA",5195737094,Project Manager
Consultant / Trainer,Rocky Mountain Butter Cake Co.,--,"Alberta, CA",4388868652,MANAGIUBG DIRECTOR
Consultant / Trainer,Ojai Group - Commodities Consultant,www.ojaitrading.com,"Ontario, CA",9054836757,Owner
Consultant / Trainer,Big Deal Ingredients,http://bigdealingredients.ca,"British Columbia, CA",7782462284,Director
Consultant / Trainer,DI Baking Consultant,,"Ontario, CA",6472001592,Owner
Allied Trades (Provinc ...,Ken Hall Contractors Ltd,,"British Columbia, CA",6044697191,None provided
Allied Trades (Provinc ...,All Gold Imports,--,"Ontario, CA",4167404653,TBC
Allied Trades (Provinc ...,Conovey,--,"Ontario, CA",9058768883,Job Title
Allied Trades (Provinc ...,Aromatics Flavors Inc,,"Ontario, CA",4167597002,None provided
Allied Trades (Provinc ...,Aromatics Flavors Inc,,"Ontario, CA",4167597002,None provided
Allied Trades (Provinc ...,Mimac Glaze Limited,,"Ontario, CA",9054577737,None provided
Allied Trades (Provinc ...,VC999 Ltd,VC999.com,"Quebec, CA",819-471-0269,Sales Manager East Canada & National Distribution
Allied Trades (Provinc ...,Redux Nutrition Ltd,--,"British Columbia, CA",604-345-6998,"Director, Redux Services"
Allied Trades (Provinc ...,Marsia Foods Inc,--,"Ontario, CA",9059071270,Marketing/Sales
Allied Trades (Provinc ...,Contemar Silo Systems Inc,,"Ontario, CA",9056693604,None provided
Allied Trades (Provinc ...,Albion Bakery Supplies,,"Ontario, CA",4162524660,None provided
Allied Trades (Provinc ...,Traynors Bakery Wholesale,,"Ontario, CA",9055222730,None provided
Allied Trades (Provinc ...,Allied Halo Industries Inc,,"Ontario, CA",4167512042,None provided
Allied Trades (Provinc ...,EM Bakery Equipment BC Ltd,,"British Columbia, CA",6042943500,None provided
Allied Trades (Provinc ...,UPak Group of Companies,,"Ontario, CA",4166753700,None provided
Allied Trades (Provinc ...,Port Royal Mills,,"Ontario, CA",9057131712,None provided
Allied Trades (Provinc ...,Brant Flour Mills Limited,,"Ontario, CA",5194842921,None provided
Allied Trades (Provinc ...,O K Frozen Dough,,"British Columbia, CA",2505460311,None provided
Allied Trades (Provinc ...,EggSolutionsVanderpols Inc,,"British Columbia, CA",6048564127,None provided
Allied Trades (Provinc ...,Marquis Milling Co,,"Saskatchewan, CA",3062127173,None provided
Allied Trades (Provinc ...,Malabar Ingredients,,"Ontario, CA",9056322062,None provided
Allied Trades (Provinc ...,FlavorSum,,"Ontario, CA",9056251813,None provided
Allied Trades (Provinc ...,Olaf Packaging Group Inc,,"Alberta, CA",4032542815,None provided
Allied Trades (Provinc ...,Packaging Machinery Concepts Ltd,,"Ontario, CA",9052127046,None provided
Allied Trades (Provinc ...,Snow Cap Enterprises Ltd,,"British Columbia, CA",6045153200,None provided
Allied Trades (Provinc ...,Blendtek Ingredients,,"Ontario, CA",5192794401,None provided
Allied Trades (Provinc ...,Food In CA,,"Ontario, CA",4167641502,None provided
Allied Trades (Provinc ...,Olympic Wholesale Co. Ltd.,--,"Ontario, CA",(905) 420-6867,President
Allied Trades (Provinc ...,Maritime Pride Eggs/Nutrigroupe,Maritime Pride Eggs,"Nova Scotia, CA",15068744802,CEO
Allied Trades (Provinc ...,Marsia Foods Inc,www.marsia.ca,"Ontario, CA",905-907-1270 (x234),President
Allied Trades (Provinc ...,AIC Canada Pan coatings inc.,--,"British Columbia, CA",6042994011,Operations Manager
Allied Trades (Provinc ...,Redux Nutrition Ltd,--,"British Columbia, CA",778.222.5040,Customer Service & Regulatory Compliance
Allied Trades (Provinc ...,Redux Nutrition Ltd,--,"British Columbia, CA",778.684.0755,Manager of Redux
Allied Trades (Provinc ...,France Décor Canada/Vixit,https://www.vixit.com/,"Quebec, CA",514-331-5028,.
Allied Trades (Provinc ...,GRAIN PROCESS ENTERPRISES LTD,--,"Ontario, CA",416-291-3226,Vice President
Allied Trades (Provinc ...,Majestic Casters & Equipment,,"Ontario, CA",416-294-5640,Owner
Allied Trades (Provinc ...,Chocoland (ABZ Wholesale),www.chocolateland.ca,"Ontario, CA",4372185903,CEO
Retail Bakery (Per Out ...,Island Pastry Haus & More,--,"British Columbia, CA",250 252 8440,owner
Retail Bakery (Per Out ...,Fry's Bakery,,"British Columbia, CA",250 889 5455,None provided
Retail Bakery (Per Out ...,Happy Monk Baking Company,,"British Columbia, CA",250 629 2099,None provided
Retail Bakery (Per Out ...,Azzurri Italian Pasticceria,,"British Columbia, CA",604 768 6028,None provided
Retail Bakery (Per Out ...,Coaldale Bakery,--,"Alberta, CA",4033453322,Bakery Manager
Retail Bakery (Per Out ...,Windmill Bakery Pastry Shop,--,"Ontario, CA",7057883985,Owner baker
Retail Bakery (Per Out ...,Uprising Breads Bakery,--,"British Columbia, CA",604-254-5635,General Manager
