Company Name,Company Type,Phone No,Website URL,Description
A&L Canada Laboratories Inc.,"All, Labelling Requirements, Testing",(519) 457-2575 ext .227,alcanada.com,
ABB Inc.,"All, Automation, Equipment",(905) 639-8840,abb.ca,"ABB is a leading global technology company that
energizes the transformation of society and
industry to achieve a more productive, sustainable
future. By connecting software to its
electrification, robotics, automation and motion
portfolio, ABB pushes the boundaries of technology
to drive performance to new levels."
ABS Group,"Asset Management, Certification, Food Safety, Risk Management",(647) 554-7514,abs-group.com,"For over three decades, ABS Quality
Evaluations Inc. (ABS QE), has been a premier
global solutions provider of technical services,
empowering our customers to operate securely,
reliably, and in full compliance with relevant
regulations, standards, and industry best
practices for responsible business solutions,
sustainability, supply chain management, internal
audits, training, and third-party / second-party
certification.
Services:
Social Compliance – SMETA, SA 8000, BSCI, FSSC
24000, S-211
Supply Chain Management – Supplier Code of
Conduct, Vendor Management, Risk
Management/Mapping
Food Safety – HACCP, GMP, GDP, Storage &
Distribution, FSSC 22000
Cosmetics – cGMP, HACCP, GDP
Agri-Food / Animal Feed – Audits, Verifications
and Program Management
We are committed to providing the
best-in-class customer service experience through
collaboration and partnerships from the very
start. Our dedicated service delivery team,
equipped with specialized expertise and proven
track record in providing effective custom,
tailor-made solutions. Focused on management
systems certification, audits, and training. Our
team is comprised of technical managers, subject
matter experts and professionals with many years
of knowledge and expertise in comprehensive
assessments, audits, and training to various ISO
standards.
Our efforts have helped organizations in
mitigating and understanding risks while fostering
a culture of continuous improvement. Our success
is driven by a strategic approach, encompassing a
thorough understanding of our clients’ needs,
meticulous planning, resource alignment, and
unwavering commitment to meeting deadlines and
delivering our projects on time and on budget.
Your success story begins now; let ABS be
the catalyst for your organization’s triumph."
ACO Systems Ltd.,"All, Water Treatment",(905) 829-0665,acocan.ca,"ACO Systems, Ltd. is part of the ACO Group, a
multinational company specializing in drainage
products for a multitude of applications including
hygienic stainless steel and polymer concrete
trench drain systems.
ACO is first and only drainage company to obtain
NSF certification for hygienic drainage products.
The NSF/ANSI 3A 14159-1-2014 standard refers to
the hygienic requirements in food processing. This
certification shows that the hygienic performance
of ACO's drainage systems and products comply with
the strict standards and procedures of the NSF.
ACO Canada offers complete support for all aspects
of the business - from specification advice to
installation expertise. ACO is recognized as a
capable partner for food processors, architects,
engineers, construction and contracting firms.
Today, ACO manufactures a range of drainage and
storm water management products from polymer
concrete, stainless steel, mild steel, ductile
iron and molded plastics. These diverse material
types are used to produce components for all
applications - commercial and residential
construction, as well as electromechanical
engineering and environmental protection."
ACTEMIUM,"Automation, Engineering",(519) 278-5482,actemium.ca,"Worldwide, experts work to deliver a range of safe
and sustainable solutions & services across
the entire industrial life cycle. In its
day-to-day operations, Actemium builds on its
powerful networking system expertise in each
process in order to provide turnkey solutions.
* Process Engineering
* Controls and Automation
* EPCM
* Project and Construction Management
* Asset Care
* Safety Design
* Data Management
* Manufacturing Information Systems
Read more about our services on our website:
http://actemium.ca/"
Ag Energy Co-operative Ltd.,"All, Energy",519-763-3026,agenergy.coop,"Ag Energy Co-operative is dedicated to developing
energy solutions for our Members and customers.
Founded in 1988 by Ontario growers, our membership
quickly grew to include consumers from all over
the agri-food and agri-tech sector. Our customer
base represents many different industries both
within and outside of the agricultural sector. As
a co-operative our priority has always been our
Members, who own our company. This dynamic with
our Members make us incredibly responsive to our
consumers’ needs.
Ag Energy understands that your energy
requirements are unique, which is why we will work
with you to develop a customized energy solution.
Our years of experience working in the natural gas
and electricity landscape have made us experts in
our field. With our guidance our customers are
able to navigate complicated energy policy
regulations, like cap and trade. We also advocate
on behalf of the agri-food and agri-tech sectors
to ensure your concerns are communicated to
policymakers. With our energy expertise and
agricultural roots, we bring years of industry
expertise to your business."
Algonquin College,"All, Education",613-727-4723,algonquincollege.com,
Allianz Trade Canada,Insurance,1 (514) 399-2078,allianz-trade.com,"Allianz Trade in Canada is the country’s
largest private provider of trade credit
insurance. Founded in 1923, Allianz Trade in
Canada helps companies mitigate the risk of
non-payment from customers and offers advanced
risk management solutions utilizing a proprietary
intelligence network analyzing over 80 million
companies worldwide. By providing valuable
insights and predictive protection, Allianz Trade
helps Canadian businesses avoid bad debt and
compensates them when unexpected losses occur,
enabling them to grow with confidence.
Learn more about us at :
allianz-trade.com/en_CA.html"
Aqueous Operational Services,"All, Wastewater",5198518303,aqueousoperational.com,"Aqueous Operational Services (AOS) specializes in
the operation of wastewater treatment systems for
clients in the food services industry, commercial,
institutional and private sectors with lower
overhead costs and administration. We maintain,
and continue to build on, a team of trained,
innovative and resourceful personnel with
extensive environmental management expertise. We
are committed to a high level of professional
service where safety is priority one."
Association of Ontario Chicken Processors,"All, Associations",(519) 836-8383 ext 1,aocp.ca,
