domain,name
1440foods.com,1440 Foods
mmm.com,3M Canada
8ave.com,8th Avenue Food & Provisions
lassonde.com,A. Lassonde Inc.
abbott.ca,"Abbott Laboratories, Co."
bakegood.ca,"ACH Food Companies, Inc."
acosta.com,Acosta Canada Corp.
youradv.com,Advantage Solutions Inc
agropur.com,Agropur
aidansglutenfree.com,Aidan's Gluten Free Inc.
aurium.ca,Aurium Pharma Inc.
bgfoods.ca,B&G Foods
bksethi.com,B.K. Sethi Marketing Ltd.
babygourmet.com,Baby Gourmet Inc.
balzacs.com,Balzacâ€™s Coffee Ltd.
barilla.ca,Barilla Canada Inc.
bausch.ca,Bausch & Lomb Corporation
bayer.com,Bayer Inc.
beiersdorf.ca,Beiersdorf Canada Inc.
biocodex.ca,Biocodex Canada Inc.
avogel.ca,Bioforce Canada Inc./A. Vogel
blistex.com,Blistex Corporation
oicfoods.com,Brar's/OiC Foods Inc.
burnbraefarms.com,Burnbrae Farms Limited
cbpowell.com,C.B. Powell Ltd.
campbellsoup.ca,Campbell Company of Canada
canadaroyalmilk.com,Canada Royal Milk ULC
cascades.com,Cascades Tissue Group
cavendishfarms.com,Cavendish Farms
churchdwight.ca,Church & Dwight Canada Corp.
cloverleaf.ca,Clover Leaf Seafoods Corp
clubcoffee.ca,Club Coffee L.P.
cokecanada.com,Coca-Cola Canada Bottling Ltd.
coca-cola.ca,Coca-Cola Ltd. Canada
colgate.ca,Colgate-Palmolive Canada Inc.
conagrabrands.ca,Conagra Brands
concordnational.com,Concord Sales Ltd.
crosbys.com,Crosby Foods
crossmark.ca,Crossmark Canada Inc.
cybastevens.com,Cyba Stevens Management Group Inc.
groupedanone.com,Danone Inc.
darefoods.com,Dare Foods Limited
directnutrisciences.com,Direct NutriSciences Inc.
dolesunshine.com,Dole Foods of Canada Ltd.
dormer.com,Dormer Laboratories Inc.
oetker.com,Dr. Oetker Canada Ltd.
dsm-firmenich.com,dsm-firmenich
earthsown.com,Earth's Own Food Company Inc.
edgewell.com,Edgewell Personal Care Canada
tena.ca,Essity Canada Inc.
ferrero.ca,Ferrero Canada Ltd.
fierafoods.com,Fiera Foods Company
florafoodgroup.com,Flora Food Canada Inc.
furlanifoods.com,Furlani Foods Corporation
ganong.com,"Ganong Bros., Limited"
gayleafoods.com,Gay Lea Foods Co-operative Ltd.
lifemadedelicious.ca,General Mills Canada Corporation
bel-canada.ca,Group Bel Canada Inc.
hain-celestial.ca,Hain Celestial Canada
haleon.com,Haleon Canada
happyplanet.com,Happy Planet
henkel-northamerica.com,Henkel Canada Corporation
thehersheycompany.com,Hershey Canada Inc.
highlinerfoods.com,High Liner Foods Incorporated
hormelfoods.com,Hormel Canada Ltd
irvingconsumerproducts.com,Irving Consumer Products Limited
italpasta.com,Italpasta Limited
jacklinks.ca,Jack Links Canada
jamiesonwellness.com,Jamieson Wellness Inc.
kao.com,Kao Canada Inc
kellanova.ca,Kellanova Canada Inc.
kenvue.com,Kenvue
canadadrymotts.ca,Keurig Dr. Pepper Canada KDP
kfisauces.com,KFI Inc. The Indian Sauce Company
kimberly-clark.com,Kimberly-Clark Inc.
kindsnacks.ca,KIND Healthy Snacks Ulc
krugerproducts.ca,Kruger Products Inc.
loreal.ca,L'OrÃ©al Canada Inc.
lactalis.ca,Lactalis Canada Inc
lallemand.com,Lallemand Health Solutions Inc.
lindt.com,"Lindt & SprÃ¼ngli (Canada), Inc."
mars.com,Mars Wrigley c/o Mars Canada Inc
mavericksales.com,Maverick Sales
mccain.ca,McCain Foods (Canada)
mccormick.ca,McCormick Canada
mcptri.com,MCP McCaughey Consumer Product Management Inc.
meadjohnson.com,Mead Johnson Nutrition (Canada) Co.
melitta.ca,Melitta Canada Inc.
mondelezinternational.com,Mondelez Canada Inc.
morrisonlamothe.com,Morrison Lamothe Inc.
naturespath.com,Nature's Path Foods Inc.
naturestouchfrozenfoods.com,Natures Touch Frozen Food
products.nestle.ca,NestlÃ© Canada Inc.
nestlehealthscience.com,NestlÃ© Health Science
nestle.com,NestlÃ© Maternal & Infant Nutrition
nestleprofessional.com,NestlÃ© Professional Canada
purina.ca,NestlÃ© Purina PetCare Canada
norwellcanada.ca,Norwell Consumer Healthcare Inc
oceanspray.ca,Ocean Spray International Services
sanofi.ca,Opella Healthcare Canada
organika.com,Organika Health Products
ozerybakery.com,Ozery Family Bakery
pepsico.com,PepsiCo Beverages Canada
fritolay.com,PepsiCo Foods Canada
perfettivanmelle.com,Perfetti Van Melle Canada Ltd.
perrigonutritionals.com,"Perrigo Nutritionals, LLC"
peterigel.com,Peter Igel Group Inc.
postconsumerbrands.ca,"Post Foods Canada, Inc."
pg.ca,Procter & Gamble Inc.
rb.com,RB Health (Canada) Inc.
reinhartfoods.com,Reinhart Foods Limited
reynoldsconsumerproducts.com,Reynolds Consumer Products Canada Inc.
ricola.com,Ricola Canada Inc.
riviana.com,Riviana Foods Canada Corporation
scjohnson.com,"S.C. Johnson and Son, Limited"
sabra.com,Sabra Canada Inc.
seaford.ca,Seaford Pharmaceuticals Inc.
smuckers.ca,Smucker Foods of Canada Corp.
starbucks.ca,Starbucks Coffee Canada Inc.
storck.ca,Storck Canada Inc.
sunrype.com,Sun-Rype Products Ltd.
tasteofnature.com,Taste of Nature Foods Inc.
clorox.com,"The Clorox Company of Canada, Ltd."
jordansdorsetryvita.com,The Jordans and Ryvita Company
kraftheinzcompany.com,The Kraft Heinz Company
thomaslargesinger.com,"Thomas, Large & Singer Inc."
treehousefoods.com,"THS Foods Canada, Ltd."
ca.traditionalmedicinals.com,"Traditional Medicinals, Inc."
treeoflife.ca,Tree of Life Canada ULC
twinings.ca,"Twinings North America, Inc."
unico.ca,Unico Inc.
unilever.ca,Unilever Canada Inc.
unfi.ca,"United Natural Foods, Inc."
uppercrust.com,Upper Crust
vitahealth.ca,Vita Health Products Inc.
cheezies.com,W.T. Hawkins Inc.
simplyprotein.ca,Wellness Natural Inc.
windsorsalt.com,Windsor Salt Ltd.
winlandfoods.com,"Winland Foods, Inc."
wkkellogg.ca,WK Kellogg Canada
acosta.com,Acosta Natural Specialty Sales Canada
agtfoods.com,AGT Foods
beyondmeat.com,Beyond Meat
palmettogf.com,Borealis Foods
botaneco.com,Botaneco
brandseedmarketing.ca,BrandSeed Marketing
britonsg.com,BritOn Solutions Group Inc.
califiafarms.com,Califia Farms
walnuts.org,California Walnut Commission
curryfresh.net,Curry Fresh Plant Based
daiyafoods.com,Daiya Foods
groupedanone.com,Danone Inc
dolesunshine.com,Dole Foods of Canada Ltd.
earthsown.com,Earth's Own Food Company Inc.
elmhurst1925.com,Elmhurst 1925
florafoodgroup.com,Flora Food Group Canada Inc.
foodbizmentoring.com,Food Biz Mentoring
gardein.com,Gardein
gowlingwlg.com,Gowling WLG (Canada) LLP
griffithfoods.com,Griffith Foods Limited
groupe-bel.com,Group Bel Canada Inc.
hensallco-op.ca,Hensall Co-op
indigonaturalproducts.com,Indigo Natural Products
ingredion.ca,Ingredion Canada Corporation
innovamarketinsights.com,Innova Market Insights
jackmanreinvents.com,Jackman Reinvents
konscious.com,Konscious Foods Canada Inc.
lebeauexcel.com,Lebeau Excel Broker
lighthouse9.ca,Lighthouse NINE Group
lightlife.com,Lightlife Foods
lupinplatform.com,Lupin Platform Inc.
thenotcompany.com,Not Co
nutsforcheese.com,Nuts for Cheese
oatly.com,Oatly North America
pristinegourmet.com,Persall Fine Foods
plantup.ca,Plant Up Inc
propelbrands.ca,Propel Natural Brands
motherraw.ca,Reunion Foods Inc. (Mother Raw)
ripplefoods.com,Ripple Foods Ltd.
roquette.com,Roquette
sabra.com,Sabra Canada
buteisland.com,Saputo Dairy Products Canada
simpsonseeds.com,Simpson Seeds Inc.
tasteofnature.com,"Taste of Nature Foods, Inc."
theplantitfoodco.com,The Plant-It Food Co.
threefarmers.ca,Three Farmers
treeoflife.ca,Tree of Life Canada ULC
ulivit.ca,Ulivit
unfi.ca,United Natural Foods Inc
simplyprotein.ca,Wellness Natural Inc
advantagegroup.com,Advantage Group International
cn.ca,Canadian National Railway
chep.com,CHEP Canada Inc.
eeq.ca,Eco Entreprises Quebec
fieldagentcanada.com,Field Agent Canada
ajg.com,Gallagher Canada
gls-canada.com,GLS Canada
kantar.com,Kantar
kpmg.ca,KPMG MSLP
lighthouse9.ca,Lighthouse NINE Group
mccarthy.ca,McCarthy TÃ©trault LLP
nortonrosefulbright.com,Norton Rose Fulbright Canada LLP
numerator.ca,Numerator
peo-leadership.com,PEO Leadership
scanbuy.com,"Scanbuy, Inc."
summitventures.live,Summit Ventures LLP
abacusdata.ca,Abacus Data
activeinternational.ca,Active International
thinkagnostic.com,Agnostic Inc.
cpkcr.com,Canadian Pacific Railway Company
carbon-one.ca,CarbonOne
circana.com,Circana
clearboxanalytics.com,Clear Box Analytics
cpgsurplus.com,CPGsurplus
crewmarketingpartners.com,Crew Marketing Partners Inc.
deloitte.ca,Deloitte LLP
environicsanalytics.com,Environics Analytics
ethnicitymatters.com,Ethnicity Multicultural Marketing + Advertising
evnia.com,Evnia Environmental Compliance Group
fcc.ca,FCC
hoplog.com,Hopewell Logistics Inc.
logisticsalliance.com,Logistics Alliance Inc.
markiv.ca,MarkIV
wearemiq.com,MiQ Digital
mitgo.ca,Mitgo Transportation Group
nielseniq.com,NielsenIQ
normandin-beaudry.ca,Normandin Beaudry
nowpac.com,NowPac Inc.
pecopallet.com,"PECO Pallet Canada, Inc."
peoplecorporation.com,People Corporation
pwc.com,PricewaterhouseCoopers LLP
rbcroyalbank.com,RBC Royal Bank
ryder.com,Ryder Supply Chain Solutions Canada ULC
sentinelmc.com,Sentinel Management Consultants
sparcanada.ca,SPAR Group Inc.
springboarddm.com,SpringBoard Data Management
tdcommercialbanking.com,TD Bank Group
totalnegotiation.com,Total Negotiation Group
trgstaffingsolutions.com,TRG Staffing Solutions
accuristix.com,Accuristix
thechangemakers.com,ChangeMakers
gowlingwlg.com,Gowling WLG (Canada) LLP
inmar.com,Inmar Intelligence
joneshealthcaregroup.com,Jones Healthcare Group
pigeonbrands.com,Pigeon Brands Inc.
qandrcanada.com,Q&R Canada Inc.
