name,address,email,phone,domain
"Advanced Poly Packaging, Inc.","1331 Emmitt Road • Akron, OH 44306 United States",sales@advancedpoly.com,(330) 785-4000,advancedpoly.com
Amcor Flexibles North America,"2200 Badger Ave. • Oshkosh, WI 54904 United States",info@amcor.com,(800) 544-4672,amcor.com
American Fuji Seal Inc.,"1051 Bloomfield Rd • Bardstown, KY 40004 United States",afscontact@afseal.com,(502) 348-9211,fujiseal.co.jp
Anchor Packaging,"13515 Barrett Parkway Drive Suite 100 • St. Louis, MO 63021-5870 United States",info@anchorpac.com,(314) 822-7800,anchorpackaging.com
Aplix Inc.,"12300 Steele Creek Road • Charlotte, NC 28273 United States",packaging@aplix.com,(704) 588-1920,aplix.com
Aripack,"9411 Ditmas Avenue • Brooklyn, NY 11236 United States",sales@aripack.com,(718) 398-4850,aripack.com
CAM Packaging Systems,"226 Industrial Parkway Unit #3 • Aurora, ON L4G 4C3 Canada",sales@cam-systems.ca,(905) 737-5400,cam-systems.ca
C&K PROPACK,"2F 37, Gangnam-daero, 162 gil • Seoul, 06208 Korea, Republic of",ck_korea@ckpropack.com,82(023)4445928,ckpropack.com
Celplast Metallized Products Limited,"67 Commander Blvd Unit 4 • Toronto, ON M1S 3M7 Canada",sales@celplast.com,(800) 866-0059,celplast.com
Charter Next Generation,"1264 E High Street • Milton, WI 53563 United States",info@cnginc.com,(608) 868-5757,cnginc.com
Cheer Pack North America,"1 United Dr • W Bridgewater, MA 02379-1027 United States",prosource@pmmi.org?subject=(Cheer%20Pack%20North%20America)%20Profile%20Page%20inaccuracy,(508) 927-7800,cheerpack.com
"Clysar, LLC","Highway 67 South • Clinton, IA 52732 United States",marketing@clysar.com,(888) 4Cl-ysar,clysar.com
"Colormasters, LLC","632 Smith Road PO Box 2289 • Albertville, AL 35950-0037 United States",sales@colormastersllc.com,(256) 878-8880,colormastersllc.com
Constantia Flexibles,"1111 Northpoint Blvd • Blythewood, SC 29016-8372 United States",office@cflex.com,(803) 404-6581,cflex.com
Duraco Specialty Materials,"7400 Industrial Drive • Forest Park, IL 60130 United States",prosource@pmmi.org?subject=(Duraco%20Specialty%20Materials)%20Profile%20Page%20inaccuracy,(866) 800-0775,duraco.com
Eagle Flexible Packaging,"1100 Kingsland Drive • Batavia, IL 60510 United States",info@eagleflexible.com,(630) 406-1760,eagleflexible.com
Elplast Group,"795 Enterprise Dr • Marion, IA 52302-9677 United States",sales@elplastamerica.com,(855) 357-5278 x1,elplastgroup.com
Evergreen Resources,"3404 Frankstowne Dr • Naperville, IL 60565-3550 United States",info@us-eri.com,(630) 428-9077,evergreenresources.com
Film Source Packaging,"3301 Gateway Centre Blvd. • Pinellas Park, FL 33782 United States",info@filmsourcepackaging.com,(727) 578-3003,filmsourcepackaging.com
Flex Films (USA) Inc.,"1221 N Black Branch Rd • Elizabethtown, KY 42701-4511 United States",enquiry@flexfilm.com,(270) 982-3456,flexfilm.com
Flexo Cristal de México,"Degollado 48 Colonia Guerrero • Cuauhtemoc, CDMX 06300 Mexico",ventas@flexocristal.com,+52 5555 260512,flexocristal.com
Fres-co System USA Inc.,"3005 State Road • Telford, PA 18969 United States",contact@fresco.com,(215) 721-4600,fresco.com
"Glenroy, Inc.","W 158 N9332 Nor-X-Way Ave. • Menomonee Falls, WI 53052 United States",inquiry@glenroy.com,(262) 255-4422,glenroy.com
HPM GLOBAL INC,"7280-25 Seodong-daero, Iljuk-myeon • Anseong-si, Gyeonggi-do, 17530 Korea, Republic of",sales@hpmglobal.com,(822) 551-5981,hpmglobal.com
"Idemitsu Unitech Co., Ltd.","NMF Shiba Bldg. 6F, Shiba 4 Chome • Minato Ku, 1080014 Japan",info@idemitsu.com,81(3686)58858,idemitsu.com
Iljin Gratec USA Inc.,"10715 Norwalk Blvd • Santa Fe Spgs, CA 90670-3823 United States",sales@iljingratecusa.com,(562) 944-4372,absolutetotalpackaging.com
IMPAK Corporation,"13700 S Broadway • Los Angeles, CA 90061-1012 United States",sales15@impakcorporation.com,(310) 715-6600,impakcorporation.com
Knack Packaging,"330/A, Third Floor, Kalasagar Mall, opp. Saibaba Temple, near Sattadhar Cross Roads, Ghatlodiya, • Ahmedabad, 380061 India",info@knackpackaging.com,91(992) 519-9376,knackpackaging.com
LasX,"4444 Centerville Road Suite 170 • White Bear Lake, MN 55127 United States",sales@lasx.com,(651) 407-0011,lasx.com
Mondi,"3151 N. High Street • Jackson, MO 63755 United States",contact.jackson@mondigroup.com,(573) 331-7269,mondigroup.com
Morris Packaging,"211 N. Williamsburg Dr. St. A • Bloomington, IL 61704 United States",info@morrispkg.com,(309) 663-9100,morrispkg.com
Multivac Inc.,"11021 N. Pomona Avenue • Kansas City, MO 64153-1146 United States",muinc@multivac.com,(816) 891-0555,multivac.com
PAC Machinery,"25 Tiburon St. • San Rafael, CA 94901 United States",sales@pacmachinery.com,(800) 985-9570,pacmachinery.com
Packaging Personified Inc.,"246 Kehoe Blvd • Carol Stream, IL 60188 United States",marketing@packagingpersonified.com,(630) 653-1655,packagingpersonified.com
Parkside Flexibles Limited,"Tyler Close, Normanton • West Yorkshire, WF6 1RL United Kingdom",info@parksideflex.com,+44 1924 898074,parksideflex.com
PAXXUS,"320 Stewart Ave. • Addison, IL 60101 United States",hello@paxxus.com,(630) 628-1700,paxxus.com
Peel Plastics,"49 Rutherford Road South • Brampton, ON L6W 3J3 Canada",info@peelplastics.com,(905) 456-3660,peelplastics.com
PennPac,"345 East Stiegel Street • Manheim, PA 17545-1609 United States",info@pennpac.com,(717) 664-4040,pennpac.com
"Plastic Packaging Technologies, LLC","1111 Busch Pkwy • Buffalo Grove, IL 60089 United States",sales@ppcflex.com,(833) 772-3539,ppcflex.com
"Polyplex USA, LLC","3001 Mallard Fox Drive • Decatur, AL 35601-7516 United States",sales@polyplex.com,(256) 686-2953,polyplex.com
Pregis LLC,"227 W Monroe Street Suite 4100 • Chicago, IL 60606 United States",prosource@pmmi.org?subject=(Pregis%20LLC)%20Profile%20Page%20inaccuracy,(262) 246-8815,pregis.com
