name,domain,isRelated
Pharmatech Labs,pharmatechlabs.com,True
Daily Manufacturing,dlymfg.com,True
F.A.M.E Health Labs LLC.,famehealthlabs.com,True
BioCorp Nutrition Labs,biocorpnutritionlabs.com,True
Vitaquest International,vitaquest.com,True
Superior Supplement Manufacturing,superiorsupplementmfg.com,True
Makers Nutrition,makersnutrition.com,True
Peak Nutritional Products,peaknutritionalproducts.com,False
Tru Body Wellness,trubodywellness.com,True
Gemini Pharmaceuticals,geminipharm.com,True
"Atlantic Essential Products, Inc.",atlanticepny.com,True
ABS Corporation,abs-corporation.com,True
M&L Pharmaceutical,mlpharmaceutical.com,True
Organimed LLC,organimedusa.com,True
AMERIPHARMA,ameripharmalabs.com,True
Nano9,nano9.com,True
"Pinnacle Labs International, Inc.",pinnaclelabs.net,True
"GMP Laboratories of America, Inc.",gmplabs.com,True
NutraPak USA,nutrapakusa.com,True
Yellow Emperor,yellowemperor.com,True
GENEIII BIOTECH,geneiii.com,False
Canyonside Labs,canyonsidelabs.com,True
Global Product Group,globalproductgroup.com,True
Nutra Coast,nutracoast.com,True
"Action Pak, Inc.",actionpakinc.com,True
Veluca,veluca.com,True
"Sawgrass Nutra Labs, LLC",sawgrassnutralabs.com,True
MacroCap Labs,macrocaplabs.com,True
Complete Packaging & Manufacturing,cpackmanufacturing.com,True
Supplement Manufacturing Partner Inc.,smpnutra.com,True
Summit Rx Inc,summitrxusa.com,True
Vera Herbals LLC,veraherbals.com,True
Fenchem,fenchem.com,True
UniWell Laboratories,uniwelllabs.com,True
Pocono Pharmaceutical,poconopharma.com,False
Triton Nutra Group,tritonnutragroup.com,True
Concept Matrix Solutions,conceptmatrixsolutions.com,False
Sunflower Hemp Co.,sunflowerhempco.com,True
Private Label Express,privatelabelexpress.com,True
"ELIS Packaging Solutions, Inc.",elispackaging.com,True
TriLabs Manufacturing,trilabsmfg.com,True
"Zyvite Pharmaceuticals, Inc.",zyvite.com,True
Aphena Pharma Solutions,aphenapharma.com,True
Innovative Labs,innovativelabs.com,True
"Victoria World Wide Business Connections Group, LLC",vwwbc.com,True
"Pharmalab Enterprises, Inc.",pharmalabenterprises.com,False
