id,name,domain,status,title,error
544551,Paw Street Barkery,pawstreetbarkery.com,yes,"Dog, Treat - Paw Street Barkery - Chicopee, Massachusetts",
112320,Coloradocorndog,coloradocorndog.com,yes,Colorado Corndog Company,
402297,firstcarehc.com,firstcarehc.com,yes,Home - First Care Health Center,
122569,Lolaseattle,lolaseattle.com,yes,Brunch & Mediterranean Food in Downtown Seattle | Lola,
538936,Mitty's Soup,mittyssoup.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17"
407580,paznuts.com,paznuts.com,yes,Online Nuts Store – PAZ NUTS,
173015,Thelittleepicurean,thelittleepicurean.com,yes,"Baking, Dessert, & Cocktail Recipes for Entertaining - The Little Epicurean",
535073,"Lo Bueno Juices, LLC",lobuenojuices.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17"
514790,Mandela Coffee,mandelacoffee.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17"
553260,Gourmet Market USA,gourmetmarketusa.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17"
520283,Chick P,chick-p.com,yes,Attention Required! | Cloudflare,
108696,Steelcroissant,steelcroissant.com,yes,"Zero-Click Search, SEO Tips, and What B2B Buyers Want in 2025",
555048,Weltkauf,weltkauf.co,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17"
82322,Jeanie Marshal Foods,jeaniemarshalfoods.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17"
285962,Aquatraction,aquatraction.com,yes,Advanced Marine Flooring | AquaTraction,
298633,Wellsearch,wellsearch.com,yes,Wellness Business Directory - Find Wellness Businesses - Well Search,
177261,Bankbazaar,bankbazaar.com,yes,Bankbazaar,
243604,Jenkinsfishingandmotel,jenkinsfishingandmotel.com,yes,"Jenkins Fishing Service | Trout Fishing, Boat Rentals & Motel",
553623,Slow Food SWWA,slowfoodswwa.org,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17"
193073,Corollaguide,corollaguide.com,yes,Corolla NC | Corollaguide.com,
543009,Pho Saigon & Grill,phosaigonandgrill.com,yes,BOSPLAY UPDATE LIVE RTP GACOR,
542280,"PEACHEY'S FINE FOODS, LLC",peacheysfinefoods.com,yes,"Peachey's Fine Foods, Life is Peachey",
509662,Telecopy Inc.,telecopy.com,yes,Privacy error,
555729,Mama Best Food,mannane.com,yes,mannane.com,
122745,Bravabod,bravabod.com,yes,Home - Bravabod,
103655,Biscuitsbydaddyo,biscuitsbydaddyo.com,yes,Gluten-Free Biscuits By Daddy-O Are A Hit! The Reviews Are In!,
172403,Plainsman,plainsman.com,yes,Home - The Daily Plainsman,
360239,Bcsofadesign,bcsofadesign.com,yes,Home | BC SOFA DESIGN SUPPLIER & MANUFACTURER,
425108,deekaygroup.com,deekaygroup.com,yes,503 Service Unavailable,
482882,stinghouse.com,stinghouse.com,yes,Stinghouse Creative,
213214,Museoegizio,museoegizio.it,yes,Museo Egizio,
541772,Saltwater Markets,saltwatermarkets.com,yes,Saltwater Markets – Premium Meats & Quality Seafood,
122657,Delfriscos,delfriscos.com,yes,Del Frisco's Double Eagle Steakhouse | Expect Extraordinary,
532927,Felizsta,felizsta.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17"
553007,Tara Leigh Cakes,taraleighcakes.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17"
190381,Silverlyan,silverlyan.com,yes,Silver Lyan | Washington DC,
537966,Buffalo Wagon,buffalowagon.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17",
452653,lcgfreight.com,lcgfreight.com,yes,LCG Freight | Expert drayage solutions in Charleston and Savannah,,
364900,Boucheriezinman,boucheriezinman.com,yes,Home - Boucherie Zinman,,
355655,Sprucegrovefeeds,sprucegrovefeeds.com,yes,SPRUCE GROVE FEEDS,,
350004,Maomaomom,maomaomom.com,no,,,Empty or low-content body
333638,Pe,pe.findsalesrep.com,yes,"FindSalesRep.com | Find Local Direct Sales and Network Marketing Product Consultants, Distributors and Home Business Opportunities",,
322151,Tubescanada,tubescanada.ca,yes,Tubes® Canada - Muff style Multi Functional Hand Warmer – Tubes Canada,,
412129,commercialledlights.com,commercialledlights.com,yes,Commercial LED Lights | U.S. Wholesale LED Store,,
468684,graphic-imprints.com,graphic-imprints.com,yes,"Graphic Imprints | Screen Printing, Embroidery, Vinyl, Awards & Promo Products | Billings, MT - Home",,
539025,Ti Amo Pizzeria & Pasta,tiamopizzeria.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17",
192862,Uspi,uspi.com,yes,United Surgical Partners International - Home,,
398322,nitori.co.jp,nitori.co.jp,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17",
244536,Drinkmana,drinkmana.com,yes,Mana™ | Food For A Better Life,,
342376,Vervskin,vervskin.ca,yes,Verv Skin,,
162727,Alaskandreambotanicals,alaskandreambotanicals.com,yes,Alaskan Dream Botanicals,,
540458,Tom & Suzie’s NY Bagel Deli,tsnybd.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17",
2672,Tulocay and Company,tulocayandco.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17",
556246,Juice Supply,juicesupply.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17",
242765,Arkneweraguitars,arkneweraguitars.com,yes,New Era Guitars,,
114325,Hcafloridahealthcare,hcafloridahealthcare.com,yes,Florida Hospitals and Emergency Rooms | HCA Florida Healthcare,,
543422,Bagel Cafe and Catering,bagelcafenyc.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17",
516796,GET REAL GET RAW,getrealgetraw.org,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17",
106163,Accelerate360,accelerate360.com,yes,accelerate360,,
465571,polymerforgebio.com,polymerforgebio.com,no,,,Empty or low-content body
531938,"Pinto Canyon Management, LLC",pintocanyon.com,no,,"
No element found.
Method: ele()
Arguments: {'locator': 'tag:body', 'index': 1, 'timeout': 10}
Version: 4.1.0.17",
