name,domain,isRelated
Martinrea Industrial Canada,martinrea.com,False
Windsor Machine Group,windsorsquare.ca,True
Neo Performance Materials Inc,neomaterials.com,False
Silver Cross,savaria.com,False
Harris Steel Group Inc,laurelsteel.com,True
Triple M Metal,triplemmetal.com,False
Velan Inc,velan.com,False
"Nucor Rebar Fabrication, a Division of",harrisrebar.com,False
Stream-Flo Industries Ltd,streamflo.com,False
"Clow Canada, div of",canadapipe.com,False
Brose Canada Inc.,brose.com,False
Simunition,gd-otscanada.com,True
Brandt Industries Canada Ltd,brandt.ca,False
Sunny Corner Enterprises Inc,sunnycorner.ca,False
Parker Filtration Canada,parker.com,False
Bend All Automotive ULC,bend-all.com,False
Mancor Speers Rd,mancor.com,False
Hillman Canada,shop.hillmangroup.ca,False
Produits Industriels Mitchell,robertmitchell.com,False
Adaptive Engineering Inc,adaptivelifts.com,False
Almag Aluminum Inc,almag.com,False
Waiward Industrial Limited Partnership,waiward.com,False
PCC Aerostructures GTA Woodbridge,pccaero.com,False
Raptor Wear Parts,raptormining.com,False
Group Oméga II,omegatwo.com,False
Delta Faucet Canada,mascocanada.com,False
Schaeffler Canada Inc,schaeffler.de,True
Systèmes de clôtures Omega II,metaltech-omega.com,True
Steelhaus Technologies Inc,steelhausinc.com,False
Anmar Mechanical and Electrical Contractors Ltd,anmar.ca,False
Div of Novolex,deluxepaper.com,True
Walter's Inc,waltersgroupinc.com,False
Atlas Hydraulics Inc,gates.com,False
Protocase,protocase.com,False
DBG,dbgcanada.com,True
Bri-Chem Corp,brichem.com,False
MSSC,msscna.com,False
Les Marques Spectrum IP,pthomeandgarden.com,False
HPG LP,hpg.precinmac.com,True
IMT Defence,imtcorporation.com,False
Watts Water Technologies (Canada) Inc.,watts.com,False
Neptronic,neptronic.com,False
Garaventa Lift,garaventabc.ca,False
Strait Group Ltd,strait.ca,False
Cmp Advanced Mechanical Solutions Ltd.,cmpdifference.com,False
Clean Energy Compression,cleanenergyfuels.com,True
Rousseau Métal Inc,rousseau.com,False
Ipex Inc,ipexna.com,False
Festo Inc,festo.ca,True
MacDonald Steel Limited,macdonaldsteel.com,False
Produits Acier Nova Inc,novasteelproducts.ca,False
Corporation STERIS Canada,steris.com,False
Neptune International,produitsneptune.com,False
Patriot Forge Co.,patriotforge.com,False
John Crane Canada Inc,johncrane.com,True
Master Flo Valve Inc.,masterflo.com,False
Atelier Fabmec Inc,fabmec.ca,True
Dahl Brothers (Canada) Limited,dahlvalve.com,False
Raufoss Technology,raufosstechnology.com,False
Signature Aluminum Canada Inc,signaturealum.com,True
Cintube Ltee,cintube.com,False
Manluk Industries Inc.,manluk.com,False
Mécanique Pro-B,groupepro-b.com,False
Compass,compassnrg.com,False
The AIL Group of Companies,ail.ca,False
ABS Machining Inc,absmachining.com,False
Surround Technologies Inc,advantecglobal.com,False
The Hi-Tech Gears Canada Inc,thehitechgears.com,False
Sobotec Ltd,sobotec.com,False
Southwestern Manufacturing Inc,southwesternmanufacturing.com,False
Ledcor Industries Div,ledcor.com,False
"Fiat Products, a div of",craneplumbing.com,True
Academy Construction & Maintenance Limited Partnership,academyfabricators.ca,True
GMW Group,gmw.ca,True
Argus Machine Co. Ltd,argusinnovates.com,False
BMP Metals,bmpmetals.com,False
Epiq La Compagnie de Dynamique Avancée Ltée,epiqmachinery.com,True
Uponor,infrapipes.com,False
Charlton & Hill Limited,charltonandhill.com,False
"AGS Flexitallic, Inc",flexitallic.com,False
Target Hydraulic & Machine Works Ltd,targethydraulics.com,False
Capproducts of Canada Limited,capproducts.com,False
Ben Machine,benmachine.com,False
Spinnaker Industries Inc,spinnakerindustries.com,False
"Bedco, Division de Gérodon Inc",bedcolab.com,False
Ultra-Fit Manufacturing Incorporated,ultrafitmanufacturing.com,False
RDI,rdironworks.com,False
Service de Limousine Excalibur,groupeyvanfrappier.com,False
EM Dynamics Inc,em-dynamics.ca,False
Enduron Inc,enduron.net,False
Winston Steel Inc,winstonsteel.ca,True
A S M Industries,asmindustries.com,False
Colt Canada Corporation,coltcanada.com,False
Robwel Constructors Limited Partnership,robwel.ca,False
Gemini Fabrication Ltd,scovan.ca,True
Outillage De Précision Drummond Inc,opd.ca,False
Boundary Equipment Co. Ltd,boundaryequipment.com,False
St. John's Trophies Ltd,rewardingexcellence.ca,True
Cheminées Sécurité International Ltée,securitychimneys.com,False
EPFC Corp,epfccorp.com,True
G.W. Anglin Manufacturing Inc,gwanglin.com,False
Savage Arms (Canada) Inc,savagearms.com,False
Nelson Industrial Inc,nelsonii.com,False
Les Textiles Mercedes Limitée,mercedestextiles.com,True
Fischer Canada Stainless Steel Tubing Inc,fischerca.com,False
Cambridge Pro Fab Inc,cambridgeprofab.com,False
CBM Metal,cbmmetal.com,False
La Corporation De Valves Trueline,trueline.ca,False
G.M.I.,gluecklermetal.com,False
A. T. Designs Insignia Ltd,atdesigns.com,False
A7 Intégration Inc.,a7integration.com,False
CVS Controls Ltd,cvs-controls.com,False
Les Aciers Richelieu Inc,aciers-richelieu.com,False
"Cambridge Brass, Inc",cambridgebrass.com,False
Cessco Fabrication & Engineering Limited,cessco.ca,False
Essex Weld Solutions,essexweldsolutions.com,False
"Universe Machine & Welding, Div",umcorp.com,False
HS Spring Of Canada Inc,hsspring.com,False
ADS Canada,ads-pipecanada.ca,False
Sureway Metal Systems Limited,surewaymetal.com,False
Royal Laser MFG Inc.,royallaser.com,False
Gestion Soleno Inc.,soleno.com,False
Matritech Inc,matritech.qc.ca,False
Metatube (1993) Inc,metatube.qc.ca,False
Soucy Rivalair Inc,soucyrivalair.com,False
Curtiss-Wright Nuclear Canada,curtisswright.com,False
Ezeflow Inc,ezeflow.com,False
Gestion FluoroSeal Inc,fluorosealvalves.com,True
Durose Manufacturing Limited,durose.com,False
JEBCO Industries Inc,jebcoindustries.com,True
Robar Industries Ltd,robarindustries.com,False
Norwesco Industries (1983) Ltd,norwesco.ab.ca,False
Progressive Rubber Industries Inc,progressiverubber.com,False
ETZone Supplies Inc,etzone.ca,False
Alloy Fab,alliancefabltd.com,False
Hi-Kalibre Equipment Limited,hikalibre.com,False
Bay International Canada ULC,bayintlcanada.com,True
Rector Machine Works Ltd,rectormachineworks.com,False
Titan Foundry,trojanindustries.ca,False
Adventec Manufacturing Inc,adventec.com,False
MCM 2001,mcm2001.ca,False
Bourque Industrial Ltd,bourqueindustrial.com,False
Louisville,featherliteladders.com,True
Ideal Welders Ltd,idealwelders.com,False
D&R Custom Steel Inc,drcustomsteel.com,False
Domino Machine Inc,dominomachine.com,False
SSM Wind,soofoundry.ca,False
NewCold Metal Construction Ltd,ncmc.ba,False
AWC Manufacturing LP,awcmanufacturing.com,False
Kubes Steel Inc,kubesteel.com,False
Better Built,nsc-betterbuilt.com,False
AMICO-ISG,amicoglobal.com,False
IZA Design & Manufacturing Inc.,izadm.com,False
Cobotix Manufacturing Inc,cobotix.com,False
Newport Custom Metal Fabrications Inc,newportmetalfab.com,False
Robadair Ltd.,robadair.com,False
Sentry Precision Sheet Metal Ltd,sentryprecision.com,False
Iafrate Machine Works Limited,iafratemachine.com,False
Industries Hagen Ltée,hagenindustries.com,True
Spirol Industries Limited,ca.spirol.com,False
CPI Service,chartindustries.com,False
Chrima Metal Fabrication,chrima.ca,False
Electronic MetalForm Industries Limited,electronicmetalform.com,True
Bobrick Washroom Equipment Company,bobrick.com,False
Cello Products Inc,celloproducts.com,False
Agora Manufacturing Inc,agoramfg.com,False
Dieter's Metal Fabricating Limited,dietersaccessories.com,False
Termel Industries Ltd,termel.ca,False
Central Machine & Marine Inc,centralmm.ca,True
Accucam Machining,eqiltd.com,False
Can-Am Casters & Wheels A Division Of Colson Casters Ltd,colson.ca,False
Leon's Mfg. Company Inc,leonsmfg.com,False
Dingwell's Machinery and Supply Limited,dingwells.com,False
SJ40 Management Corporation,brenco.com,False
RAM Elevators & Lifts Inc,trustram.com,False
NMT Machining Group Inc,nmtgroup.ca,False
Sécurifort Inc,securifort.com,False
Reidco Metal Industries Ltd,reidcometal.com,False
Platinum Rail,bartonairfab.com,False
Lambro,lambro.ca,False
ETSM Technical Services Ltd,etsm.com,False
JBS,jbsequipment.com,False
Douglas Barwick Inc,dbpipinggroup.com,False
Backrack,backrack.com,False
Koch Stainless Products Ltd,kochstainless.com,False
Bernardo Metal Products Limited,bernardometalproducts.com,False
Pritchard Engineering,pritchard.ca,False
Westlake Industries Inc,westlakeind.com,False
Boyaux Multiflex,hebdraulique.ca,False
Midwest Fabricators Ltd,midwestfabricators.ca,False
Peterson Spring Of Canada Limited,pspring.com,False
Tri-Metal Fabricators,trimetalfab.com,False
Groupe De Sécurité Mgm Inc.,mgmsecuritygroup.com,False
Sure Flow Equipment Inc,sureflowequipment.com,False
"Wilson, David W. Manufacturing Ltd",dwwilsonmanufacturing.ca,False
Custom Energized Air Ltd,customenergizedair.com,False
Camalor Mfg. Inc,camalor.com,False
Omni-Lite Industries Canada Inc,omni-lite.com,False
Les Aciers Sofatec,sofatec.ca,False
Kelso Technologies Inc,kelsotech.com,False
Yarmouth Crane Service,yarmouthgroup.ca,False
Norwest Precision Limited,norwestprecision.com,False
Southampton Train Industrial,southampton-industrial.com,False
