name,domain,isRelated
George Weston Limited,weston.ca,True
Cargill Limited,cargill.ca,True
Saputo Inc,saputo.com,True
Sollio Groupe Coopératif,sollio.coop,True
McCain Foods Limited,mccain.com,True
Olymel S.E.C.,olymel.ca,True
Premium Brands Holdings Corporation,premiumbrandsholdings.com,True
Jolina Capital Inc.,arbec.ca,False
Maple Leaf Foods Inc,mapleleaffoods.com,True
Richardson International Limited,richardson.ca,True
Kraft Heinz Canada ULC,kraftheinz.com,True
Saputo Produits Laitiers Canada S.E.N.C.,saputo.com,True
Shato Holdings Ltd,shatoholdings.com,False
"Canada Bread Company, Limited",bimbocanada.com,True
PepsiCo Canada ULC,pepsico.com,True
Nestle Canada Inc,madewithnestle.ca,True
Lassonde Industries Inc.,lassonde.com,True
Maple Lodge Farms Ltd,maplelodgefarms.com,True
FGF Brands Inc,fgfbrands.com,True
Viterra Canada Inc,viterra.com,True
High Liner Foods Incorporated,highlinerfoods.com,True
General Mills Canada Corporation,generalmills.ca,True
Mars Canada Inc,can.mars.com,True
Multi-Marques Inc,bimbocanada.com,True
Procter & Gamble Inc,dentalcare.ca,False
Rogers Sugar Inc,lanticrogers.com,True
Hershey Canada Inc,hersheyland.ca,True
Campbell Company of Canada,campbellsoup.ca,True
Clearwater Seafoods Limited Partnership,clearwater.ca,True
Trouw Nutrition Canada Inc,trouwnutrition.ca,True
Wonder Brands Inc,wonderbrands.com,True
Dare Foods Limited,darefoods.com,True
Exceldor Coopérative,exceldor.ca,True
Nilsson Bros. Inc,nbinc.com,True
Atrium Innovations Inc.,pureencapsulations.com,True
Conestoga Meat Packers Ltd,conestogameats.com,True
Give and Go Prepared Foods Corp,giveandgo.com,True
Old Dutch Foods Ltd,olddutchfoods.ca,True
Cavendish Farms Corporation,us.cavendishfarms.com,True
A. Lassonde Inc,lassonde.com,True
duBreton Inc,dubreton.com,True
Atlantic Retail Co-Operatives Federation,coopatlantic.ca,True
Lactalis Canada Inc,lactalis.ca,True
ADM Agri-Industries Company,adm.com,True
Groupe Normandin Inc,restaurantnormandin.com,True
Sanimax SAN Inc,sanimax.com,True
Maple Lodge Holding Corporation,maplelodgefarms.com,True
Ridley Inc,alltech.com,True
Kellanova Canada Inc,kelloggs.ca,True
Quinlan Brothers Limited,quinlanbros.ca,True
Biscuits Leclerc Ltée,leclerc.ca,True
Ferrero Canada Limited,ferreronorthamerica.com,True
Island Fishermen's Co-operative Association Limited,acpi-ifca.com,True
Bunge Canada,bunge.com,True
SEL Windsor Ltée,windsorsalt.com,True
David Chapman's Ice Cream Limited,chapmans.ca,True
Nutrinor Coopérative,nutrinor.com,True
True North Salmon Limited Partnership,truenorthseafood.com,True
Bunge Canada Holdings I Inc,bunge.com,True
Oxford Frozen Foods Limited,oxfordfrozenfoods.com,True
Hylife Foods LP,hylifefoods.com,False
Sofina Foods Inc,sofinafoods.com,True
"Flavelle, Charles Investments Ltd",purdys.com,True
Cooke Aquaculture Inc,cookeseafood.com,True
"Allan Candy Company Limited, The",hersheyland.ca,True
Sunrise Poultry Processors Ltd,sunrisefarms.ca,True
Les Viandes du Breton Inc,dubreton.com,True
Concord Premium Meats Ltd,marcangelofoods.com,False
Compass Minerals Canada Corp.,siftocanada.com,True
Pinty's Delicious Foods Inc,pintys.com,True
Conagra Brands Canada Inc,conagrabrands.ca,True
Aliments Martel Inc,legroupemartel.com,True
Barry Callebaut Canada Inc.,barry-callebaut.com,True
Margarine Thibault Inc,nuvel.ca,True
Vantage Foods Inc,vantagefoods.net,True
Kerry (Canada) Inc,kerry.com,True
"Nellson Nutraceutical Canada, Inc",nellsonllc.com,True
La Cie McCormick Canada Co.,clubhouse.ca,True
"Aliments Wong Wing Inc, Les",wongwing.ca,False
Voortman Cookies Limited,voortman.com,True
"Purdy, R.C. Chocolates Ltd",purdys.com,True
Redpath Sugar Ltd,redpathsugar.com,True
Riverside Natural Foods Ltd,riversidenaturalfoods.com,True
Tootsie Roll of Canada ULC,tootsie.com,True
Aliments Asta Inc,alimentsasta.com,True
West Coast Reduction Ltd,wcrl.com,True
Mother Parker's Tea & Coffee Inc,mother-parkers.com,True
Pizza Pizza Limited,pizzapizza.ca,True
Gay Lea Foods Co-Operative Limited,gaylea.com,True
Hallmark Poultry Processors Ltd,hallmarkfarms.ca,True
Grand River Foods Ltd,grandriverfoods.com,False
Pace Processing and Product Development Ltd,paceprocessing.com,True
Karma Candy Inc,karmacandy.ca,True
Bridor Inc,bridor.com,True
Quin-Sea Fisheries Limited,royalgreenland.com,True
Agromex Inc,fmenard.com,True
PRT Growing Services Ltd,prt.com,False
Aliments Sunchef Inc,sunchef.com,True
Labrador Fishermen's Union Shrimp Company Limited,labshrimp.com,True
Apple Valley Foods Incorporated,applevalleyfoods.com,True
Burnbrae Farms Limited,burnbraefarms.com,True
Westmorland Fisheries Ltd.,westmorlandfisheries.ca,True
Flora Food Canada Inc.,florafoodgroup.com,True
North American Tea & Coffee Inc,natcinc.com,True
Corporation D'aliments Riviana Canada,riviana.com,True
FG Deli Group Ltd,freybe.com,True
True North Salmon Co. Ltd,truenorthseafood.com,True
Les Viandes Lacroix Inc,viandeslacroix.com,True
Plaisirs Gastronomiques Inc,plaisirsgastronomiques.com,True
"Ganong Bros., Limited",ganong.com,True
Fine Choice Foods Ltd,summfoods.com,True
Les Bonbons Oink Oink Inc,squishcandies.com,True
