name,domain,isRelated
BELL-MARK,bell-mark.com,True
Econocorp Inc.,econocorp.com,True
James Alexander Corp.,james-alexander.com,False
"Pneumatic Scale Angelus, A Barry-Wehmiller Packaging Company",psangelus.com,True
Specialty Equipment,specialtyequipment.com,True
"Spee-Dee Packaging Machinery, Inc.",spee-dee.com,True
T.H.E.M.,them.net,True
"Taisei Lamick USA, Inc. (Dangan)",taiseilamick.com,True
Weber Inc.,weberweb.com,True
Accurate Box Company,accuratebox.com,True
Bastian Solutions,bastiansolutions.com,True
BluePrint Automation (BPA),blueprintautomation.com,True
"CTM Labeling Systems, Inc.",ctmlabelingsystems.com,True
Dorner,dornerconveyors.com,True
Fallas Automation Inc.,fallasautomation.com,True
"FlexLink, a Coesia company",flexlink.com,True
FORDS Packaging Systems,fordsps.com,True
Intralox,intralox.com,True
IPG (Intertape Polymer Group),itape.com,True
Niverplast,niverplastna.com,True
PAC Machinery,pacmachinery.com,True
PFlow Industries Inc.,pflow.com,True
Pregis,pregis.com,True
"Ryson International, Inc.",ryson.com,True
Shurtape Technologies,shursealsecure.com,True
Smurfit Westrock,smurfitwestrock.com,True
SpanTech Conveyors,spantechconveyors.com,True
"Universal Labeling Systems, Inc.",universal1.com,True
WIPOTEC,wipotec.com,True
"All-Fill, Inc.",all-fill.com,True
Cama North America,camagroup.com,True
Columbia/Okura LLC,columbiaokura.com,True
"DTM Packaging, a Massman Company",dtmpackaging.com,True
Formost Fuji Corporation,formostfuji.com,True
"Heat and Control, Inc.",heatandcontrol.com,True
"Hitachi Industrial Equipment & Solutions America, LLC",mc.hitachi-iesa.com,True
Integrated Packaging Machinery,callipm.com,True
JLS Automation,jlsautomation.com,True
"Krones, Inc.",kronesusa.com,True
Modular Conveyor Express,modularconveyor.com,True
Nercon Conveyor Systems,nerconconveyors.com,True
PMI KYOTO Packaging Systems,pmikyoto.com,True
TNA Solutions,tnasolutions.com,False
Yamato Corporation,yamatoamericas.com,True
Aagard,aagard.com,True
Busch Vacuum Solutions,buschvacuum.com,False
"EDL Packaging, a Massman Company",edlpackaging.com,True
FOCKE & CO,packaging-solutions.focke.com,True
Garvey,garvey.com,True
Graphic Packaging International,graphicpkg.com,True
ITW Hartness,hartness.com,True
Metsä Board,metsagroup.com,False
Mitsui Chemicals America,mitsuichem.com,False
