url,GTIN,Product Name,Description,Ingredients,Pack Size,Product Format,Slice Weight,Product Performance,Item Type,Slice Length,Slice Width
schreiber-white-pasteurized-process-cheese-product-slices-4-5-120-slices/,071505013901,SCHREIBER WHITE PASTEURIZED PROCESS CHEESE PRODUCT SLICES – 4/5# 120 SLICES,"With a mild American flavor profile and smooth, firm texture, this cheese is the perfect addition to burgers, grilled cheese sandwiches, or even a delicious egg sandwich, but at a more cost effective price point than American cheese. Plus, with its convenient pre-portioned slices and EZ Pick staggered design, it streamlines kitchen preparation, reduces waste, and ensures hassle-free cooking every time. So go ahead, add a creamy, melty touch to all your most popular dishes!","MILK, WATER, DAIRY PRODUCT SOLIDS, SODIUM CITRATE, MODIFIED FOOD STARCH, SALT, CONTAINS 2% OR LESS OF CHEESE CULTURE, CITRIC ACID, CREAM, ENZYMES, SORBIC ACID (PRESERVATIVE), SOY LECITHIN. CONTAINS: MILK, SOY",4/5#,Slice,0.67oz.,Hot Application - Internal Melt,PROCESSED CHEESE,3.375,3.375
schreiber-sharp-cheddar-loaf-2-5/,071505016483,SCHREIBER SHARP CHEDDAR LOAF – 2/5#,"Our Sharp Cheddar cheese boasts a full, rich flavor that’s sharp on the tongue followed by a delightful sweetness typical of Cheddar. Its firm body and smooth, slightly crumbly texture make it perfect for shredding or slicing, allowing you to customize your dishes with ease. Whether sprinkled on omelets, pasta, or soups, or featured on a decadent meat and cheese platter for snacking, our sharp cheddar helps add a burst of flavor that consumers will love.","PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED. CONTAINS: MILK",2/5#,Chunk,,Ready to Eat,NATURAL CHEESE,,
sharp-cheddar-white-feather-shreds-4-5/,071505018357,SHARP CHEDDAR WHITE FEATHER SHREDS – 4/5#,"Whether you’re creating a visual flourish for entrees or adding a creamy texture to appetizers, this product will help you elevate every bite with the perfect combination of sharp and sweet cheddar flavors. Our classic feather shred ensures impeccable coverage, allowing you to effortlessly add a visual flourish to entrees or a creamy texture to appetizers. it’s the ideal way to enhance everything from chilled salads to piping hot pasta, pizza, or casseroles. Make each dish memorable with this versatile addition that saves time and reduces waste in your operation.","CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",4/5#,Shredded,,Hot Application - Internal Melt; Hot Application - Topical Melt; Cold Application,NATURAL CHEESE,,
strawberry-cream-cheese-spread-bulk-1-30/,071505020152,STRAWBERRY CREAM CHEESE SPREAD BULK – 1/30#,"Looking to add a burst of fruity goodness to your product ? This strawberry cream cheese spread is the perfect choice! Featuring a soft, creamy texture, this fully-cultured, high-quality cream cheese is sure to delight your consumers and can be easily incorporated into a variety of dishes. Whether you’re spreading it on bagels, pastries, sandwiches, or mixing it into other ingredients to create a flavorful spread, this strawberry cream cheese will help you fill out your menu with incredibly delicious new options.","PASTEURIZED MILK AND CREAM, SUGAR, WATER, STRAWBERRIES, CHEESE CULTURE, SALT, NATURAL FLAVOR, GUAR GUM, MODIFIED FOOD STARCH, CITRIC ACID, XANTHAN GUM, FRUIT AND VEGETABLE JUICE (COLOR), CAROB BEAN GUM, HONEY, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",1/30#,Bulk,,Spreading,CREAM CHEESE,,
yellow-pasteurized-process-cheese-spread-pouch-6-5/,030900036434,YELLOW PASTEURIZED PROCESS CHEESE SPREAD POUCH – 6/5#,"Our Yellow Pasteurized Process Cheese Spread Pouch was made with your operation’s needs in mind. It’s convenient, indulgent, and, most importantly, irresistible. It features a clean, slightly salty, mild Cheddar flavor profile designed to help you tantalize the taste buds of all those you serve. And its smooth and creamy texture is perfect for saucing – making it an essential ingredient for soups, queso, mac and cheese, nachos, and more.","MILK, SKIM MILK, WHEY, SODIUM PHOSPHATE, WHEY PROTEIN CONCENTRATE, CREAM, CONTAINS 2% OR LESS OF CHEESE CULTURE, COLOR ADDED, ENZYMES, SALT. CONTAINS: MILK",6/5#,Pouch,,Sauce,PROCESSED CHEESE,,
schreiber-cheddar-jack-50-50-feather-shreds-4-5/,071505014250,SCHREIBER CHEDDAR JACK 50/50 FEATHER SHREDS – 4/5#,"From salads to quesadillas and pasta to pizza, this cheese has you covered. We use a blend of 50% Mild Cheddar and 50% Monterey Jack, ensuring that each bite is bursting with flavor and the feather shred gives perfect coverage every time. It also provides you with a melty texture, making it easy to add a visually appealing twist to any dish on your menu.","CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED), MONTEREY JACK CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",4/5#,Shredded,,HOT APPLICATION - INTERNAL MELT; HOT APPLICATION - TOPICAL MELT; COLD APPLICATION,NATURAL CHEESE,,
schreiber-yellow-pasteurized-process-american-slices-4-5-flow-through-wrapper-96-slices/,071505013833,SCHREIBER YELLOW PASTEURIZED PROCESS AMERICAN SLICES – 4/5# FLOW THROUGH WRAPPER 96 SLICES,"Whether you’re topping juicy burgers, making perfectly golden, grilled cheese sandwiches, or creating a crispy chicken sandwich, the smooth and melty texture of Schreiber Yellow Pasteurized Process American Slices is going to help you elevate every dish to gourmet status. And, with its horizontal stack and EZ Pick staggered slices, kitchen prep becomes effortless, ensuring easy separation, minimal waste, and unforgettable flavor in every bite.","MILK, CREAM, WATER, SODIUM CITRATE, SALT, CHEESE CULTURE, SORBIC ACID (PRESERVATIVE), CITRIC ACID, ENZYMES, SOY LECITHIN, COLOR ADDED. CONTAINS: MILK, SOY",4/5#,Slice,0.83oz.,Hot Application - Internal Melt,PROCESSED CHEESE,3.375,3.375
friendship-lowfat-plain-yogurt-cup-6-2/,030900008226,FRIENDSHIP LOWFAT PLAIN YOGURT CUP – 6/2#,"With its smooth, creamy texture, this lowfat yogurt is a must-have in any kitchen. it’s great for marinating proteins, whipping up dressings for salads or dips and even creating a lower-fat substitute for mayo or sour cream in baked items for the growing number of health-conscious customers. Plus, with its 2-pound size, it’s perfect for multiple occasions, ensuring you’ll always be ready for any culinary adventure.","CULTURED PASTEURIZED GRADE A LOW FAT MILK, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",6/2#,Large Cup,,Ready to Eat,YOGURT,,
schreiber-low-moisture-part-skim-mozzarella-slices-12-1-16-slices/,071505014809,SCHREIBER LOW MOISTURE PART-SKIM MOZZARELLA SLICES – 12/1# 16 SLICES,"Cut down on prep time and waste with this conveniently sliced natural cheese. Schreiber Low Moisture Part-Skim Mozzarella slices have a mild and slightly salty dairy profile, allowing you to add a delightfully delicious touch to Italian subs, sandwiches, and more. It also offers excellent melting capabilities for all your culinary creations. Our thick mozzarella slices offer optimal sandwich coverage and are easy to separate and use, speeding up kitchen prep and reducing waste.","PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES. CONTAINS: MILK",12/1#,Slice,1oz.,Cold Application; Hot Application - Internal Melt,NATURAL CHEESE,3.5,3.66
schreiber-1-milk-12-32-fl-oz/,071505023962,SCHREIBER 1% MILK 12/32 FL OZ,"With all of the flavor but an even lower fat content, our 1% milk is more than just a beverage – it’s a promise of quality and versatility from a dairy expert. From more complex baking applications to simple dishes like cereal, or even just pouring a tall glass for a refreshing sip, its creamy texture and rich taste help you create an unforgettable experience every time. And, with extended shelf life and efficient one-quart cartons, you can maximize your storage space while delighting all those you serve.","LOWFAT MILK, VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",12/32FLOZ,Milk,,Ready to Drink,BEVERAGES,,
