name,domain,isRelated
,1000bulbs.com,False
,essentialsupplies.com,False
,hz-bottle.com,True
,stamps.com,False
,brownandpratt.com,True
,apecenvelopes.com,True
,fox40.com,False
,localsyr.com,False
,a1863915867487d4.en.made-in-china.com,True
,greenpackaging.com.cn,True
,packlogic.com,False
,thumbwind.com,False
,thewaterbottlestore.com,False
,aboutamazon.eu,False
,cbc.ca,False
,yourerie.com,False
,wcia.com,False
,eastman.com,False
,cleanmyspace.com,False
,allurepack.com,False
,totalpack.com,False
,deluxepkg.com,False
,westpack.com,False
,globalpolysolutions.com,False
,store.canadapost-postescanada.ca,False
,custompackagingchicago.com,True
,anolon.com,True
,greenlife-cookware.com,False
,capitalcookware.com,False
,pixartprinting.com,False
,cooksdirect.com,True
,debuyer-usa.com,True
,reviewed.com,False
,curated.com,False
,greenpan.us,True
,matferbourgeatusa.com,True
,smithey.com,False
,kob.com,False
,gbepackaging.com,False
,kellythekitchenkop.com,False
,usapan.com,False
,ameripakpackaging.com,False
,kron4.com,False
,everythinglubbock.com,False
,internationalwholesale.com,True
,kget.com,False
,madeincookware.com,True
,kxan.com,False
,culturetype.com,False
,wric.com,False
,cbs42.com,False
,napawoodenbox.com,False
,wreg.com,False
,conchovalleyhomepage.com,False
,abc27.com,False
,stahlkitchens.com,False
,fox8.com,False
,wboy.com,False
,hindustantimes.com,False
,absolutefencinggear.com,False
,ekanconcepts.com,True
,goldenstateboxfactory.com,True
,gbwoodcock.com,False
,hastiles.com,False
,builtritebox.com,False
,vermontwoodenbox.com,False
,actionwood360.com,False
,cliffordlumber.com,False
,woodchuckusa.com,False
,foxvalleywoodproducts.com,False
,brownwoodinc.com,False
,arnoldwood.com,False
,delvalbox.com,False
,tealsprairie.com,False
,wdi-retailpackaging.com,False
,woodpak.com,True
,customcraftltd.com,False
,fca-timbercreek.com,False
,packnwood.com,True
,wdicustomwood.com,False
,manopoulos.com,False
,mgtrading.com,False
,munichwoodworks.com,False
,dna-packaging.com,False
,hotdashunpackaging.com,True
,wewood-home.com,True
,glassdoor.com,False
,fullerbox.com,False
,ewhannas.com,False
,customusb.com,False
,treenpallet.com,False
,mzwmotor.com,False
,creativepackingcn.com,False
,dmdlumber.com,False
,ongnawood.com,False
,moslowwood.com,False
,woodboxesetc.com,False
,woodthings.com,False
,palletbiz.com,False
,bagest.en.made-in-china.com,True
,palletcentral.com,False
,thecookiecountess.com,False
,worldwideboxpackaging.com,False
,hemantpackers.com,False
,performancepanels.com,False
,occrating.com,False
,treebrand.com,False
,exportcorporation.com,False
,holzherusa.com,False
,milanbox.com,False
,dufeckwood.com,False
,happywoodproducts.com,False
,woodbox.ca,False
,electrification.us.abb.com,False
,duroflexusa.com,False
,ectmfg.com,False
,dohoelectric.com,False
,njsullivan.com,False
,interpak.com,False
,yibamboo.com,False
,madeinwashington.com,True
,deufol.com,False
,dahou.com,False
,electronicenclosures.net,False
,wooden-boxes.regionaldirectory.us,False
,accuratemetalfab.com,False
,pronkmultiservice.com,False
,bullmetal.com,False
,metaledge.com,False
,hielectrics.com,False
,tosunlux.eu,False
,woodpeckerscrafts.com,False
,elitetoolboxes.com,False
,elliottelectric.com,False
,majesticsteel.com,False
,pioneersteelusa.com,False
,clariannt.in,False
,kdmsteel.com,False
,garrettwade.com,False
,pvcconduitmanufacturer.com,False
,dalsinind.com,False
,jewelboxbook.com,False
,electrixinternational.com,True
,euroboxpackaging.com,True
,approvedsheetmetal.com,False
,theindustryoutlook.com,False
,enclosuremanufacturers.com,False
,kundel.com,False
,southwarkmetal.com,False
,shop.snapon.com,False
,duluthtrading.com,False
,buildingrenewable.com,False
,mcelroymetal.com,False
,royaldesign.com,False
,brickit.com,False
,hilelectronic.com,False
,preciousplastic.com,False
,makodesign.com,False
,jmbricklayer.com,False
,alliedmarketresearch.com,False
,reuters.com,False
,designwanted.com,False
,planswift.com,False
,morinbrick.com,False
,awimfg.com,True
,ramtsilo.com,False
,azocleantech.com,False
,link.springer.com,False
,eldoradostone.com,False
,omegaplasticsgroup.co.uk,False
,azobuild.com,False
,rescoproducts.com,False
,crown.co.za,False
,front-materials.com,False
,onlinelibrary.wiley.com,False
,raytonemachine.en.made-in-china.com,False
,blurredbylines.com,False
,enterclimate.com,True
,archello.com,False
,dezeen.com,False
,sanantonioplasticbricks.com,False
,keyedbrick.com,False
,imagine5.com,False
,warbricks.com,False
,designboom.com,False
,stirworld.com,False
,architoys.net,False
,corporateknights.com,False
,apacsafety.com,False
,madeinchicagomuseum.com,True
,acepapertube.com,False
,core-pack.solutions,False
,valkindustries.com,False
,romileyboard.co.uk,False
,cardboardtubes.com,False
,nndhpaper.com,False
,esytube.com,False
,kraftpackagingstore.com,True
,luxpac.com,False
,tritanproducts.com,False
,transpaco.co.za,False
,pkpapertube.com,False
,help.noissue.co,False
,marshallpapertube.com,False
,mampack.net,False
,crayford-tubes.co.uk,False
,goldenpapergroup.com,False
,atlbrick.com,False
,nathudyog.com,False
,corexgroup.com,False
,blog.spiralpaper.com,False
,yanxiyan.com,True
,fastfoodpak.com,True
,gzspringpackage.com,True
,shreeshyamenterprise.in,False
,ijraset.com,False
,glassdoor.co.uk,False
,kraftpaperbowls.com,True
,mastersupplyonline.com,False
,wellmadefoodpacking.com,True
,futurcompostable.com,True
,yasenpaperbowl.com,True
