name,domain,isRelated
,sunpack.com,True
,us.metoree.com,False
,theboxzone.com,True
,verifiedmarketresearch.com,True
,linquip.com,False
,epackprinting.com,True
,ectmfg.com,False
,boxup.com,True
,blueboxpackaging.com,True
,growthmarketingpro.com,False
,packagingschool.com,True
,refinepackaging.com,True
,popularmechanics.com,False
,berryglobal.com,True
,corrugatedboxcompanies.com,True
,discmakers.com,False
,imhpackaging.com,True
,vocal.media,False
,freedoniagroup.com,True
,unitedrentals.com,False
,dropbox.com,False
,apple.com,False
,imarcgroup.com,True
,sonos.com,False
,westernslopenow.com,False
,abc7ny.com,False
,vistaprint.com,False
,reuters.com,False
,sunsetfordofsumner.com,False
,ebay.com,False
,support.robertsspaceindustries.com,False
,wcia.com,False
,fox40.com,False
,fox2now.com,False
,apple.com,False
,boxagency.co,True
,whathifi.com,False
,wgntv.com,True
,linquip.com,False
,packagingschool.com,True
,sahalpackaging.com,True
,iqsdirectory.com,False
,corrugatedboxcompanies.com,True
,blueboxpackaging.com,True
,futureaudiophile.com,False
,globaldata.com,True
,imarcgroup.com,True
,westrock.com,True
,corrugatedboxcompanies.com,True
,elitecustomboxes.com,True
,inven.ai,False
,delmarvapkg.com,True
,cardbox-packaging.com,True
,packagingblue.com,True
,jbl.com,False
,theboxprinters.com,True
,packagingfulfillment.com,False
,expertmarketresearch.com,True
,imhpackaging.com,True
,packagingcorp.com,True
,standfastgroup.com,True
,mesh-bags.com,True
,ensun.io,False
,wertheimerbox.com,False
,pacificbox.com,True
,bpkc.com,True
,internationalpaper.com,True
,alliancepackaging.net,True
,boxgenie.com,True
,growthmarketingpro.com,False
,indexpackaging.com,True
,racerboxes.com,True
,bpkc.com,True
,gbp.com,True
,jamestowncontainer.com,True
,arizonacorrugatedcontainer.com,True
,gpctexas.com,True
,kellybox.com,True
,cactuscontainers.com,True
,michiganbox.com,True
,rusken.com,True
,akers-pkg.com,True
,oxopackaging.com,True
,bcipkg.com,True
,customcardboardboxesco.com,True
,psimd.com,True
,abbe.com.au,True
,belmontpackaging.co.uk,True
,ipcboxes.com,True
,sunecobox.com,True
,bing.com,False
,mcelroypackaging.com,True
,cbspackaging.co.uk,True
,ktla.com,False
,brimarpackaging.com,True
,wadpack.com,True
,mil-specpkg.com,False
,papermart.com,True
,capcitycontainer.com,True
,marketsandmarkets.com,True
,peachtreepackaging.com,True
,atlanticpkg.com,True
,packagingexpress.net,True
,gbp.com,True
,businesswire.com,False
,plusprinters.com,True
,shorr.com,False
,expresspkg.com,True
,leamancontainer.com,True
,amboxkc.com,True
,freedoniagroup.com,True
,smithers.com,True
,nelsoncontainer.com,True
,packsize.com,True
,packaging-labelling.com,True
,lakewaycontainer.com,True
,fruitgrowers.com,True
,customcardboardboxes.com,True
,mfgtray.com,True
,mfgtray.com,True
,bestboxespackingshipping.com,False
,eammosca.com,True
,usplastic.com,False
,jamestownplastics.com,False
,rimcoplastics.com,False
,protektivepak.descoindustries.com,False
,keycontainercorp.com,True
,pattersondental.com,False
,usplastic.com,False
,shirleyks.com,True
,channelmfg.com,True
,dental.keystoneindustries.com,False
,ready-made.com,True
,visipak.com,True
,ebay.com,False
,ready-made.com,True
,us.metoree.com,False
,discmakers.com,False
,pattersondental.com,False
,visipak.com,True
,legrand.us,False
,shipnerd.com,False
,mphusky.com,False
,michelsenpackaging.com,True
,berryglobal.com,True
,belart.com,False
,entegris.com,True
,justdial.com,True
,acmebox.com,True
,malaster.com,False
,spectrumchemical.com,True
,freshplaza.com,True
,justdial.com,True
,ebay.com,False
,net32.com,False
,grovemade.com,False
,ultrasourceusa.com,True
,support.apple.com,False
,sunsetfordofsumner.com,False
,support.apple.com,False
,mcmaster.com,False
,jbl.com,False
,vacuumformedplastics.com,True
,apartmenttherapy.com,False
,cb2.com,False
,turningleftforless.com,False
,timesfreepress.com,True
,polypak.com,False
,jamestownplastics.com,True
,nytimes.com,False
,timesfreepress.com,False
,danapoly.com,True
,rainbowpolybag.com,True
,hobbylobby.com,False
,us.metoree.com,False
,us.metoree.com,False
,apmbags.com,True
,rutanpoly.com,False
,ensun.io,False
,polybags.com,True
,iqsdirectory.com,False
,danapoly.com,True
,uspolypack.com,True
,bolddata.nl,False
,towardspackaging.com,True
,plastic-bags.net,True
,la-z-boy.com,False
,uspolypack.com,True
,procurementiq.com,False
,kr.dgpasike.com,True
,interplas.com,True
,comicsahoy.com,False
,fourstarplastics.com,True
,ibisworld.com,False
,checkerbag.com,True
,redibagusa.com,False
,apicorp.com,False
,sigmaplasticsgroup.com,True
,championplastics.com,True
,k-packings.com,True
,bagmastersusa.com,True
,plasticbagpartners.com,True
,cpflexpack.com,True
,versa-pak.com,True
,universalplastic.com,True
,cadybag.com,True
,clearbags.com,True
,mplasticsinc.com,True
,polybags.com,True
,zubairiplastics.com,True
,poly-america.com,False
,noyapro.com,False
,futuremarketinsights.com,True
,sourcescrub.com,False
,discountplasticbags.com,False
,rentechdigital.com,False
,packagingschool.com,True
,iqsdirectory.com,False
,mountainstatesplastics.com,True
,greatampack.com,True
,royalbag.com,True
,aplasticbag.com,True
,trashcansunlimited.com,False
,polypakplastics.com,True
,susupport.com,False
,ipack.com,True
,nashvillewraps.com,True
,imarcgroup.com,True
,customboxesnow.com,True
,universalplastic.com,True
,idealpkg.com,True
,bisonbag.com,True
,morganchaney.com,True
,proampac.com,True
,bagmastersusa.com,True
,pasikepackaging.com,True
,freshplaza.com,True
,xtex.co.uk,True
,sandkpackaging.com,True
,rdplastics.com,False
,americanpaper.com,True
,tradeindia.com,True
,custompoly.com,False
,alufplastics.com,True
,baseplastics.com,True
,plasticportal.eu,False
,ronpak.com,True
,s-dai.com.tw,True
,okcredit.in,False
,eco-mdsassociates.com,True
,nupackaging.com,True
,grandviewresearch.com,False
,ibisworld.com,False
,mauserpackaging.com,True
,crownpoly.com,True
,plastictechnologies.com,True
,sourcescrub.com,False
,plastic-containers.net,True
,berryglobal.com,True
,mjspackaging.com,True
,plastic-materials.com,True
,ibisworld.com,False
,packagingbagscustom.com,True
,brentwoodplastics.com,True
,verifiedmarketresearch.com,True
,towardspackaging.com,True
,kemalmfg.com,False
,apparelsearch.com,False
,plastic-containers.net,True
,fortunebusinessinsights.com,True
,packagingschool.com,True
,iqsdirectory.com,False
,auer-packaging.com,True
,plasticstoday.com,True
,bolddata.nl,False
,greif.com,False
,unitedbags.com,True
,rose-plastic.us,False
,labelmaster.com,False
,munotplastics.com,True
,oberk.com,True
,retlawindustries.com,False
,sciencedirect.com,True
,oberk.com,True
,wholesalesuppliesplus.com,True
,penninehealthcare.co.uk,True
,us.metoree.com,False
,axial.net,True
,leadiq.com,False
,usplastic.com,False
,ptpackaging.com,True
,rrd.com,True
,elitecustomboxes.com,True
,airseacontainers.com,False
,ebay.com,False
,usplastic.com,False
,kiowacountypress.net,False
,junise.com,True
,ebay.com,False
,mannlakeltd.com,True
,pcna.com,False
,shop.boeing.com,False
,buy.wesco.com,False
,berryglobal.com,True
,la-z-boy.com,False
,buy.wesco.com,False
,printpackipama.com,True
,markdowntohtml.com,False
,forum.ih8mud.com,False
,amazon.in,True
,inven.ai,False
,redibagusa.com,False
,ensun.io,False
,mzwmotor.com,False
,economictimes.com,False
,anitaplastics.com,True
,k-packings.com,True
,palmetto-industries.com,True
,economictimes.indiatimes.com,False
,unitedbags.com,True
,nationalbulkbag.com,True
,ameriglobe-fibc.com,True
,bulkbagdepot.com,True
,rickshawbags.com,False
,economictimes.com,False
,southernpackaginglp.com,False
,murphylift.com,False
,bagsupply.com,False
,gulfcoastbag.com,True
,gravitaspackaging.net,True
,onetonbag.com,False
,bulkbagdepot.com,True
,economictimes.indiatimes.com,False
,proampac.com,True
,us.metoree.com,False
,midwesternbag.com,True
,cadybag.com,True
,italianartisan.com,False
,palmetto-industries.com,True
,madeintheusamatters.com,True
,ameriglobe-fibc.com,True
,onetonbag.com,False
,southernpackaginglp.com,False
,isellpackaging.com,True
,umasree.com,True
,tombihn.com,False
,sudarshanaddpack.com,True
,johnpac.com,False
,noyapro.com,False
,ibisworld.com,False
,ibisworld.com,False
,openpr.com,True
,sewing-contractors.com,False
,leelinebags.com,False
,mackenziegolfbags.com,False
,softlinebrandpartners.com,False
,ycbagmaking.com,False
,sandkpackaging.com,True
,bulkbagreclamation.com,True
,inter-bulk.com,True
,nnzusa.com,True
,sackmaker.com,True
,futuremarketinsights.com,True
,materialmotion.com,True
,pactecinc.com,False
,americangearguide.com,False
,kanplas.com,True
,sandkpackaging.com,True
,transcon.us,True
,sudarshanaddpack.com,True
,anitaplastics.com,True
,bagcorp.com,True
,bwi-1.com,True
,mittaltechnopack.com,True
,3dbarrierbags.com,True
,iqsdirectory.com,False
,komolplastics.com,True
,bagcorp.com,True
,mistymtn.com,True
,shupackaging.com,True
,alpinefibc.com,True
,harpersferrywv.us,True
,comsyn.com,True
,junise.com,True
,sahpolymers.com,True
,midwesternbag.com,True
,post-gazette.com,True
,materialmotion.com,True
,minibulk.com,True
,sbplastech.com,True
,singhalglobal.com,False
,cherokeemfg.com,False
,shupackaging.com,False
,lincolnelectric.com,False
,bulkbagreclamation.com,True
,apple.com,False
,umasree.com,True
,vistaprint.com,False
,disney.com,False
,fedex.com,False
,justdial.com,True
,ebay.com,False
,asus.com,False
,unitedbags.com,True
,pearldrum.com,False
,arglass.us,True
,berlinpackaging.com,True
,tricorbraun.com,True
,ardaghgroup.com,True
,adiforums.com,True
,fortunebusinessinsights.com,True
,sgsbottle.com,True
,burchbottle.com,False
,lomglassworks.com,True
,ensun.io,False
,seekbottles.com,True
,jingsourcing.com,False
,feemio.com,True
,roetell.com,True
,globaldata.com,True
,misapack.com,True
,moersourcing.com,False
,glassbottlewholesale.com,True
,jinobo.com,True
,packafill.com,True
,o-i.com,True
,customglassmfg.net,False
,generalbottle.com,True
,vitglassbottle.com,True
,onestopimport.com,False
,unitedbottles.com,True
,beausino.com,True
,ruishengglassco.com,True
,openpr.com,True
,ruisenbottle.com,True
,anchorglass.com,True
,huioglassbottle.com,True
,rockwoodglass.com,True
,estal.com,True
,glassnow.com,True
,glassbottleoutlet.com,True
,kandacork.com,True
,vidrala.com,True
,nairaland.com,False
,wxtopglass.com,True
,imarcgroup.com,True
,lissonpackaging.com,True
,myeasyglass.com,True
,vetropack.com,True
,drugplastics.com,True
,industryselect.com,False
,bcglassbottles.com,True
,stoelzle.com,True
,glassbottlewholesale.com,True
,calaso.com,True
,sks-bottle.com,True
,oec.world,False
,vitropackaging.com,True
,sheenlandglass.com,True
,specialtybottle.com,True
,rockwoodglass.com,True
,oberk.com,True
,burchbottle.com,False
,silverspurcorp.com,True
,tricorbraunwinepak.com,True
,glass-bottle.com,True
,pgpfirst.com,True
,glaspak.com,True
,blueglass.eu,True
,seekbottles.com,True
,hualianbottle.com,True
,cyglassbottle.com,True
,newhigh.com,True
,galloglass.com,True
,glass-international.com,True
,o-i.com,True
,mjspackaging.com,True
,g3enterprises.com,True
,creative-package.com,True
,smilebottles.com,True
,croxsons.com,True
,okcredit.in,False
,verescence.com,False
,aluminiumceramicfiber.com,True
,nakpunar.com,True
,us.metoree.com,False
,l.rccolainternational.com,True
,stanpacnet.com,True
,paramountglobal.com,True
,verifiedmarketresearch.com,True
,fortunebusinessinsights.com,True
,overproof.com,True
,bottlestore.com,True
,bottlestore.com,True
,ball.com,True
,glass-catalog.com,True
,procurementresource.com,True
,ibisworld.com,False
,ensun.io,False
,alcircle.com,False
,g3enterprises.com,True
,zetwerk.com,False
,novelis.com,True
,cancentral.com,True
,indexbox.io,True
,storymaps.arcgis.com,False
,procoolmfg.com,True
,bevsource.com,True
,silgancontainers.com,True
,alnapackagingco.com,False
,packagingdive.com,True
,ororabeverage.com,True
,resource-recycling.com,False
,mingtai-al.com,True
,nordson.com,True
,uacj.co.jp,True
,custommarketinsights.com,True
,harboraluminum.com,False
,everycancounts.eu,True
,oec.world,False
,floridacan.com,True
,ardaghmetalpackaging.com,True
,tandobeverage.com,True
,towardspackaging.com,True
,crowncork.com,True
,madehow.com,True
,cansource.com,True
,vobev.com,True
