name,domain,isRelated
,sunpack.com,True
,us.metoree.com,False
,theboxzone.com,True
,verifiedmarketresearch.com,True
,linquip.com,False
,epackprinting.com,True
,ectmfg.com,False
,boxup.com,True
,blueboxpackaging.com,True
,growthmarketingpro.com,False
,packagingschool.com,True
,refinepackaging.com,True
,popularmechanics.com,False
,berryglobal.com,True
,corrugatedboxcompanies.com,True
,discmakers.com,False
,imhpackaging.com,True
,vocal.media,False
,freedoniagroup.com,True
,unitedrentals.com,False
,dropbox.com,False
,apple.com,False
,imarcgroup.com,True
,sonos.com,False
,westernslopenow.com,False
,abc7ny.com,False
,vistaprint.com,False
,reuters.com,False
,sunsetfordofsumner.com,False
,ebay.com,False
,support.robertsspaceindustries.com,False
,wcia.com,False
,fox40.com,False
,fox2now.com,False
,boxagency.co,True
,whathifi.com,False
,wgntv.com,True
,sahalpackaging.com,True
,iqsdirectory.com,False
,futureaudiophile.com,False
,globaldata.com,True
,westrock.com,True
,elitecustomboxes.com,True
,inven.ai,False
,delmarvapkg.com,True
,cardbox-packaging.com,True
,packagingblue.com,True
,jbl.com,False
,theboxprinters.com,True
,packagingfulfillment.com,False
,expertmarketresearch.com,True
,packagingcorp.com,True
,standfastgroup.com,True
,mesh-bags.com,True
,ensun.io,False
,wertheimerbox.com,False
,pacificbox.com,True
,bpkc.com,True
,internationalpaper.com,True
,alliancepackaging.net,True
,boxgenie.com,True
,indexpackaging.com,True
,racerboxes.com,True
,gbp.com,True
,jamestowncontainer.com,True
,arizonacorrugatedcontainer.com,True
,gpctexas.com,True
,kellybox.com,True
,cactuscontainers.com,True
,michiganbox.com,True
,rusken.com,True
,akers-pkg.com,True
,oxopackaging.com,True
,bcipkg.com,True
,customcardboardboxesco.com,True
,psimd.com,True
,abbe.com.au,True
,belmontpackaging.co.uk,True
,ipcboxes.com,True
,sunecobox.com,True
,bing.com,False
,mcelroypackaging.com,True
,cbspackaging.co.uk,True
,ktla.com,False
,brimarpackaging.com,True
,wadpack.com,True
,mil-specpkg.com,False
,papermart.com,True
,capcitycontainer.com,True
,marketsandmarkets.com,True
,peachtreepackaging.com,True
,atlanticpkg.com,True
,packagingexpress.net,True
,businesswire.com,False
,plusprinters.com,True
,shorr.com,False
,expresspkg.com,True
,leamancontainer.com,True
,amboxkc.com,True
,smithers.com,True
,nelsoncontainer.com,True
,packsize.com,True
,packaging-labelling.com,True
,lakewaycontainer.com,True
,fruitgrowers.com,True
,customcardboardboxes.com,True
,mfgtray.com,True
,bestboxespackingshipping.com,False
,eammosca.com,True
,usplastic.com,False
,jamestownplastics.com,False
,rimcoplastics.com,False
,protektivepak.descoindustries.com,False
,keycontainercorp.com,True
,pattersondental.com,False
,shirleyks.com,True
,channelmfg.com,True
,dental.keystoneindustries.com,False
,ready-made.com,True
,visipak.com,True
,legrand.us,False
,shipnerd.com,False
,mphusky.com,False
,michelsenpackaging.com,True
,belart.com,False
,entegris.com,True
,justdial.com,True
,acmebox.com,True
,malaster.com,False
,spectrumchemical.com,True
,freshplaza.com,True
,net32.com,False
,grovemade.com,False
,ultrasourceusa.com,True
,support.apple.com,False
,mcmaster.com,False
,vacuumformedplastics.com,True
,apartmenttherapy.com,False
,cb2.com,False
,turningleftforless.com,False
,timesfreepress.com,True
,polypak.com,False
,nytimes.com,False
,danapoly.com,True
,rainbowpolybag.com,True
,hobbylobby.com,False
,apmbags.com,True
,rutanpoly.com,False
,polybags.com,True
,uspolypack.com,True
,bolddata.nl,False
,towardspackaging.com,True
,plastic-bags.net,True
,la-z-boy.com,False
,procurementiq.com,False
,kr.dgpasike.com,True
,interplas.com,True
,comicsahoy.com,False
,fourstarplastics.com,True
,ibisworld.com,False
,checkerbag.com,True
,redibagusa.com,False
,apicorp.com,False
,sigmaplasticsgroup.com,True
,championplastics.com,True
,k-packings.com,True
,bagmastersusa.com,True
,plasticbagpartners.com,True
,cpflexpack.com,True
,versa-pak.com,True
,universalplastic.com,True
,cadybag.com,True
,clearbags.com,True
,mplasticsinc.com,True
,zubairiplastics.com,True
,poly-america.com,False
,noyapro.com,False
,futuremarketinsights.com,True
,sourcescrub.com,False
,discountplasticbags.com,False
,rentechdigital.com,False
,mountainstatesplastics.com,True
,greatampack.com,True
,royalbag.com,True
,aplasticbag.com,True
,trashcansunlimited.com,False
,polypakplastics.com,True
,susupport.com,False
,ipack.com,True
,nashvillewraps.com,True
,customboxesnow.com,True
,idealpkg.com,True
,bisonbag.com,True
,morganchaney.com,True
,proampac.com,True
,pasikepackaging.com,True
,xtex.co.uk,True
,sandkpackaging.com,True
,rdplastics.com,False
,americanpaper.com,True
,tradeindia.com,True
,custompoly.com,False
,alufplastics.com,True
,baseplastics.com,True
,plasticportal.eu,False
,ronpak.com,True
,s-dai.com.tw,True
,okcredit.in,False
,eco-mdsassociates.com,True
,nupackaging.com,True
,grandviewresearch.com,False
,mauserpackaging.com,True
,crownpoly.com,True
,plastictechnologies.com,True
,plastic-containers.net,True
,mjspackaging.com,True
,plastic-materials.com,True
,packagingbagscustom.com,True
,brentwoodplastics.com,True
,kemalmfg.com,False
,apparelsearch.com,False
,fortunebusinessinsights.com,True
,auer-packaging.com,True
,plasticstoday.com,True
,greif.com,False
,unitedbags.com,True
,rose-plastic.us,False
,labelmaster.com,False
,munotplastics.com,True
,oberk.com,True
,retlawindustries.com,False
,sciencedirect.com,True
,wholesalesuppliesplus.com,True
,penninehealthcare.co.uk,True
,axial.net,True
,leadiq.com,False
,ptpackaging.com,True
,rrd.com,True
,airseacontainers.com,False
,kiowacountypress.net,False
,junise.com,True
,mannlakeltd.com,True
,pcna.com,False
,shop.boeing.com,False
,buy.wesco.com,False
,printpackipama.com,True
,markdowntohtml.com,False
,forum.ih8mud.com,False
,amazon.in,True
,mzwmotor.com,False
,economictimes.com,False
,anitaplastics.com,True
,palmetto-industries.com,True
,economictimes.indiatimes.com,False
,nationalbulkbag.com,True
,ameriglobe-fibc.com,True
,bulkbagdepot.com,True
,rickshawbags.com,False
,southernpackaginglp.com,False
,murphylift.com,False
,bagsupply.com,False
,gulfcoastbag.com,True
,gravitaspackaging.net,True
,onetonbag.com,False
,midwesternbag.com,True
,italianartisan.com,False
,madeintheusamatters.com,True
,isellpackaging.com,True
,umasree.com,True
,tombihn.com,False
,sudarshanaddpack.com,True
,johnpac.com,False
,openpr.com,True
,sewing-contractors.com,False
,leelinebags.com,False
,mackenziegolfbags.com,False
,softlinebrandpartners.com,False
,ycbagmaking.com,False
,bulkbagreclamation.com,True
,inter-bulk.com,True
,nnzusa.com,True
,sackmaker.com,True
,materialmotion.com,True
,pactecinc.com,False
,americangearguide.com,False
,kanplas.com,True
,transcon.us,True
,bagcorp.com,True
,bwi-1.com,True
,mittaltechnopack.com,True
,3dbarrierbags.com,True
,komolplastics.com,True
,mistymtn.com,True
,shupackaging.com,True
,alpinefibc.com,True
,harpersferrywv.us,True
,comsyn.com,True
,sahpolymers.com,True
,post-gazette.com,True
,minibulk.com,True
,sbplastech.com,True
,singhalglobal.com,False
,cherokeemfg.com,False
,lincolnelectric.com,False
,disney.com,False
,fedex.com,False
,asus.com,False
,pearldrum.com,False
,arglass.us,True
,berlinpackaging.com,True
,tricorbraun.com,True
,ardaghgroup.com,True
,adiforums.com,True
,sgsbottle.com,True
,burchbottle.com,False
,lomglassworks.com,True
,seekbottles.com,True
,jingsourcing.com,False
,feemio.com,True
,roetell.com,True
,misapack.com,True
,moersourcing.com,False
,glassbottlewholesale.com,True
,jinobo.com,True
,packafill.com,True
,o-i.com,True
,customglassmfg.net,False
,generalbottle.com,True
,vitglassbottle.com,True
,onestopimport.com,False
,unitedbottles.com,True
,beausino.com,True
,ruishengglassco.com,True
,ruisenbottle.com,True
,anchorglass.com,True
,huioglassbottle.com,True
,rockwoodglass.com,True
,estal.com,True
,glassnow.com,True
,glassbottleoutlet.com,True
,kandacork.com,True
,vidrala.com,True
,nairaland.com,False
,wxtopglass.com,True
,lissonpackaging.com,True
,myeasyglass.com,True
,vetropack.com,True
,drugplastics.com,True
,industryselect.com,False
,bcglassbottles.com,True
,stoelzle.com,True
,calaso.com,True
,sks-bottle.com,True
,oec.world,False
,vitropackaging.com,True
,sheenlandglass.com,True
,specialtybottle.com,True
,silverspurcorp.com,True
,tricorbraunwinepak.com,True
,glass-bottle.com,True
,pgpfirst.com,True
,glaspak.com,True
,blueglass.eu,True
,hualianbottle.com,True
,cyglassbottle.com,True
,newhigh.com,True
,galloglass.com,True
,glass-international.com,True
,g3enterprises.com,True
,creative-package.com,True
,smilebottles.com,True
,croxsons.com,True
,verescence.com,False
,aluminiumceramicfiber.com,True
,nakpunar.com,True
,l.rccolainternational.com,True
,stanpacnet.com,True
,paramountglobal.com,True
,overproof.com,True
,bottlestore.com,True
,ball.com,True
,glass-catalog.com,True
,procurementresource.com,True
,alcircle.com,False
,zetwerk.com,False
,novelis.com,True
,cancentral.com,True
,indexbox.io,True
,storymaps.arcgis.com,False
,procoolmfg.com,True
,bevsource.com,True
,silgancontainers.com,True
,alnapackagingco.com,False
,packagingdive.com,True
,ororabeverage.com,True
,resource-recycling.com,False
,mingtai-al.com,True
,nordson.com,True
,uacj.co.jp,True
,custommarketinsights.com,True
,harboraluminum.com,False
,everycancounts.eu,True
,floridacan.com,True
,ardaghmetalpackaging.com,True
,tandobeverage.com,True
,crowncork.com,True
,madehow.com,True
,cansource.com,True
,vobev.com,True
,patents.google.com,False
,factmr.com,False
,cclcontainer.com,True
,envases.mx,True
,can-one.com,True
,logan-aluminum.com,True
,canpack.com,True
,xcelenergy.com,False
,adtechamm.com,True
,visy.com,True
,bevindustry.com,True
,qz.com,False
,designlife-cycle.com,False
,inochiglobal.com,True
,recyclingtoday.com,True
,thinkcans.net,True
,csmonitor.com,False
,cantechonline.com,True
,metaltinpack.com,True
,industrialphysics.com,True
,wildpackbev.com,True
,illingcompany.com,True
,industrial.sherwin-williams.com,True
,thaibeveragecan.com,True
,sailorplastics.com,True
,blowmoldedplastic.com,True
,amcor.com,True
,coherentmarketinsights.com,True
,canwithacm.com,True
,pretiumpkg.com,True
,e2global.com,True
,polytainer.com,True
,silganplastics.com,True
,plasticbottle.com,True
,bascousa.com,False
,zhongtaiint.com,False
,petainer.com,True
,goodpac.com,True
,napcor.com,True
,theplasticbottlescompany.com,True
,ferrer-aviation.com,False
,multiplastic.com.mx,True
,altiumpkg.com,True
,clsmith.com,True
,secontainer.com,True
,petropackaging.com,True
,grahampackaging.com,True
,plastipak.com,True
,priorityplastics.com,True
,coca-colacompany.com,True
,midwestbottles.com,True
,timplastics.com,True
,keurigdrpepper.com,True
,bottleone.com,True
,3plastics.com,True
,cmgplastics.com,True
,ventureradar.com,False
,themonarchgroup.com,True
,plasticbottlesinc.com,True
,parker-plastics.com,True
,kaufmancontainer.com,True
,robinsonpackaging.com,True
,ringcontainer.com,True
,hongjusilicone.com,True
,pactivevergreen.com,True
,goodada.com,True
,sukeauto.com,False
,weckjars.com,True
,fillmorecontainer.com,True
,gerresheimer.com,False
,thespruceeats.com,True
,stocksmetic.com,False
,techgearlab.com,False
,thecarycompany.com,True
,parkwayjars.com,True
,infinityjars.com,True
,pinterest.com,False
,bormioliroccous.com,True
,everythingkitchens.com,True
,matchory.com,False
,flushpackaging.com,True
,purmason.com,True
,namawell.com,True
,azurestandard.com,True
,glassjarsandbottles.com,True
,rachelstexaskitchen.net,True
,ballmasonjars.com,True
,agcc.com,True
,bottleproduce.com,True
,leparfait.us,True
,mironglass.com,True
,downtoearthdistributors.com,True
,ebottles.com,True
,miron.com,True
,ucan-packaging.com,True
,aaronpackaging.com,True
,immould.com,False
,gpi-plastics.com,False
,lusha.com,False
,plastic-tubing.biz,True
,orbiscorporation.com,True
,polymer-process.com,False
,twbathtub.com,False
,thorntonplastics.com,True
,aeroleads.com,False
,globalgrowthinsights.com,True
,marquisspas.com,True
,exporthub.com,True
,fivegallonideas.com,True
,spaandtub.com,False
,foodandwine.com,True
,irisusainc.com,True
,lesliespool.com,False
,msurecycling.com,False
,genpak.com,True
,cedartubs.com,False
,pdcspas.com,False
