name,domain,isRelated
,checkerbag.com,True
,us.metoree.com,False
,ensun.io,False
,iqsdirectory.com,False
,polypak.com,False
,dnpackaging.com,False
,berlinpackaging.com,True
,papermart.com,True
,atlantacello.com,True
,nashvillewraps.com,True
,rutanpoly.com,False
,aplasticbag.com,True
,k-packings.com,True
,cellobags.com,True
,apmbags.com,True
,plastic-bags.net,True
,danapoly.com,True
,clearcellobags.com,True
,envelopes.us,False
,elevatepackaging.com,True
,rainbowpolybag.com,True
,versa-pak.com,True
,ibisworld.com,False
,polypakplastics.com,True
,dgsunpack.com,True
,sandkpackaging.com,True
,polybags.com,True
,bisonbag.com,True
,bolddata.nl,False
,redibagusa.com,True
,verifiedmarketresearch.com,True
,dgsunpak.com,True
,apicorp.com,True
,almacltd.com,True
,noyapro.com,False
,uspolypack.com,True
,championplastics.com,True
,globalsources.com,True
,futuremarketinsights.com,True
,novolex.com,True
,plasticbagpartners.com,True
,durabag.net,True
,zubairiplastics.com,True
,bagmastersusa.com,True
,gotemkin.com,True
,alufplastics.com,True
,clearbags.com,True
,grandviewresearch.com,False
,worldofmanufacturers.com,False
,cadybag.com,True
,susupport.com,False
,caltexplastics.com,True
,mountainstatesplastics.com,True
,mplasticsinc.com,True
,poly-america.com,False
,boxandwrap.com,True
,idealpkg.com,True
,fourstarplastics.com,True
,royalbag.com,True
,towardspackaging.com,True
,baseplastics.com,True
,actionbags.com,True
,imailerglobal.com,True
,sharperbags.com,True
,greenpaperproducts.com,True
,columbiapkg.com,True
,berryglobal.com,True
,crownpoly.com,True
,custommarketinsights.com,True
,primarypackaging.com,True
,pristinecleanbags.com,False
,sewing-contractors.com,False
,isellpackaging.com,True
,custompoly.com,False
,envelopes.com,False
,supremex.com,True
,unitedenvelope.com,False
,thefoilprintingco.com,False
,eliteenvelope.com,False
,lcipaper.com,False
,universalplastic.com,True
,goldimageprinting.com,False
,continentalenvelope.com,False
,tamarackmaterials.com,False
,foilman.com,True
,tension.com,False
,relisandroth.com,True
,cenveo.com,False
,thefoilexperts.com,True
,plasticstoday.com,True
,3m.com,False
,ebay.com,False
,sheppardenvelope.com,False
,superpackman.com,True
,double-envelope.com,False
,alphagraphics.com,False
,misilcraft.com,False
,cardphile.com,False
,jampaper.com,True
,deprintedbox.com,True
,pattersondental.com,True
,minted.com,False
,thepapermillstore.com,False
,wellsdrew.com,False
,dancopackagingproducts.com,True
,moo.com,False
,mapquest.com,False
,bagsdirectusa.com,True
,vandermost.com,False
,northerncards.com,False
,wes-tex.com,False
,urgentboxes.com,True
,made-in-china.com,True
,vistaprint.com,False
,implasticfree.com,True
,fifoil.com,False
,itape.com,False
,whcc.com,False
,canva.com,False
,emalufoil.com,True
