name,domain
2 LEO\u2019S FOOD INC.,2leosfood.com
4C Foods Canada ULC,4c.com
1662864 Ontario Limited dba Pelmen Food,pelmen.com
A Lassonde Inc.,lassonde.com
2168587 Ontario Ltd. OA Upper Crust,uppercrust.com
9357-0174 Quebec Inc.,smg-aw.com
AGT Foods (Regina),agtfoods.com
Ackron Egg Farms Ltd. Dba. Natures Farm,naturesfarm.ca
Air Liquide Canada Inc. -  Johnstown,airliquide.ca
Albert Perron Inc.,fromagerieperron.com
Alimentation Diana Canada Inc. dba Diana Food Canada Inc.,diana-food.com
Alex Coulombe Ltee.,pepsi-alexcoulombe.com
Air Products and Chemicals,airproducts.ca
Alimentation Sunbec Food Inc.,sunbec.com
Aliments Krispy Kernels Inc.,krispykernels.com
Aliments Cibona Foods inc. (Pitfield),cibonafoods.com
Aliments Fontaine Sante Inc. - Lachine,fontainesante.com
Aliments SiBon Foods Inc. - 3000,alimentsduquebec.com
Allen Family Foods Inc.,allenfamilyfoods.ca
Alliance Principle Ingredients Corporation,allianceingredients.com
ALTE-REGO CORPORATION,alte-rego.com
Altium Packaging Canada Inc.,altiumpkg.com
Amsterdam Brewing Company,amsterdambeer.com
Atlantic Coated Papers Ltd,atlanticcoatedpapers.com
AXIA Services,axiaservices.com
At Arctic Cold Storage & Logistics Inc.,arcticllc.com
Axium Packaging Inc. (Mississauga),axiumpackaging.com
BALL MANUFACTURING,ball.com
Barry Callebaut Canada Inc,barry-callebaut.com
Avena Foods Ltd.,avenafoods.com
Azuma Foods (Canada),azumafoods.ca
BCFoods Canada Inc.,bcfoods.com
BESCO Grain Ltd - Brunkild,bescograin.ca
Beechgrove Country Foods Inc.,beechgrovefoods.com
BHJ Canada Meat Products Inc.,bhj.com
Bio-Bon Inc.,biobon.ca
BioNeutra North America Inc.,bioneutra.ca
Bleuets Mistassini Lt\u00e9e,bleuets-mistassini.com
Blends Inc.,blends.ca
Balsam Tahini,balsamtahini.com
Bleuets Nordic Inc.,bleuetnordic.com
Bondi Produce Company,bondiproduce.com
Blue Pearl Destillerie,bluepearldistillerie.com
Botaneco Inc.,botaneco.com
BLUE TRITON WATER CANADA HOLDINGS,bluetriton.ca
Boulangerie-P\u00e2tisserie Dumas Inc.,chefdumas.com
Broadgrain Commodities Inc,broadgrain.com
BRUNSWICK BIERWORKS INC.,brunswickbierworks.com
Browning Harvey Limited,browningharvey.nf.ca
Boulangerie St-Donat Enr.,boulangeriestdonat.com
Brazilian Canadian Coffee Company LTD,braziliancoffeeco.com
Brossard Fr\u00e8res inc.,brossard.ca
C-Merak,c-merak.ca
Canada Malting Co. Limited,canadamalting.com
Canada Royal Milk ULC,canadaroyalmilk.com
Canadian Fruit & Produce Co. Inc.,canadianfruit.com
Cape Breton Beverage Ltd.,capebretonbeverages.ca
Canadian Oats Milling Ltd.,canadian-oats.com
Capol Inc.,capol.de
Cargill Incorporated,cargill.com
Cargill Limited (a subsidary of Cargill,cargill.ca
Canadian Beverage Co-Packing,canadiancopacking.com
Cargill Limited - Spruce Grove,careers.cargill.com
Carlsberg Canada Inc.,carlsbergcanada.com
Chantler Packages,chantlerpackages.com
Chocolats Favoris Production Inc.,chocolatsfavoris.com
Casa Das Tias Inc.,casadastias.com
Citadelle Maple Syrup Producers\u2019 Cooperative,citadelle-camp.coop
CMS Ontario LTD,cmsgroup.com
Coca-Cola Canada Bottling Limited,cokecanada.com
Compagnie Bonbon Rio inc. (La),bonbonrio.com
Compagnie Alpek Polyester Canada,alpekpolyester.com
Corporation Novotaste Inc.,novataste.com
Culinasian Foods Inc,culinasianfoods.com
Dandilee Spice Corp.,dandileespice.com
Danone Canada,danone.ca
Custom Injection Molders Canada,customplastics.ca
DB Schenker,dbschenker.com
Delta Beverages,delta.co.zw
Dr. Oetker Canada Ltd.,oetker.ca
Diageo Canada Inc.,diageo.com
Diva Delights Inc,foodbeveragemb.ca
Diefenbaker Seed Processors Ltd. o\/a Diefenbaker Spice & Pulse,dspdirect.ca
DSM Nutritional Products Canada Inc. - M & T Site,dsm-firmenich.com
E Hofmann Plastics Inc.,hofmannplastics.com
E.B. Box Company,ebbox.com
Eat in Foods Inc.,eat-in.ca
Edde Almond Paste Inc,edde.ca
Elite Dairy Ltd.,elitedairy.ca
El Molino Foods Canada,elmolinofoods.com
Elmes Packaging Inc.,elmespackaging.com
Elite Sweets Brands Inc.,elitesweets.ca
EMBALLAGES MITCHEL-LINCOLN LT\u00c9E,mitchellincoln.ca
Embl\u00e8me Canneberge inc.,emblemecanneberge.com
Everest Traders Inc.,everesttraders.com
Emballages Starflex Inc,polystarinc.com
Equals Brewing,equalsbrewing.com
FE Ingredients Inc.,feingredients.com
Exel Canada LTD dba DHL Supply Chain,dhl.com
Ferme Paul Massicotte & Fils Inc. \/ Massibec enr.,massibec.com
FERRERO CANADA Ltd.,ferreronorthamerica.com
Emballages Poliplastic Inc.,granby-industriel.com
Fiera Foods Company,fierafoods.com
First Choice Beverage Inc.,firstchoicebeverage.com
First Spice Mixing Company (Canada) Ltd.,firstspice.com
Flavorcan International Inc.,flavorcan.ca
Flora Food Canada Inc.,florafoodgroup.com
Flair Flexible Packaging (Canada) Corporation,flairpackaging.com
Foothills Creamery Ltd,foothillscreamery.com
Fleury Michon America Inc.,fleurymichonamerica.com
Fresh Is Best Salsa & Company Inc.,freshisbest.ca
Forty Creek Distillery Ltd,fortycreekwhisky.com
Frito Lay Inc.- Cambridge,fritolay.com
Fromagerie L'Anc\u00eatre Inc.,fromagerieancetre.com
Fromageries Bel Canada Inc.,bel-canada.ca
Fromageries Maurice St. Laurent Ltee,fromageriest-laurent.com
Fruit d\u2019Or Inc. - Villeroy,fruitdor.ca
Gala Bakery Inc.,thegalabakery.com
Gambrinus Malting Corporation,gambrinusmalting.com
General Mills Inc.- Winnipeg,generalmills.ca
Gerrity Corrugated Paper Products Ltd.,gerrity.com
Gizeh Packaging NA Inc.,gizeh.com
Graham Packaging Canada,grahampackaging.com
Goldrich Printpak Inc.,goldpak.com
Greenfield Global,greenfield.com
Grain Process Enterprises LTD.,bakersjournal.com
High Altitude Foods,highaltitudefoods.ca
Happy Planet Foods,happyplanet.com
Honey & Q Corporation,ontariohoneyhouse.ca
Hiram Walker & Sons Limited,corby.ca
Horizon Manufacturing Inc,horizonpetfood.com
Hungkee Holdings Co Ltd,hungsnoodles.com
Ilana Robyn Foods Ltd,sweetsfromtheearth.com
Import-Export Beauchamp International Inc.,beauchampinternational.com
IMCD Canada Limited,imcdca.com
Imperial Flavours Inc.,imperialflavours.com
Ingredion Canada Corporation,ingredion.com
INNO FOODS INC- FACILITY C,innofoods.shop
Jean Landry et compagnie Lt\u00e9e,landryflexpack.com
J&F SEAFOOD CORP,jandfseafood.com
Intro-Pak inc.,intropak.com
Joriki Inc.,jorikiinc.com
Jubilee Candy Corporation,jubileecandycorp.com
Jungbunzlauer Canada Inc.,jungbunzlauer.com
KD Pharma Canada Limited,kdpharmagroup.com
Keurig Canada Inc,keurig.ca
KFI Inc.,kfisauces.com
KCS Plastics\/Spectrum Plastics Group,spectrumplastics.com
Kerry,kerry.com
Khalsa Packaging Ltd.,khalsapkg.ca
Kicking Horse Coffee Co. Ltd.,kickinghorsecoffee.com
KLR Systems Inc.,klrsystems.com
Kronos Canada Inc.,kronosww.com
Kwik Lok Corporation-Cambridge,kwiklok.com
La Fromagerie Champ\u00eatre inc.,fromageriechampetre.com
La Maison d'Affinage Bergeron inc.,fromagesbergeron.com
Lactalis Canada Inc,lactalis.ca
La Fromagerie Polyethnique Inc.,lebedouin.com
La Maison Orphee Inc,maisonorphee.com
Lallemand Inc.,lallemand.com
Lantic Inc,lanticrogers.com
Landmark Poultry Inc. (also trading as Marquess Custom Foods),tcfoods.ca
Les Aliments 2000 Inc.,pate2000.com
Les Chocolats Vadeboncoeur Inc.,freddocanada.com
Les Aliments Fondue Paysanne inc.,alimentspaysanne.com
Les Menthes Rito Ltee,menthesrito.com
Lally Farms,wishfarms.com
Les Eaux Naya Inc.\/Naya Waters Inc.,naya.com
Les Produits MGD Inc,mgdnature.com
LES PRODUITS S & G INC.,sgproducts.qc.ca
LES ALIMENTS ROMA LTEE,alimentsroma.com
Liberty Group Sugar Decorations Inc.,virginice.ca
Linde  Canada,linde.com
Linde Canada Inc. - Varennes,lindecanada.ca
Les Viandes C.D.S. Inc.,viandescds.com
Logoplaste Canada Inc.,logoplaste.com
Lintec Label & Print Solutions Inc.,lintec.ca
Lucid Corp,lucidcorp.com
Louis Dreyfus Company Canada ULC,ldc.com
MACCO ORGANIQUES INC.,macco.cz
Margarine Thibault Inc.,margarinethibault.com
Marie Morin Canada,marie-morin.fr
Maison des Futailles,station-22.com
Marquis Milling and Grain,nunweilersflour.com
Mars Canada Inc.,mars.com
Mariposa Dairy,mariposadairy.ca
Martin Dessert Inc.,martindessert.com
MASSILLY NORTH AMERICA,massilly.ca
MDI Holdings Corp.,gaylea.com
Masternet Ltd.,masternetltd.com
Millennium Flexible Packaging Inc,millenniumflexible.com
Midlake Specialty Food Products Inc.,msfp.ca
Mid-West Grain Limited,mgpingredients.com
Mondelez Canada Inc - Scarborough,mondelezinternational.com
Monette Seeds Ltd,monettefarms.ca
Mumm's Sprouting Seeds,sprouting.com
Multi-Mold Plastics Inc.,multimoldplastics.com
Nestl\u00e9 Canada (Toronto),corporate.nestle.ca
Nador Inc.,nador.ca
Neova Technologies Inc.,bioseutica.com
Montreal Pita Inc,montrealpita.ca
Newrest Calgary Corp,newrest.eu
Nitrous Oxide of Canada,canada.ca
Nitta Gelatin Canada Inc.,nitta-gelatin.com
NOMZ Inc,nomz.com
Nortera Foods Inc.,norterafoods.com
Norfolk Cherry Company Limited.,norfolkcherry.ca
Nutrinor Cooperative,nutrinor.com
North America IML Containers,imlcontainer.com
NutraSun Foods Ltd.,nutrasunfoods.com
Northern Nutraceuticals,northernnutra.ca
O Foods Ltd.,ofoods.ca
Orenda Commodity Services LTD,orendaag.com
Ocean Food Company Limited,oceanfoodcompany.com
Owens-Brockway Glass Container Inc.,o-i.com
Omori North America Inc,omori-na.com
Pacific Coast Fruit Products Ltd.,pacificcoastfruit.com
